PlayerNum,Player,Link,BirthDate,Height,Weight,T,B,Note,Team,jpPlayer
27,Akiyama Takumi,https://npb.jp/bis/eng/players/51155131.html,Apr. 26 1991,188,98,R,L,,Hanshin Tigers,秋山 拓巳
16,Ando Yuya,https://npb.jp/bis/eng/players/41145115.html,Dec. 27 1977,184,96,R,R,,Hanshin Tigers,安藤 優也
50,Aoyagi Koyo,https://npb.jp/bis/eng/players/71175132.html,Dec. 11 1993,181,79,R,R,,Hanshin Tigers,青柳 晃洋
98,Dolis Rafael,https://npb.jp/bis/eng/players/03505132.html,Jan. 10 1988,195,109,R,R,,Hanshin Tigers,ドリス
13,Enokida Daiki,https://npb.jp/bis/eng/players/01305133.html,Aug. 7 1986,181,89,L,L,,Hanshin Tigers,榎田 大樹
18,Fujikawa Kyuji,https://npb.jp/bis/eng/players/71073888.html,Jul. 21 1980,184,86,R,L,,Hanshin Tigers,藤川 球児
19,Fujinami Shintaro,https://npb.jp/bis/eng/players/41045137.html,Apr. 12 1994,197,89,R,R,,Hanshin Tigers,藤浪 晋太郎
28,Fukuhara Shinobu,https://npb.jp/bis/eng/players/81983888.html,Dec. 28 1976,180,96,R,R,,Hanshin Tigers,福原 忍
66,Futagami Kazuhito,https://npb.jp/bis/eng/players/91295131.html,Jun. 3 1987,185,88,R,R,,Hanshin Tigers,二神 一人
30,Ishizaki Tsuyoshi,https://npb.jp/bis/eng/players/81185130.html,Sep. 9 1990,183,85,R,R,,Hanshin Tigers,石崎 剛
92,Ito Kazuo,https://npb.jp/bis/eng/players/41145135.html,Dec. 13 1989,186,95,R,R,,Hanshin Tigers,伊藤 和雄
59,Iwamoto Akira,https://npb.jp/bis/eng/players/71375133.html,Oct. 21 1992,182,82,R,L,,Hanshin Tigers,岩本 輝
59,Iwamoto Akira,https://npb.jp/bis/eng/players/71375133.html,Oct. 21 1992,182,82,R,L,,Hanshin Tigers,岩本 輝
17,Iwasada Yuta,https://npb.jp/bis/eng/players/51355139.html,Sep. 5 1991,183,79,L,L,,Hanshin Tigers,岩貞 祐太
21,Iwata Minoru,https://npb.jp/bis/eng/players/51355112.html,Oct. 31 1983,179,95,L,L,,Hanshin Tigers,岩田 稔
67,Iwazaki Suguru,https://npb.jp/bis/eng/players/31335139.html,Jun. 19 1991,185,88,L,L,,Hanshin Tigers,岩崎 優
48,Kaneda Kazuyuki,https://npb.jp/bis/eng/players/21525137.html,Sep. 18 1990,184,83,R,R,,Hanshin Tigers,金田 和之
48,Kaneda Kazuyuki,https://npb.jp/bis/eng/players/21525137.html,Sep. 18 1990,184,83,R,R,,Hanshin Tigers,金田 和之
29,Kojima Tatsuya,https://npb.jp/bis/eng/players/11915114.html,Oct. 7 1985,182,81,L,L,,Hanshin Tigers,小嶋 達也
