Year,League,Link
2025,Farm,https://bo-no05.hatenadiary.org/entry/2025/03/15/222137
2025,NPB,https://bo-no05.hatenadiary.org/entry/2025/03/30/183144
2024,Farm,https://bo-no05.hatenadiary.org/entry/2024/04/21/171840
2024,NPB,https://bo-no05.hatenadiary.org/entry/2024/04/21/212756
2023,Farm,https://bo-no05.hatenadiary.org/entry/2023/04/01/000000_1
2023,NPB,https://bo-no05.hatenadiary.org/entry/2023/04/01/000000_3
2022,Farm,https://bo-no05.hatenadiary.org/entry/2022/03/27/222118
2022,NPB,https://bo-no05.hatenadiary.org/entry/2022/03/27/220609
2021,Farm,https://bo-no05.hatenadiary.org/entry/2021/08/21/000000_1
2021,NPB,https://bo-no05.hatenadiary.org/entry/2021/08/21/000000
2020,NPB,https://bo-no05.hatenadiary.org/entry/2021/09/26/003213
2019,NPB,https://bo-no05.hatenadiary.org/entry/2021/08/19/000000
