Year,Suffix,Link,Version
2025,PP,https://npb.jp/bis/2025/stats/idp1s2_f.html,v2
2025,PP,https://npb.jp/bis/2025/stats/idp1s2_db.html,v2
2025,PP,https://npb.jp/bis/2025/stats/idp1s2_h.html,v2
2025,PP,https://npb.jp/bis/2025/stats/idp1s2_t.html,v2
2025,BP,https://npb.jp/bis/2025/stats/idb1s2_t.html,v2
2025,BP,https://npb.jp/bis/2025/stats/idb1s2_db.html,v2
2025,BP,https://npb.jp/bis/2025/stats/idb1s2_f.html,v2
2025,BP,https://npb.jp/bis/2025/stats/idb1s2_h.html,v2
2025,BP,https://npb.jp/bis/2025/stats/idb1s1_g.html,v2
2025,BP,https://npb.jp/bis/2025/stats/idb1s1_db.html,v2
2025,BP,https://npb.jp/bis/2025/stats/idb1s1_b.html,v2
2025,BP,https://npb.jp/bis/2025/stats/idb1s1_f.html,v2
2025,PP,https://npb.jp/bis/2025/stats/idp1s1_g.html,v2
2025,PP,https://npb.jp/bis/2025/stats/idp1s1_db.html,v2
2025,PP,https://npb.jp/bis/2025/stats/idp1s1_b.html,v2
2025,PP,https://npb.jp/bis/2025/stats/idp1s1_f.html,v2
2024,BP,https://npb.jp/bis/2024/stats/idb1s1_t.html,v1
2024,BP,https://npb.jp/bis/2024/stats/idb1s1_db.html,v1
2024,BP,https://npb.jp/bis/2024/stats/idb1s1_m.html,v1
2024,BP,https://npb.jp/bis/2024/stats/idb1s1_f.html,v1
2024,BP,https://npb.jp/bis/2024/stats/idb1s2_h.html,v1
2024,BP,https://npb.jp/bis/2024/stats/idb1s2_g.html,v1
2024,BP,https://npb.jp/bis/2024/stats/idb1s2_f.html,v1
2024,BP,https://npb.jp/bis/2024/stats/idb1s2_db.html,v1
2024,BP,https://npb.jp/bis/2024/stats/idb1ns_db.html,v1
2024,BP,https://npb.jp/bis/2024/stats/idb1ns_h.html,v1
2024,PP,https://npb.jp/bis/2024/stats/idp1s1_t.html,v1
2024,PP,https://npb.jp/bis/2024/stats/idp1s1_db.html,v1
2024,PP,https://npb.jp/bis/2024/stats/idp1s1_m.html,v1
2024,PP,https://npb.jp/bis/2024/stats/idp1s1_f.html,v1
2024,PP,https://npb.jp/bis/2024/stats/idp1s2_h.html,v1
2024,PP,https://npb.jp/bis/2024/stats/idp1s2_g.html,v1
2024,PP,https://npb.jp/bis/2024/stats/idp1s2_f.html,v1
2024,PP,https://npb.jp/bis/2024/stats/idp1s2_db.html,v1
2024,PP,https://npb.jp/bis/2024/stats/idp1ns_db.html,v1
2024,PP,https://npb.jp/bis/2024/stats/idp1ns_h.html,v1
2023,BP,https://npb.jp/bis/2023/stats/idb1s1_c.html,v1
2023,BP,https://npb.jp/bis/2023/stats/idb1s1_db.html,v1
2023,BP,https://npb.jp/bis/2023/stats/idb1s1_m.html,v1
2023,BP,https://npb.jp/bis/2023/stats/idb1s1_h.html,v1
2023,BP,https://npb.jp/bis/2023/stats/idb1s2_c.html,v1
2023,BP,https://npb.jp/bis/2023/stats/idb1s2_t.html,v1
2023,BP,https://npb.jp/bis/2023/stats/idb1s2_m.html,v1
2023,BP,https://npb.jp/bis/2023/stats/idb1s2_b.html,v1
2023,BP,https://npb.jp/bis/2023/stats/idb1ns_t.html,v1
2023,BP,https://npb.jp/bis/2023/stats/idb1ns_b.html,v1
2023,PP,https://npb.jp/bis/2023/stats/idp1s1_c.html,v1
2023,PP,https://npb.jp/bis/2023/stats/idp1s1_db.html,v1
2023,PP,https://npb.jp/bis/2023/stats/idp1s1_m.html,v1
2023,PP,https://npb.jp/bis/2023/stats/idp1s1_h.html,v1
2023,PP,https://npb.jp/bis/2023/stats/idp1s2_c.html,v1
2023,PP,https://npb.jp/bis/2023/stats/idp1s2_t.html,v1
2023,PP,https://npb.jp/bis/2023/stats/idp1s2_m.html,v1
2023,PP,https://npb.jp/bis/2023/stats/idp1s2_b.html,v1
2023,PP,https://npb.jp/bis/2023/stats/idp1ns_t.html,v1
2023,PP,https://npb.jp/bis/2023/stats/idp1ns_b.html,v1
2022,BP,https://npb.jp/bis/2022/stats/idb1s1_t.html,v1
2022,BP,https://npb.jp/bis/2022/stats/idb1s1_db.html,v1
2022,BP,https://npb.jp/bis/2022/stats/idb1s1_l.html,v1
2022,BP,https://npb.jp/bis/2022/stats/idb1s1_h.html,v1
2022,BP,https://npb.jp/bis/2022/stats/idb1s2_t.html,v1
2022,BP,https://npb.jp/bis/2022/stats/idb1s2_s.html,v1
2022,BP,https://npb.jp/bis/2022/stats/idb1s2_h.html,v1
2022,BP,https://npb.jp/bis/2022/stats/idb1s2_b.html,v1
2022,BP,https://npb.jp/bis/2022/stats/idb1ns_s.html,v1
2022,BP,https://npb.jp/bis/2022/stats/idb1ns_b.html,v1
2022,PP,https://npb.jp/bis/2022/stats/idp1s1_t.html,v1
2022,PP,https://npb.jp/bis/2022/stats/idp1s1_db.html,v1
2022,PP,https://npb.jp/bis/2022/stats/idp1s1_l.html,v1
2022,PP,https://npb.jp/bis/2022/stats/idp1s1_h.html,v1
2022,PP,https://npb.jp/bis/2022/stats/idp1s2_t.html,v1
2022,PP,https://npb.jp/bis/2022/stats/idp1s2_s.html,v1
2022,PP,https://npb.jp/bis/2022/stats/idp1s2_h.html,v1
2022,PP,https://npb.jp/bis/2022/stats/idp1s2_b.html,v1
2022,PP,https://npb.jp/bis/2022/stats/idp1ns_s.html,v1
2022,PP,https://npb.jp/bis/2022/stats/idp1ns_b.html,v1
2021,BP,https://npb.jp/bis/2021/stats/idb1s1_t.html,v1
2021,BP,https://npb.jp/bis/2021/stats/idb1s1_g.html,v1
2021,BP,https://npb.jp/bis/2021/stats/idb1s1_e.html,v1
2021,BP,https://npb.jp/bis/2021/stats/idb1s1_m.html,v1
2021,BP,https://npb.jp/bis/2021/stats/idb1s2_g.html,v1
2021,BP,https://npb.jp/bis/2021/stats/idb1s2_s.html,v1
2021,BP,https://npb.jp/bis/2021/stats/idb1s2_m.html,v1
2021,BP,https://npb.jp/bis/2021/stats/idb1s2_b.html,v1
2021,BP,https://npb.jp/bis/2021/stats/idb1ns_s.html,v1
2021,BP,https://npb.jp/bis/2021/stats/idb1ns_b.html,v1
2021,PP,https://npb.jp/bis/2021/stats/idp1s1_t.html,v1
2021,PP,https://npb.jp/bis/2021/stats/idp1s1_g.html,v1
2021,PP,https://npb.jp/bis/2021/stats/idp1s1_e.html,v1
2021,PP,https://npb.jp/bis/2021/stats/idp1s1_m.html,v1
2021,PP,https://npb.jp/bis/2021/stats/idp1s2_g.html,v1
2021,PP,https://npb.jp/bis/2021/stats/idp1s2_s.html,v1
2021,PP,https://npb.jp/bis/2021/stats/idp1s2_m.html,v1
2021,PP,https://npb.jp/bis/2021/stats/idp1s2_b.html,v1
2021,PP,https://npb.jp/bis/2021/stats/idp1ns_s.html,v1
2021,PP,https://npb.jp/bis/2021/stats/idp1ns_b.html,v1
2020,BP,https://npb.jp/bis/2020/stats/idb1s2_m.html,v1
2020,BP,https://npb.jp/bis/2020/stats/idb1s2_h.html,v1
2020,BP,https://npb.jp/bis/2020/stats/idb1ns_g.html,v1
2020,BP,https://npb.jp/bis/2020/stats/idb1ns_h.html,v1
2020,PP,https://npb.jp/bis/2020/stats/idp1s2_m.html,v1
2020,PP,https://npb.jp/bis/2020/stats/idp1s2_h.html,v1
2020,PP,https://npb.jp/bis/2020/stats/idp1ns_g.html,v1
2020,PP,https://npb.jp/bis/2020/stats/idp1ns_h.html,v1
