Year,Team,ParkF,League
2026,Nipponham Fighters,1.11,NPB
2026,Yakult Swallows,1.15,NPB
2026,Yomiuri Giants,0.95,NPB
2026,Hanshin Tigers,0.92,NPB
2026,Hiroshima Carp,1.06,NPB
2026,DeNA BayStars,1.05,NPB
2026,Chunichi Dragons,0.87,NPB
2026,ORIX Buffaloes,0.97,NPB
2026,SoftBank Hawks,1.04,NPB
2026,Lotte Marines,1.04,NPB
2026,Rakuten Eagles,0.89,NPB
2026,Seibu Lions,0.99,NPB
2025,Nipponham Fighters,1.11,NPB
2025,Yakult Swallows,1.15,NPB
2025,Yomiuri Giants,0.95,NPB
2025,Hanshin Tigers,0.92,NPB
2025,Hiroshima Carp,1.06,NPB
2025,DeNA BayStars,1.05,NPB
2025,Chunichi Dragons,0.87,NPB
2025,ORIX Buffaloes,0.97,NPB
2025,SoftBank Hawks,1.04,NPB
2025,Lotte Marines,1.04,NPB
2025,Rakuten Eagles,0.89,NPB
2025,Seibu Lions,0.99,NPB
2024,Nipponham Fighters,1.06,NPB
2024,Yakult Swallows,1.19,NPB
2024,Yomiuri Giants,0.97,NPB
2024,Hanshin Tigers,0.92,NPB
2024,Hiroshima Carp,0.99,NPB
2024,DeNA BayStars,1.04,NPB
2024,Chunichi Dragons,0.86,NPB
2024,ORIX Buffaloes,0.95,NPB
2024,SoftBank Hawks,1.05,NPB
2024,Lotte Marines,1.06,NPB
2024,Rakuten Eagles,0.94,NPB
2024,Seibu Lions,0.97,NPB
2023,Nipponham Fighters,1.06,NPB
2023,Yakult Swallows,1.13,NPB
2023,Yomiuri Giants,1.04,NPB
2023,Hanshin Tigers,0.99,NPB
2023,Hiroshima Carp,0.95,NPB
2023,DeNA BayStars,1.02,NPB
2023,Chunichi Dragons,0.87,NPB
2023,ORIX Buffaloes,0.95,NPB
2023,SoftBank Hawks,1.03,NPB
2023,Lotte Marines,1.08,NPB
2023,Rakuten Eagles,0.96,NPB
2023,Seibu Lions,0.97,NPB
2022,Nipponham Fighters,0.97,NPB
2022,Yakult Swallows,1.11,NPB
2022,Yomiuri Giants,1.07,NPB
2022,Hanshin Tigers,0.91,NPB
2022,Hiroshima Carp,0.93,NPB
2022,DeNA BayStars,1.06,NPB
2022,Chunichi Dragons,0.88,NPB
2022,ORIX Buffaloes,0.92,NPB
2022,SoftBank Hawks,0.98,NPB
2022,Lotte Marines,1.09,NPB
2022,Rakuten Eagles,1.03,NPB
2022,Seibu Lions,1.00,NPB
2021,Nipponham Fighters,0.97,NPB
2021,Yakult Swallows,1.08,NPB
2021,Yomiuri Giants,1.12,NPB
2021,Hanshin Tigers,0.96,NPB
2021,Hiroshima Carp,0.94,NPB
2021,DeNA BayStars,1.03,NPB
2021,Chunichi Dragons,0.88,NPB
2021,ORIX Buffaloes,0.94,NPB
2021,SoftBank Hawks,1.01,NPB
2021,Lotte Marines,1.07,NPB
2021,Rakuten Eagles,0.96,NPB
2021,Seibu Lions,1.04,NPB
2020,Nipponham Fighters,0.93,NPB
2020,Yakult Swallows,1.17,NPB
2020,Yomiuri Giants,1.06,NPB
2020,Hanshin Tigers,0.89,NPB
2020,Hiroshima Carp,0.96,NPB
2020,DeNA BayStars,1.06,NPB
2020,Chunichi Dragons,0.86,NPB
2020,ORIX Buffaloes,0.95,NPB
2020,SoftBank Hawks,0.99,NPB
2020,Lotte Marines,1.07,NPB
2020,Rakuten Eagles,0.97,NPB
2020,Seibu Lions,1.09,NPB
2019,Nipponham Fighters,0.97,NPB
2019,Yakult Swallows,1.20,NPB
2019,Yomiuri Giants,1.08,NPB
2019,Hanshin Tigers,0.89,NPB
2019,Hiroshima Carp,0.97,NPB
2019,DeNA BayStars,1.04,NPB
2019,Chunichi Dragons,0.85,NPB
2019,ORIX Buffaloes,0.98,NPB
2019,SoftBank Hawks,0.98,NPB
2019,Lotte Marines,0.92,NPB
2019,Rakuten Eagles,1.01,NPB
2019,Seibu Lions,1.10,NPB
2018,Nipponham Fighters,0.97,NPB
2018,Yakult Swallows,1.21,NPB
2018,Yomiuri Giants,1.00,NPB
2018,Hanshin Tigers,0.91,NPB
2018,Hiroshima Carp,1.00,NPB
2018,DeNA BayStars,1.07,NPB
2018,Chunichi Dragons,0.82,NPB
2018,ORIX Buffaloes,0.97,NPB
2018,SoftBank Hawks,0.98,NPB
2018,Lotte Marines,0.87,NPB
2018,Rakuten Eagles,1.07,NPB
2018,Seibu Lions,1.12,NPB
2017,Nipponham Fighters,0.99,NPB
2017,Yakult Swallows,1.11,NPB
2017,Yomiuri Giants,1.04,NPB
2017,Hanshin Tigers,0.92,NPB
2017,Hiroshima Carp,0.98,NPB
2017,DeNA BayStars,1.11,NPB
2017,Chunichi Dragons,0.85,NPB
2017,ORIX Buffaloes,0.96,NPB
2017,SoftBank Hawks,1.03,NPB
2017,Lotte Marines,0.90,NPB
2017,Rakuten Eagles,1.04,NPB
2017,Seibu Lions,1.09,NPB
2016,Nipponham Fighters,0.98,NPB
2016,Yakult Swallows,1.07,NPB
2016,Yomiuri Giants,1.02,NPB
2016,Hanshin Tigers,0.89,NPB
2016,Hiroshima Carp,1.00,NPB
2016,DeNA BayStars,1.14,NPB
2016,Chunichi Dragons,0.89,NPB
2016,ORIX Buffaloes,0.94,NPB
2016,SoftBank Hawks,1.06,NPB
2016,Lotte Marines,0.90,NPB
2016,Rakuten Eagles,1.03,NPB
2016,Seibu Lions,1.09,NPB
2015,Nipponham Fighters,0.99,NPB
2015,Yakult Swallows,1.08,NPB
2015,Yomiuri Giants,1.00,NPB
2015,Hanshin Tigers,0.90,NPB
2015,Hiroshima Carp,0.94,NPB
2015,DeNA BayStars,1.18,NPB
2015,Chunichi Dragons,0.90,NPB
2015,ORIX Buffaloes,0.94,NPB
2015,SoftBank Hawks,0.99,NPB
2015,Lotte Marines,0.96,NPB
2015,Rakuten Eagles,1.02,NPB
2015,Seibu Lions,1.09,NPB
2014,Nipponham Fighters,0.97,NPB
2014,Yakult Swallows,1.16,NPB
2014,Yomiuri Giants,0.99,NPB
2014,Hanshin Tigers,0.85,NPB
2014,Hiroshima Carp,0.93,NPB
2014,DeNA BayStars,1.18,NPB
2014,Chunichi Dragons,0.87,NPB
2014,ORIX Buffaloes,0.97,NPB
2014,SoftBank Hawks,0.91,NPB
2014,Lotte Marines,1.03,NPB
2014,Rakuten Eagles,1.03,NPB
2014,Seibu Lions,1.06,NPB
2013,Nipponham Fighters,0.97,NPB
2013,Yakult Swallows,1.16,NPB
2013,Yomiuri Giants,1.00,NPB
2013,Hanshin Tigers,0.91,NPB
2013,Hiroshima Carp,0.93,NPB
2013,DeNA BayStars,1.19,NPB
2013,Chunichi Dragons,0.80,NPB
2013,ORIX Buffaloes,0.94,NPB
2013,SoftBank Hawks,0.89,NPB
2013,Lotte Marines,1.04,NPB
2013,Rakuten Eagles,1.04,NPB
2013,Seibu Lions,1.09,NPB
2012,Nipponham Fighters,0.98,NPB
2012,Yakult Swallows,1.16,NPB
2012,Yomiuri Giants,1.04,NPB
2012,Hanshin Tigers,0.88,NPB
2012,Hiroshima Carp,0.98,NPB
2012,DeNA BayStars,1.14,NPB
2012,Chunichi Dragons,0.80,NPB
2012,ORIX Buffaloes,1.03,NPB
2012,SoftBank Hawks,0.89,NPB
2012,Lotte Marines,1.01,NPB
2012,Rakuten Eagles,1.01,NPB
2012,Seibu Lions,1.07,NPB
2011,Nipponham Fighters,0.99,NPB
2011,Yakult Swallows,1.09,NPB
2011,Yomiuri Giants,0.99,NPB
2011,Hanshin Tigers,0.96,NPB
2011,Hiroshima Carp,1.00,NPB
2011,DeNA BayStars,1.15,NPB
2011,Chunichi Dragons,0.82,NPB
2011,ORIX Buffaloes,1.03,NPB
2011,SoftBank Hawks,0.93,NPB
2011,Lotte Marines,0.91,NPB
2011,Rakuten Eagles,1.02,NPB
