                   Player    G   PA   AB    R    H  2B  3B  HR   TB  RBI  SB  CS  SH  SF   SO   BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP      K%     BB%  BB/K   wSB    TTO% Age  Pos  B                Team League
0          Akiyama Takumi   10   19   16    0    2   0   0   0    2    1   0   0   2   0    3    1    0   0    0  0.125  0.176  0.125  0.301   -15  0.000  0.154   15.8%    5.3%  0.33  -0.0   21.1%  28    1  L      Hanshin Tigers     CL
1             Aoyagi Koyo   25   43   37    0    0   0   0   0    0    1   0   0   4   1   19    1    0   0    3  0.000  0.026  0.000  0.026   -97  0.000  0.000   44.2%    2.3%  0.05  -0.0   46.5%  25    1  R      Hanshin Tigers     CL
2            Araki Fumiya    9    9    9    4    1   1   0   0    2    0   0   1   0   0    4    0    0   0    0  0.111  0.111  0.222  0.333   -10  0.111  0.200   44.4%    0.0%  0.00  -0.3   44.4%  31    7  L      Hanshin Tigers     CL
4          Chikamoto Koji  142  640  586   81  159  20   7   9  220   42  36  15  14   3  110   31    2   6    2  0.271  0.313  0.375  0.688    97  0.104  0.319   17.2%    4.8%  0.28   1.0   23.4%  24    8  L      Hanshin Tigers     CL
6            Egoshi Taiga   49   16   15    8    1   0   0   0    1    0   1   0   0   0    9    1    0   0    0  0.067  0.125  0.067  0.192   -47  0.000  0.167   56.2%    6.2%  0.11   0.2   62.5%  26    7  R      Hanshin Tigers     CL
8       Fujikawa Shunsuke    6    6    6    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000  -106  0.000  0.000   16.7%    0.0%  0.00   0.0   16.7%  31    9  R      Hanshin Tigers     CL
9       Fujinami Shintaro    1    1    1    0    0   0   0   0    0    0   0   0   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000  -106  0.000         100.0%    0.0%  0.00   0.0  100.0%  25    1  R      Hanshin Tigers     CL
10        Fukudome Kosuke  104  403  348   39   89  16   1  10  137   47   0   0   2   3   85   49    1   1    5  0.256  0.347  0.394  0.741   114  0.138  0.309   21.1%   12.2%  0.58  -0.1   35.7%  42    7  L      Hanshin Tigers     CL
12          Garcia Onelki   21   33   30    1    4   0   0   0    4    1   0   0   3   0    9    0    0   0    1  0.133  0.133  0.133  0.266   -27  0.000  0.190   27.3%    0.0%  0.00  -0.0   27.3%  29    1  L      Hanshin Tigers     CL
13         Hamachi Masumi   21    1    1    0    1   0   0   0    1    0   0   0   0   0    0    0    0   0    0  1.000  1.000  1.000  2.000   490  0.000  1.000    0.0%    0.0%        -0.0    0.0%  21    1  R      Hanshin Tigers     CL
