#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,,Team,League
,Chikamoto Koji,142,640,586,81,159,20,7,9,220,42,36,15,14,3,110,31,2,6,2,0.271,0.313,0.375,0.688,97,0.104,0.319,17.2%,4.8%,0.28,1.0,23.4%,24,8,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Itohara Kento,143,572,491,66,131,20,4,2,165,45,6,5,11,3,70,60,2,7,7,0.267,0.353,0.336,0.689,100,0.069,0.306,12.2%,10.5%,0.86,-0.8,23.1%,26,4,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Itoi Yoshio,103,444,382,45,120,22,1,5,159,42,9,5,0,3,63,52,7,7,10,0.314,0.403,0.416,0.819,138,0.102,0.363,14.2%,11.7%,0.83,-0.3,27.0%,37,9,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Oyama Yusuke,143,587,538,52,139,33,1,14,216,76,3,0,1,4,98,39,3,5,12,0.258,0.312,0.401,0.713,104,0.143,0.291,16.7%,6.6%,0.40,0.3,25.7%,,,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Umeno Ryutaro,129,492,433,49,115,22,3,9,170,59,14,3,16,3,83,34,4,6,16,0.266,0.326,0.393,0.719,107,0.127,0.308,16.9%,6.9%,0.41,1.2,25.6%,28,2,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Aizawa Tsubasa,126,447,376,38,104,21,2,12,165,63,2,1,3,0,81,58,5,10,6,0.277,0.387,0.439,0.826,133,0.162,0.325,18.1%,13.0%,0.72,-0.2,33.8%,31,2,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Kikuchi Ryosuke,138,619,547,77,143,36,2,13,222,48,14,5,28,2,102,41,0,1,5,0.261,0.313,0.406,0.719,102,0.145,0.300,16.5%,6.6%,0.40,0.6,25.2%,29,4,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Nishikawa Ryoma,138,585,535,70,159,23,3,16,236,64,6,7,11,5,81,32,4,2,9,0.297,0.336,0.441,0.777,118,0.144,0.323,13.8%,5.5%,0.40,-1.5,22.1%,24,8,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Suzuki Seiya,140,612,499,112,167,31,0,28,282,87,25,16,0,3,81,103,12,7,3,0.335,0.453,0.565,1.018,187,0.230,0.354,13.2%,16.8%,1.27,-1.3,34.6%,24,9,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Kamizato Kazuki,123,458,427,62,119,31,3,6,174,35,15,10,3,0,121,26,2,2,7,0.279,0.323,0.407,0.730,101,0.128,0.377,26.4%,5.7%,0.21,-0.9,33.4%,25,8,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Lopez Jose,142,597,551,69,133,28,0,31,254,84,0,0,0,3,107,39,6,4,18,0.241,0.295,0.461,0.756,106,0.220,0.245,17.9%,6.5%,0.36,-0.1,29.6%,35,3,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Maeda Yamato,137,490,438,42,104,17,2,0,125,37,3,1,10,2,75,34,1,6,7,0.237,0.300,0.285,0.585,64,0.048,0.285,15.3%,6.9%,0.45,0.0,22.2%,31,6,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Miyazaki Toshiro,114,473,433,54,123,22,1,15,192,49,0,0,0,5,35,32,2,3,13,0.284,0.334,0.443,0.777,114,0.159,0.278,7.4%,6.8%,0.91,-0.1,17.3%,30,5,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Soto Neftali,141,584,516,82,139,18,0,43,286,108,0,0,0,4,98,59,4,5,14,0.269,0.348,0.554,0.902,146,0.285,0.253,16.8%,10.1%,0.60,-0.2,34.2%,30,9,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Tsutsugo Yoshitomo,131,557,464,74,126,24,0,29,237,79,0,0,0,3,141,88,5,2,5,0.272,0.388,0.511,0.899,147,0.239,0.327,25.3%,15.8%,0.62,-0.2,46.3%,27,7,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Kamei Yoshiyuki,131,503,450,67,128,27,2,13,198,55,9,1,3,5,91,45,3,0,6,0.284,0.346,0.440,0.786,114,0.156,0.328,18.1%,8.9%,0.49,1.0,29.6%,36,9,L,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Maru Yoshihiro,143,631,535,82,156,26,1,27,265,89,12,5,0,7,125,86,3,3,15,0.292,0.388,0.495,0.883,140,0.203,0.331,19.8%,13.6%,0.69,0.2,37.7%,30,8,L,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Okamoto Kazuma,143,628,555,84,147,29,0,31,269,94,3,0,2,3,132,62,3,6,15,0.265,0.343,0.485,0.828,124,0.220,0.294,21.0%,9.9%,0.47,0.3,35.8%,23,3,R,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Sakamoto Hayato,143,639,555,103,173,26,0,40,319,94,5,3,3,2,123,77,6,2,9,0.312,0.396,0.575,0.971,162,0.263,0.338,19.2%,12.1%,0.63,-0.4,37.6%,30,6,R,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Aoki Norichika,134,565,489,84,145,19,2,16,216,58,1,2,1,3,72,61,2,11,13,0.297,0.385,0.442,0.827,119,0.145,0.319,12.7%,10.8%,0.85,-0.7,26.4%,37,8,L,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Balentien Wladimir,120,468,410,65,115,13,0,33,227,93,0,1,0,3,117,54,3,1,11,0.280,0.363,0.554,0.917,139,0.274,0.312,25.0%,11.5%,0.46,-0.5,43.6%,34,7,R,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
