#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,Akiyama Takumi,10,4,3,0,0,0,0,219,50.2,56,5,35,12,0,1,2,27,24,4.26,4.04,3.75,1.34,87,98,102,0.22,2.3%,16.0%,5.5%,10.5%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,28,R,CL
,Aoyagi Koyo,25,9,9,0,0,1,1,601,143.1,145,14,100,42,3,12,0,56,50,3.14,4.37,3.83,1.30,117,106,104,-1.23,2.3%,16.6%,7.0%,9.7%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,25,R,CL
,Baba Kosuke,2,0,0,0,0,0,0,17,3.1,7,3,4,1,0,0,0,4,4,10.80,13.57,3.04,2.40,34,330,82,-2.77,17.6%,23.5%,5.9%,17.6%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,24,R,CL
,Dolis Rafael,56,5,4,19,10,0,0,213,55.1,36,1,50,11,2,1,7,16,13,2.11,2.45,2.97,0.85,175,60,81,-0.34,0.5%,23.5%,5.2%,18.3%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,31,R,CL
,Fujikawa Kyuji,56,4,1,16,23,0,0,226,56.0,29,3,83,32,2,0,4,11,11,1.77,2.81,2.54,1.09,208,69,69,-1.04,1.3%,36.7%,14.2%,22.6%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,38,R,CL
,Fujinami Shintaro,1,0,0,0,0,0,0,23,4.1,4,0,3,6,0,2,0,1,1,2.08,7.52,6.10,2.31,177,183,166,-5.44,0.0%,13.0%,26.1%,-13.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,25,R,CL
,Fukunaga Shungo,3,0,0,0,0,0,0,13,2.0,6,1,3,1,0,0,0,5,5,22.50,8.37,3.26,3.50,16,204,88,14.13,7.7%,23.1%,7.7%,15.4%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,25,R,CL
,Garcia Onelki,21,6,8,0,0,1,1,473,103.2,123,8,79,40,3,6,1,66,54,4.69,4.18,3.98,1.57,79,102,108,0.51,1.7%,16.7%,8.5%,8.2%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,29,L,CL
,Hamachi Masumi,21,2,1,0,0,0,0,128,28.0,35,4,27,8,2,0,0,21,19,6.11,4.15,3.32,1.54,60,101,90,1.96,3.1%,21.1%,6.2%,14.8%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,21,R,CL
,Iida Yuya,3,1,0,0,0,0,0,20,3.1,5,0,6,5,0,0,0,4,4,10.80,4.27,4.30,3.00,34,104,117,6.53,0.0%,30.0%,25.0%,5.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,28,L,CL
,Ishizaki Tsuyoshi,2,0,0,0,0,0,0,6,1.1,2,0,0,1,0,0,0,1,1,6.75,5.62,6.47,2.25,55,137,175,1.13,0.0%,0.0%,16.7%,-16.7%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,28,R,CL
,Iwasada Yuta,8,2,4,0,0,0,0,173,40.1,43,4,33,15,0,0,0,19,18,4.02,4.14,3.76,1.44,92,101,102,-0.12,2.3%,19.1%,8.7%,10.4%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,27,L,CL
,Iwata Minoru,14,3,4,0,0,1,0,336,77.2,90,13,43,21,0,3,2,46,39,4.52,5.36,4.15,1.43,82,131,112,-0.84,3.9%,12.8%,6.2%,6.5%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,35,L,CL
,Iwazaki Suguru,48,3,0,0,26,0,0,204,53.2,24,5,58,17,1,3,1,11,6,1.01,3.54,2.79,0.76,365,86,76,-2.53,2.5%,28.4%,8.3%,20.1%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,28,L,CL
,Johnson Pierce,58,2,3,0,40,0,0,224,58.2,34,2,91,13,1,1,4,12,9,1.38,1.42,1.32,0.80,267,35,36,-0.04,0.9%,40.6%,5.8%,34.8%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,28,R,CL
,Kuwahara Kentaro,7,2,0,0,3,0,0,28,5.0,10,1,6,3,0,1,0,9,5,9.00,5.97,3.73,2.60,41,145,101,3.03,3.6%,21.4%,10.7%,10.7%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,33,R,CL
,Messenger Randy,14,3,7,0,0,1,0,336,79.0,71,11,55,38,1,2,3,45,41,4.67,5.30,4.29,1.38,79,129,116,-0.63,3.3%,16.4%,11.3%,5.1%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,37,R,CL
,Mochizuki Atsushi,8,1,1,0,0,0,0,142,31.1,33,4,26,16,2,3,3,15,14,4.02,5.19,4.10,1.56,92,126,111,-1.17,2.8%,18.3%,11.3%,7.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,21,R,CL
,Moriya Koki,57,2,2,0,7,0,0,217,54.0,45,3,53,17,3,0,2,19,18,3.00,3.07,3.14,1.15,123,75,85,-0.07,1.4%,24.4%,7.8%,16.6%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,25,R,CL
,Nishi Yuki,26,10,8,0,0,1,1,702,172.1,159,12,112,36,2,9,2,60,56,2.92,3.76,3.72,1.13,126,91,101,-0.84,1.7%,16.0%,5.1%,10.8%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,28,R,CL
,Nomi Atsushi,51,1,2,0,18,0,0,191,44.0,37,5,41,24,3,1,2,21,21,4.30,4.69,3.91,1.39,86,114,106,-0.39,2.6%,21.5%,12.6%,8.9%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,40,L,CL
,Okamoto Yosuke,3,0,0,0,0,0,0,26,5.1,6,2,4,3,0,1,0,5,5,8.44,8.99,4.42,1.69,44,219,120,-0.55,7.7%,15.4%,11.5%,3.8%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,33,R,CL
,Onaka Yuya,5,0,0,0,0,0,0,26,5.2,6,1,6,5,0,1,0,4,4,6.35,6.72,4.42,1.94,58,164,120,-0.37,3.8%,23.1%,19.2%,3.8%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,24,R,CL
,Ono Taiki,14,0,1,0,5,0,0,58,11.2,11,0,6,13,2,1,0,3,3,2.31,5.94,6.01,2.06,160,145,163,-3.63,0.0%,10.3%,22.4%,-12.1%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,25,R,CL
,Saiki Hiroto,3,2,1,0,0,0,0,70,15.1,20,0,14,5,0,0,0,8,8,4.70,2.52,3.51,1.63,78,61,95,2.18,0.0%,20.0%,7.1%,12.9%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,20,R,CL
,Saito Yukiya,1,0,0,0,0,0,0,10,2.0,1,0,2,3,0,0,0,0,0,0.00,5.87,5.80,2.00,999,143,157,-5.87,0.0%,20.0%,30.0%,-10.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,24,R,CL
,Shimamoto Hiroya,63,4,0,1,11,0,0,229,59.1,42,4,60,14,0,4,0,13,11,1.67,3.13,2.79,0.94,221,76,76,-1.46,1.7%,26.2%,6.1%,20.1%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,26,L,CL
,Takahashi Akifumi,1,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0.00,3.37,4.80,0.00,999,82,130,-3.37,0.0%,0.0%,0.0%,0.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,36,L,CL
,Takahashi Haruto,19,3,9,0,1,0,0,474,109.2,115,9,125,38,2,0,4,56,46,3.78,3.19,2.96,1.40,98,78,80,0.59,1.9%,26.4%,8.0%,18.4%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,23,L,CL
,Takano Keisuke,4,0,0,0,1,0,0,25,5.2,6,0,6,1,0,1,0,4,3,4.76,2.31,2.80,1.24,77,56,76,2.45,0.0%,24.0%,4.0%,20.0%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,,,CL
,Tanigawa Masaki,4,0,0,0,0,0,0,34,7.1,8,0,4,3,0,0,2,4,3,3.68,3.50,4.51,1.50,100,85,122,0.18,0.0%,11.8%,8.8%,2.9%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,26,R,CL
,Aduwa Makoto,19,3,5,0,0,1,0,404,91.2,101,14,52,27,0,4,2,52,44,4.32,5.23,4.18,1.40,89,122,113,-0.91,3.5%,12.9%,6.7%,6.2%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,20,R,CL
,Endo Atsushi,34,1,1,1,6,0,0,188,42.2,36,1,38,25,1,1,3,19,15,3.16,3.72,4.11,1.43,122,87,111,-0.56,0.5%,20.2%,13.3%,6.9%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,,,CL
,Franzua Geronimo,67,8,6,12,18,0,0,308,71.2,55,8,94,32,5,7,1,29,22,2.76,3.83,2.79,1.21,139,89,76,-1.07,2.6%,30.5%,10.4%,20.1%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,25,L,CL
,Fujii Koya,4,0,0,0,0,0,0,41,6.1,13,0,8,9,0,0,0,10,10,14.21,5.10,5.04,3.47,27,119,137,9.11,0.0%,19.5%,22.0%,-2.4%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,22,R,CL
,Hellweg Johnny,5,1,0,0,1,0,0,13,3.2,2,0,2,1,0,0,0,0,0,0.00,3.10,4.03,0.82,999,72,109,-3.10,0.0%,15.4%,7.7%,7.7%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,30,R,CL
,Horie Atsuya,11,0,1,0,0,0,0,95,20.2,20,4,23,14,0,1,0,14,14,6.10,5.84,3.85,1.65,63,136,104,0.26,4.2%,24.2%,14.7%,9.5%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,22,L,CL
