Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,Unnamed: 12
梶谷 隆幸,デ,LF,35.0,0.0,0.1,-,-0.1,0.0,-0.3,-,-,
梶谷 隆幸,デ,CF,80.0,-0.8,-1.5,-,0.7,0.0,0.3,-,-,
梶谷 隆幸,デ,RF,77.0,1.1,1.8,-,-0.8,0.0,-0.3,-,-,
平田 良介,中,RF,817.0,3.1,-1.2,-,4.0,0.3,-3.2,-,-,
桑原 将志,デ,LF,6.0,0.1,-0.2,-,0.3,0.0,-0.1,-,-,
桑原 将志,デ,CF,136.3,4.0,2.3,-,1.7,0.1,0.4,-,-,
桑原 将志,デ,RF,78.0,-1.4,-0.8,-,-0.7,0.0,-0.3,-,-,
木浪 聖也,神,1B,28.0,-1.3,-1.3,-0.1,-,0.0,-0.3,-,-,
木浪 聖也,神,2B,19.7,1.1,1.0,0.0,-,0.1,0.1,-,-,
木浪 聖也,神,SS,773.0,2.9,4.8,1.3,-,-3.3,6.2,-,-,
坂口 智隆,ヤ,1B,80.7,0.1,0.6,-0.1,-,-0.4,-0.9,-,-,
坂口 智隆,ヤ,LF,18.0,-0.6,-0.9,-,0.3,0.0,-0.2,-,-,
坂口 智隆,ヤ,CF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
坂口 智隆,ヤ,RF,47.0,-1.8,-1.3,-,-0.6,0.0,-0.2,-,-,
坂口 智隆,ヤ,DH,1.0,-,-,-,-,-,0.0,-,-,
田中 広輔,広,SS,761.3,-1.4,0.1,-0.7,-,-0.8,6.1,-,-,
吉川 尚輝,巨,2B,85.0,0.6,0.3,0.5,-,-0.2,0.2,-,-,
淺間 大基,日,3B,67.0,-1.6,-0.6,0.0,-,-1.1,-0.2,-,-,
淺間 大基,日,LF,6.0,0.6,0.6,-,0.0,0.0,-0.1,-,-,
福田 周平,オ,2B,1089.0,-0.7,-0.9,0.3,-,-0.2,2.9,-,-,
福田 周平,オ,SS,49.7,2.9,1.8,0.7,-,0.4,0.4,-,-,
藤原 恭大,ロ,CF,34.0,1.0,1.3,-,-0.4,0.0,0.1,-,-,
藤原 恭大,ロ,DH,1.0,-,-,-,-,-,0.0,-,-,
田中 和基,楽,CF,344.7,-2.5,-2.0,-,-0.7,0.2,1.1,-,-,
田中 和基,楽,RF,60.7,1.6,2.3,-,-0.7,0.0,-0.2,-,-,
岡 大海,ロ,1B,19.3,-0.6,-0.6,0.0,-,0.0,-0.2,-,-,
岡 大海,ロ,CF,149.7,-0.8,0.1,-,-1.0,0.1,0.5,-,-,
岡 大海,ロ,RF,226.7,0.3,0.8,-,-0.6,0.1,-0.9,-,-,
岡 大海,ロ,DH,4.0,-,-,-,-,-,0.0,-,-,
牧原 大成,ソ,2B,378.3,0.0,2.8,-2.0,-,-0.8,1.0,-,-,
牧原 大成,ソ,SS,122.0,1.8,1.9,-0.3,-,0.2,1.0,-,-,
牧原 大成,ソ,LF,44.0,-0.9,-0.7,-,-0.2,0.0,-0.4,-,-,
牧原 大成,ソ,CF,301.7,4.2,2.3,-,1.8,0.2,1.0,-,-,
牧原 大成,ソ,RF,67.0,-0.9,-0.4,-,-0.5,0.0,-0.3,-,-,
金子 侑司,西,LF,1023.0,15.7,12.7,-,2.3,0.7,-9.5,-,-,
金子 侑司,西,RF,90.7,-1.3,-0.5,-,-0.9,0.1,-0.4,-,-,
三木 亮,ロ,1B,2.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
三木 亮,ロ,2B,35.0,-2.1,-1.1,-0.4,-,-0.6,0.1,-,-,
三木 亮,ロ,3B,34.7,-1.3,-1.5,-0.1,-,0.3,-0.1,-,-,
