#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,Age,T,League
,Aoyagi Koyo,25,9,9,0,0,1,1,601,143.1,145,14,100,42,3,12,0,56,50,3.14,4.37,3.83,1.30,117,106,104,-1.23,2.3%,16.6%,7.0%,9.7%,Hanshin Tigers,25,R,CL
,Nishi Yuki,26,10,8,0,0,1,1,702,172.1,159,12,112,36,2,9,2,60,56,2.92,3.76,3.72,1.13,126,91,101,-0.84,1.7%,16.0%,5.1%,10.8%,Hanshin Tigers,28,R,CL
,Johnson Kris,27,11,8,0,0,1,1,650,156.2,132,12,132,58,2,4,3,50,45,2.59,3.87,3.66,1.21,148,90,99,-1.28,1.8%,20.3%,8.9%,11.4%,Hiroshima Carp,34,L,CL
,Osera Daichi,26,11,9,0,0,6,2,712,173.1,176,22,136,35,2,4,4,72,68,3.53,4.12,3.38,1.22,109,96,92,-0.59,3.1%,19.1%,4.9%,14.2%,Hiroshima Carp,,,CL
,Imanaga Shota,25,13,7,0,0,3,3,684,170.0,128,18,186,56,8,4,2,59,55,2.91,3.62,2.90,1.08,137,82,79,-0.71,2.6%,27.2%,8.2%,19.0%,DeNA BayStars,25,L,CL
,Yamaguchi Shun,26,15,4,0,0,0,0,705,170.0,137,8,188,60,1,13,4,60,55,2.91,3.06,2.98,1.16,139,68,81,-0.15,1.1%,26.7%,8.5%,18.2%,Yomiuri Giants,31,R,CL
,Ogawa Yasuhiro,26,5,12,0,0,2,1,686,159.2,173,26,132,36,0,2,1,91,81,4.57,4.55,3.40,1.31,94,95,92,0.02,3.8%,19.2%,5.2%,14.0%,Yakult Swallows,29,R,CL
,Ono Yudai,25,9,8,0,0,2,2,696,177.2,132,18,156,43,2,2,2,52,51,2.58,3.69,3.18,0.98,140,92,86,-1.11,2.6%,22.4%,6.2%,16.2%,Chunichi Dragons,30,L,CL
,Yanagi Yuya,26,11,7,0,0,1,0,703,170.2,165,21,146,38,2,3,3,69,67,3.53,3.98,3.26,1.19,102,99,88,-0.45,3.0%,20.8%,5.4%,15.4%,Chunichi Dragons,25,R,CL
,Yamamoto Yoshinobu,20,8,6,0,0,1,1,553,143.0,101,8,127,36,0,3,3,37,31,1.95,3.14,3.15,0.96,198,73,86,-1.19,1.4%,23.0%,6.5%,16.5%,ORIX Buffaloes,20,R,PL
,Yamaoka Taisuke,26,13,4,0,0,2,0,699,170.0,154,16,154,45,1,4,2,77,70,3.71,3.64,3.24,1.17,104,85,88,0.07,2.3%,22.0%,6.4%,15.6%,ORIX Buffaloes,23,R,PL
,Senga Kodai,26,13,8,0,0,2,2,752,180.1,134,19,227,75,1,8,4,60,56,2.79,3.60,2.78,1.16,138,84,75,-0.81,2.5%,30.2%,10.0%,20.2%,SoftBank Hawks,26,R,PL
,Takahashi Rei,23,12,6,0,0,0,0,584,143.0,114,10,73,49,0,11,3,56,53,3.34,4.51,4.39,1.14,116,105,119,-1.17,1.7%,12.5%,8.4%,4.1%,SoftBank Hawks,23,R,PL
,Mima Manabu,25,8,5,0,0,2,0,600,143.2,146,19,112,24,0,4,3,69,64,4.01,4.11,3.33,1.18,98,94,90,-0.10,3.2%,18.7%,4.0%,14.7%,Rakuten Eagles,32,R,PL
,Arihara Kohei,24,15,8,0,0,1,1,639,164.1,111,14,161,40,0,9,9,49,45,2.46,3.41,2.91,0.92,156,80,79,-0.95,2.2%,25.2%,6.3%,18.9%,Nipponham Fighters,26,R,PL
