                  Pitcher   G   W  L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-   Diff    HR%      K%    BB%   K-BB%                Team League
0          Akiyama Takumi  18  11  3   0    0   2    0  435  112.0   97  17   64  12    1   0   2  45  36   2.89   4.52   3.60  0.97  125  113     97  -1.63   3.9%   14.7%   2.8%   11.9%      Hanshin Tigers     CL
1             Aoyagi Koyo  21   7  9   0    0   1    0  510  120.2  111   4   88  44    3   5   2  51  45   3.36   3.55   3.94  1.28  108   89    106  -0.19   0.8%   17.3%   8.6%    8.7%      Hanshin Tigers     CL
2             Baba Kosuke  32   2  1   0    9   0    0  136   30.1   28   1   27  16    1   1   4  12   7   2.08   3.69   3.99  1.45  174   92    107  -1.61   0.7%   19.9%  11.8%    8.1%      Hanshin Tigers     CL
3             Edwards Jon  23   0  1   0   12   0    0   86   22.2   17   2   17   3    0   2   0   6   6   2.38   3.67   3.17  0.88  152   92     85  -1.29   2.3%   19.8%   3.5%   16.3%      Hanshin Tigers     CL
4          Fujikawa Kyuji  16   1  3   2    1   0    0   65   13.1   16   3   15   9    0   1   1  11   9   6.08   6.29   3.88  1.88   60  157    104  -0.21   4.6%   23.1%  13.8%    9.3%      Hanshin Tigers     CL
5       Fujinami Shintaro  24   1  6   0    7   0    0  341   76.1   71   5   85  40    1   2   4  47  34   4.01   3.64   3.48  1.45   90   91     94   0.37   1.5%   24.9%  11.7%   13.2%      Hanshin Tigers     CL
6         Fukunaga Shungo   1   0  0   0    0   0    0    6    1.0    3   0    1   0    0   0   1   2   2  18.00   1.36   3.13  3.00   20   34     84  16.64   0.0%   16.7%   0.0%   16.7%      Hanshin Tigers     CL
7           Garcia Onelki  14   2  6   0    0   0    0  326   75.1   71   9   51  35    2   1   4  39  37   4.42   5.00   4.31  1.41   82  125    116  -0.58   2.8%   15.6%  10.7%    4.9%      Hanshin Tigers     CL
8              Gunkel Joe  28   2  4   0   11   0    0  232   56.2   54   6   39  13    1   3   0  21  20   3.18   4.21   3.68  1.18  114  105     99  -1.03   2.6%   16.8%   5.6%   11.2%      Hanshin Tigers     CL
9          Hamachi Masumi   1   0  0   0    0   0    0    4    1.0    1   0    0   0    0   0   0   0   0   0.00   3.36   4.80  1.00  999   84    129  -3.36   0.0%    0.0%   0.0%    0.0%      Hanshin Tigers     CL
10           Ishii Masaki   1   0  0   0    0   0    0    7    1.0    2   0    0   2    0   0   0   1   1   9.00   9.36   7.66  4.00   40  234    206  -0.36   0.0%    0.0%  28.6%  -28.6%      Hanshin Tigers     CL
11             Itoh Kazuo  15   1  1   0    1   0    0   74   15.1    8   0   15  20    3   0   1   7   6   3.52   5.32   5.48  1.83  103  133    147  -1.80   0.0%   20.3%  27.0%   -6.7%      Hanshin Tigers     CL
12           Iwasada Yuta  38   7  3   0    8   0    0  298   71.0   67   7   63  23    1   0   3  32  26   3.30   3.84   3.46  1.27  110   96     93  -0.54   2.3%   21.1%   7.7%   13.4%      Hanshin Tigers     CL
13           Iwata Minoru   5   1  2   0    0   0    0  107   22.2   26   1   15  15    1   2   0  16  16   6.35   4.86   4.80  1.81   57  121    129   1.49   0.9%   14.0%  14.0%    0.0%      Hanshin Tigers     CL
14         Iwazaki Suguru  41   5  2   2   17   0    0  163   39.2   26   2   37  15    1   2   3   9   8   1.82   3.44   3.45  1.03  199   86     93  -1.62   1.2%   22.7%   9.2%   13.5%      Hanshin Tigers     CL
15      Kobayashi Keisuke   2   0  0   0    0   0    0   14    3.0    3   0    5   2    1   0   0   0   0   0.00   2.03   2.66  1.67  999   51     72  -2.03   0.0%   35.7%  14.3%   21.4%      Hanshin Tigers     CL
16       Kuwahara Kentaro  12   0  0   0    2   0    0   43   10.1    7   2    8   4    0   0   1   4   4   3.48   5.49   3.87  1.06  104  137    104  -2.01   4.7%   18.6%   9.3%    9.3%      Hanshin Tigers     CL
17      Mochizuki Atsushi  16   0  0   0    0   0    0   81   19.0   18   2   18   8    0   0   3  11  11   5.21   4.10   3.57  1.37   69  102     96   1.11   2.5%   22.2%   9.9%   12.3%      Hanshin Tigers     CL
18           Moriya Kouki   3   0  0   0    0   0    0   23    4.0    6   1    3   4    0   2   0   5   5  11.25   9.61   5.23  2.50   32  240    141   1.64   4.3%   13.0%  17.4%   -4.4%      Hanshin Tigers     CL
19         Nakata Kenichi   3   0  2   0    0   0    0   53   10.2   18   0   11   5    0   0   0   9   9   7.59   2.71   3.67  2.16   48   68     99   4.88   0.0%   20.8%   9.4%   11.4%      Hanshin Tigers     CL
20             Nishi Yuki  21  11  5   0    0   4    2  582  147.2  116  15  115  28    2   4   1  44  37   2.26   3.78   3.31  0.98  160   94     89  -1.52   2.6%   19.8%   4.8%   15.0%      Hanshin Tigers     CL
21          Nohmi Atsushi  34   1  0   1    4   0    0  109   24.2   25   6   19  12    0   1   1  14  13   4.74   6.57   4.16  1.50   76  164    112  -1.83   5.5%   17.4%  11.0%    6.4%      Hanshin Tigers     CL
22            Ogawa Ippei  21   0  0   0    0   0    0  101   21.0   28   1   18  13    2   0   5  15  11   4.71   4.13   4.30  1.95   77  103    116   0.58   1.0%   17.8%  12.9%    4.9%      Hanshin Tigers     CL
23             Onaka Yuya   4   0  0   0    0   0    0   21    4.1    6   0    2   2    0   0   0   3   3   6.23   3.83   4.80  1.85   58   96    129   2.40   0.0%    9.5%   9.5%    0.0%      Hanshin Tigers     CL
24          Saitoh Yukiya   5   0  0   0    0   0    0   35    7.0    9   1   11   5    0   0   3   6   6   7.71   4.22   3.09  2.00   47  105     83   3.49   2.9%   31.4%  14.3%   17.1%      Hanshin Tigers     CL
25          Suarez Robert  51   3  1  25    8   0    0  208   52.1   36   2   50  19    4   0   2  15  13   2.24   3.04   3.31  1.05  162   76     89  -0.80   1.0%   24.0%   9.1%   14.9%      Hanshin Tigers     CL
26       Takahashi Haruto  12   5  4   0    0   1    0  306   76.0   67   4   75  17    1   1   1  25  21   2.49   2.79   2.90  1.11  145   70     78  -0.30   1.3%   24.5%   5.6%   18.9%      Hanshin Tigers     CL
27        Tanigawa Masaki  14   0  0   0    0   0    0   61   14.1   13   2   15   4    1   2   1   8   8   5.02   4.34   3.00  1.19   72  108     81   0.68   3.3%   24.6%   6.6%   18.0%      Hanshin Tigers     CL
28          Yokoyama Yuya   1   0  0   0    0   0    0    6    1.0    2   1    0   1    0   0   0   2   2  18.00  19.36   6.47  3.00   20  484    174  -1.36  16.7%    0.0%  16.7%  -16.7%      Hanshin Tigers     CL
29          Endoh Atsushi  19   5  6   0    0   2    0  464  107.0   90  13   97  52    2   4   2  53  46   3.87   4.70   3.83  1.33   97  113    103  -0.83   2.8%   20.9%  11.2%    9.7%      Hiroshima Carp     CL
30       Franzua Geronimo  53   2  3  19    7   0    0  217   55.0   39   7   62  17    2   1   1  18  15   2.45   3.75   2.73  1.02  154   90     73  -1.30   3.2%   28.6%   7.8%   20.8%      Hiroshima Carp     CL
31            Fujii Reira   3   0  0   0    0   0    0   14    3.0    4   0    4   1    0   0   0   2   2   6.00   1.70   2.66  1.67   63   41     72   4.30   0.0%   28.6%   7.1%   21.5%      Hiroshima Carp     CL
