Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
吉川 尚輝,巨,2B,747.0,11.5,8.1,1.0,-,2.4,2.0,-,-,
吉川 尚輝,巨,SS,68.0,1.6,0.9,0.4,-,0.4,0.6,-,-,
糸井 嘉男,神,RF,538.7,-8.5,-6.8,-,-1.0,-0.6,-2.1,-,-,
坂口 智隆,ヤ,1B,354.7,-7.4,-7.0,0.0,-,-0.4,-4.0,-,-,
坂口 智隆,ヤ,LF,50.7,-1.6,-2.3,-,0.7,0.0,-0.5,-,-,
坂口 智隆,ヤ,CF,221.3,-4.0,-4.3,-,0.2,0.1,0.7,-,-,
坂口 智隆,ヤ,RF,205.3,-5.1,-3.2,-,-1.9,0.1,-0.8,-,-,
大島 洋平,中,CF,1023.0,-4.6,-6.8,-,1.8,0.4,3.4,-,-,
上田 剛史,ヤ,LF,87.3,2.6,1.4,-,1.2,0.1,-0.8,-,-,
上田 剛史,ヤ,CF,3.0,-0.3,-0.3,-,0.0,0.0,0.0,-,-,
上田 剛史,ヤ,RF,51.3,-1.8,-1.0,-,-0.8,0.0,-0.2,-,-,
梶谷 隆幸,デ,CF,731.3,-0.7,-0.9,-,0.0,0.3,2.4,-,-,
梶谷 隆幸,デ,RF,163.7,-4.0,-1.6,-,-1.6,-0.8,-0.6,-,-,
ピレラ,広,1B,57.0,-1.1,-0.6,-0.1,-,-0.4,-0.6,-,-,
ピレラ,広,3B,14.0,-0.9,-0.2,-0.1,-,-0.6,-0.1,-,-,
ピレラ,広,LF,519.3,-9.7,-7.2,-,-2.7,0.2,-4.9,-,-,
野間 峻祥,広,LF,43.0,0.3,0.6,-,-0.4,0.0,-0.4,-,-,
野間 峻祥,広,CF,82.3,-0.5,-1.7,-,1.1,0.0,0.3,-,-,
野間 峻祥,広,RF,10.0,1.0,0.6,-,0.4,0.0,0.0,-,-,
スパンジェンバーグ,西,3B,345.0,-2.6,0.0,-1.3,-,-1.4,-1.3,-,-,
スパンジェンバーグ,西,LF,590.0,-4.7,-0.1,-,-3.3,-1.3,-5.6,-,-,
スパンジェンバーグ,西,RF,12.0,-0.4,0.4,-,0.0,-0.8,0.0,-,-,
西川 遥輝,日,CF,831.0,-6.8,-2.2,-,-4.2,-0.4,2.8,-,-,
西川 遥輝,日,DH,135.0,-,-,-,-,-,-1.6,-,-,
Ｔ－岡田,オ,1B,323.3,2.5,2.8,-0.3,-,0.0,-3.6,-,-,
Ｔ－岡田,オ,LF,342.3,-4.1,-2.3,-,-1.9,0.1,-3.2,-,-,
Ｔ－岡田,オ,DH,72.0,-,-,-,-,-,-0.9,-,-,
茂木 栄五郎,楽,3B,254.0,5.7,4.0,0.1,-,1.6,-1.0,-,-,
茂木 栄五郎,楽,SS,333.3,1.1,2.0,0.1,-,-1.0,2.7,-,-,
茂木 栄五郎,楽,DH,17.0,-,-,-,-,-,-0.2,-,-,
上林 誠知,ソ,CF,98.7,-0.3,-0.3,-,-0.1,0.0,0.3,-,-,
上林 誠知,ソ,RF,295.7,5.0,1.3,-,3.6,0.2,-1.2,-,-,
福田 秀平,ロ,1B,2.7,0.0,0.0,0.0,-,0.0,0.0,-,-,
福田 秀平,ロ,LF,52.0,3.4,3.6,-,-0.2,0.0,-0.5,-,-,
福田 秀平,ロ,CF,310.0,-3.8,-3.0,-,-1.0,0.1,1.0,-,-,
福田 秀平,ロ,RF,80.7,3.1,3.0,-,0.0,0.1,-0.3,-,-,
福田 秀平,ロ,DH,19.0,-,-,-,-,-,-0.2,-,-,
石川 慎吾,巨,LF,28.7,1.2,1.2,-,0.0,0.0,-0.3,-,-,
石川 慎吾,巨,RF,7.0,-0.3,0.0,-,-0.3,0.0,0.0,-,-,
安達 了一,オ,SS,665.7,5.6,4.6,-1.3,-,2.3,5.4,-,-,
足立 祐一,楽,C,209.3,-1.1,-,-,-1.4,0.4,3.0,-4.4,-0.3,
牧原 大成,ソ,2B,189.7,1.1,0.3,0.0,-,0.7,0.5,-,-,
牧原 大成,ソ,3B,51.0,1.1,1.5,-0.1,-,-0.4,-0.2,-,-,
牧原 大成,ソ,SS,167.7,1.9,-0.2,1.2,-,0.9,1.4,-,-,
牧原 大成,ソ,CF,4.0,0.8,0.8,-,0.0,0.0,0.0,-,-,
牧原 大成,ソ,RF,7.0,1.0,1.0,-,0.0,0.0,0.0,-,-,
牧原 大成,ソ,DH,1.0,-,-,-,-,-,0.0,-,-,
荻野 貴司,ロ,LF,31.7,0.5,0.9,-,-0.4,0.0,-0.3,-,-,
荻野 貴司,ロ,CF,345.3,0.5,0.2,-,0.1,0.2,1.1,-,-,
荻野 貴司,ロ,RF,53.3,0.2,0.4,-,-0.2,0.0,-0.2,-,-,
荻野 貴司,ロ,DH,18.0,-,-,-,-,-,-0.2,-,-,
湯浅 大,巨,2B,12.7,0.2,0.3,-0.1,-,0.0,0.0,-,-,
湯浅 大,巨,3B,6.7,0.7,0.6,0.0,-,0.1,0.0,-,-,
湯浅 大,巨,SS,3.0,-0.1,-0.1,0.0,-,0.0,0.0,-,-,
近本 光司,神,LF,7.0,0.7,0.6,-,0.0,0.0,-0.1,-,-,
近本 光司,神,CF,975.3,12.3,9.1,-,2.7,0.5,3.2,-,-,
北村 拓己,巨,1B,79.7,1.5,1.2,0.0,-,0.3,-0.9,-,-,
北村 拓己,巨,2B,101.0,-0.8,-2.1,1.0,-,0.4,0.3,-,-,
北村 拓己,巨,3B,17.0,0.6,0.6,-0.1,-,0.1,-0.1,-,-,
栗原 陵矢,ソ,C,7.0,-0.2,-,-,-0.2,0.0,0.1,-0.3,0.1,
栗原 陵矢,ソ,1B,206.0,3.6,1.7,0.9,-,1.1,-2.3,-,-,
栗原 陵矢,ソ,LF,235.7,-0.4,-1.4,-,0.8,0.1,-2.2,-,-,
栗原 陵矢,ソ,RF,583.7,3.1,-0.2,-,3.0,0.3,-2.3,-,-,
岡田 雅利,西,C,160.0,1.3,-,-,1.0,0.3,2.3,0.4,0.3,
廣岡 大志,ヤ,1B,4.0,-0.5,-0.5,0.0,-,0.0,0.0,-,-,
廣岡 大志,ヤ,2B,65.0,-1.8,-1.8,-0.2,-,0.2,0.2,-,-,
廣岡 大志,ヤ,3B,121.0,-2.0,-1.6,0.1,-,-0.5,-0.5,-,-,
廣岡 大志,ヤ,SS,22.0,0.3,0.0,0.1,-,0.2,0.2,-,-,
廣岡 大志,ヤ,LF,7.0,-0.3,-0.3,-,0.0,0.0,-0.1,-,-,
廣岡 大志,ヤ,RF,45.3,-0.5,-1.2,-,0.7,0.0,-0.2,-,-,
亀井 善行,巨,1B,10.0,0.8,0.7,0.0,-,0.1,-0.1,-,-,
亀井 善行,巨,LF,200.7,1.8,1.3,-,0.4,0.1,-1.9,-,-,
亀井 善行,巨,RF,51.7,-0.8,-0.7,-,-0.2,0.0,-0.2,-,-,
上本 崇司,広,2B,75.0,-1.4,-2.0,0.3,-,0.4,0.2,-,-,
上本 崇司,広,3B,13.7,0.2,0.1,0.0,-,0.1,-0.1,-,-,
上本 崇司,広,SS,76.0,0.0,-0.2,0.5,-,-0.3,0.6,-,-,
上本 崇司,広,LF,3.0,-0.1,-0.3,-,0.1,0.0,0.0,-,-,
上本 崇司,広,CF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
上本 崇司,広,RF,5.0,-0.3,-0.3,-,0.0,0.0,0.0,-,-,
谷内 亮太,日,2B,9.0,0.3,0.2,0.1,-,0.0,0.0,-,-,
谷内 亮太,日,3B,32.0,0.6,0.3,0.2,-,0.1,-0.1,-,-,
谷内 亮太,日,SS,48.0,0.7,0.6,-0.1,-,0.2,0.4,-,-,
中川 圭太,オ,1B,12.3,-0.5,0.2,-0.1,-,-0.6,-0.1,-,-,
