Batter,Team,Bats,PA,K%,BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,SwStr%,Whiff%,CSW%,PLUS%,GB%,FB%,LD%,OFFB%,IFFB%,AIR%,HR%,HR/FB,Pull%,Cent%,Oppo%,Pull AIR%
Chikamoto Koji,Hanshin,L,640,13.59375,9.21875,43.22033898,60.63110443,23.01656495,86.2745098,93.30855019,64.77272727,5.93220339,13.7254902,26.99757869,57.58676352,54.58333333,34.58333333,10.83333333,29.79166667,4.791666667,45.41666667,0.46875,1.807228916,35.625,40.41666667,23.95833333,9.016393443
Okabayashi Yuki,Chunichi,L,628,8.757961783,6.52866242,43.41317365,57.6433121,26.74632353,90.73891626,95.5801105,78.69415808,4.020530368,9.261083744,26.56116339,58.81094953,49.71098266,40.8477842,9.441233141,32.56262042,8.285163776,50.28901734,0.7961783439,2.358490566,29.67244701,46.82080925,23.50674374,11.74242424
Nakano Takumu,Hanshin,L,628,12.2611465,6.847133758,40.5648267,55.87076438,22.37827715,86.28691983,92.66572638,67.36401674,5.562687206,13.71308017,27.64227642,57.98031665,62.24489796,28.57142857,9.183673469,22.24489796,6.326530612,37.75510204,0.0,0.0,24.89795918,52.44897959,22.65306122,5.210420842
Morishita Shota,Hanshin,R,621,13.84863124,8.051529791,39.62338172,58.62903226,21.55369383,85.34653465,93.81017882,63.60424028,5.806198509,14.65346535,25.77481365,53.43271871,40.78947368,50.43859649,8.771929825,36.84210526,13.59649123,59.21052632,3.703703704,10.0,43.64035088,42.3245614,14.03508772,20.51282051
Sato Teruaki,Hanshin,L,590,27.45762712,8.13559322,50.27299454,74.05247813,32.10332103,69.17293233,83.33333333,44.36781609,15.49769005,30.82706767,26.62746745,55.10289794,38.58695652,52.98913043,8.423913043,40.76086957,12.22826087,61.41304348,6.779661017,20.51282051,44.02173913,38.04347826,17.93478261,18.88297872
Ohyama Yusuke,Hanshin,R,581,16.5232358,11.53184165,43.02736099,63.79310345,23.28767123,77.74358974,87.90896159,51.47058824,9.576345984,22.25641026,27.00794351,54.6337158,42.39401496,47.63092269,9.975062344,38.65336658,8.97755611,57.60598504,2.237521515,6.806282723,39.1521197,39.90024938,20.94763092,16.78832117
Kiyomiya Kotaro,Nipponham,L,581,14.62994836,7.917383821,50.33175355,71.8960539,29.41176471,77.02448211,87.41633199,52.38095238,11.56398104,22.97551789,25.21327014,57.44075829,44.89795918,44.44444444,10.65759637,36.05442177,8.390022676,55.10204082,2.065404475,6.12244898,38.54875283,42.63038549,18.82086168,12.78026906
Izuguchi Yuta,Yomiuri,L,573,10.47120419,7.853403141,42.65828469,61.85654008,20.82533589,88.52631579,92.9058663,73.73271889,4.894476875,11.47368421,24.78670858,55.94970813,44.73684211,43.42105263,11.84210526,36.40350877,7.01754386,55.26315789,1.047120419,3.03030303,30.26315789,44.29824561,25.43859649,13.41991342
Kozono Kaito,Hiroshima,L,572,8.216783217,6.293706294,56.13856342,74.34869739,37.30569948,83.75680581,90.70080863,69.44444444,9.118695874,16.24319419,22.00713194,60.92715232,48.10126582,41.13924051,10.75949367,33.5443038,7.594936709,51.89873418,0.5244755245,1.538461538,28.69198312,44.30379747,27.00421941,9.394572025
Fabian Sandro,Hiroshima,R,572,14.68531469,3.321678322,54.66101695,71.81208054,38.07763401,82.34280792,90.9212283,66.74757282,9.651600753,17.65719208,23.44632768,61.11111111,34.30493274,58.74439462,6.950672646,37.44394619,21.30044843,65.69506726,2.972027972,6.488549618,43.2735426,41.47982063,15.24663677,23.90350877
Osuna Jose,Yakult,R,571,13.30998249,5.954465849,44.01456532,61.63003663,26.53429603,82.83350569,90.78751857,64.62585034,7.555757852,17.16649431,26.30860264,56.66818389,42.9844098,48.77505568,8.240534521,33.63028953,15.14476615,57.0155902,2.451838879,6.392694064,38.75278396,40.53452116,20.71269488,18.20175439
