#,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,Age,T,League
,Yokoyama Yuya,16,4,2,0,0,0,282,67.1,55,6,35,25,1,2,0,24,19,2.54,4.88,4.45,1.19,145,113,115,-2.34,2.1%,12.4%,8.9%,3.5%,Hanshin Tigers,26,L,WL
,Miyagi Daita,12,5,4,0,1,0,273,64.0,63,5,33,26,0,2,3,28,22,3.09,4.85,4.54,1.39,117,115,118,-1.76,1.8%,12.1%,9.5%,2.6%,DeNA BayStars,19,R,EL
,Sakaguchi Kousuke,12,4,1,0,0,0,245,61.0,53,1,43,20,0,2,1,21,14,2.07,3.44,3.86,1.20,174,82,100,-1.37,0.4%,17.6%,8.2%,9.4%,DeNA BayStars,,,EL
,Ohta Ryu,17,5,6,0,0,0,381,90.1,104,9,60,26,0,3,2,44,41,4.08,4.48,3.91,1.44,92,102,101,-0.40,2.4%,15.7%,6.8%,8.9%,Yomiuri Giants,21,R,EL
,Yoshimi Kazuki,12,5,3,0,0,0,259,65.0,57,4,36,11,0,3,0,22,20,2.77,3.89,3.83,1.05,153,79,99,-1.12,1.5%,13.9%,4.2%,9.7%,Chunichi Dragons,35,R,WL
,Honda Hitomi,14,4,5,0,1,0,343,78.2,103,3,55,18,0,2,4,39,36,4.12,3.42,3.72,1.54,86,82,96,0.70,0.9%,16.0%,5.2%,10.8%,ORIX Buffaloes,20,R,WL
,Ariyoshi Yuki,11,4,4,0,0,0,238,56.0,69,7,29,7,0,6,0,24,23,3.70,4.84,3.88,1.36,106,106,100,-1.14,2.9%,12.2%,2.9%,9.2%,Lotte Marines,29,R,EL
,Mori Ryotaro,14,1,6,0,1,0,260,61.0,66,6,45,19,0,3,0,26,26,3.84,4.44,3.80,1.39,102,97,98,-0.60,2.3%,17.3%,7.3%,10.0%,Lotte Marines,21,R,EL
,Ohtake Koutaro,16,6,3,0,1,0,375,92.1,76,8,73,20,0,2,2,32,26,2.53,3.81,3.39,1.04,142,91,88,-1.28,2.1%,19.5%,5.3%,14.1%,SoftBank Hawks,25,L,WL
,Stewart Jr. Carter,15,3,7,0,0,0,292,67.0,65,5,48,33,0,4,6,39,31,4.16,4.75,4.29,1.46,86,113,111,-0.59,1.7%,16.4%,11.3%,5.1%,SoftBank Hawks,20,R,WL
,Sugiyama Kazuki,14,4,4,0,0,0,251,60.0,50,4,83,25,0,2,9,19,17,2.55,3.00,2.49,1.25,141,72,64,-0.46,1.6%,33.1%,10.0%,23.1%,SoftBank Hawks,22,R,WL
,Kitaura Ryuji,11,4,2,0,1,1,253,62.0,51,3,37,19,0,1,1,16,12,1.74,3.96,4.09,1.13,202,97,106,-2.22,1.2%,14.6%,7.5%,7.1%,Nipponham Fighters,20,L,EL
