                  Pitcher   G   W   L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%      K%     BB%    K-BB%    GB% Chase%   Con% SwStr%   CSW%  FB Velo                Team Age  T League
0          Akiyama Takumi  24  10   7   0    0   1    0  539  132.2  121  18  107  25    3   3   2  43  40   2.71   3.94   3.28  1.10  128  103     90   -1.23   3.3%   19.9%    4.6%    15.2%  39.2%  24.6%  84.4%   7.2%  27.8%     85.2      Hanshin Tigers  30  R     CL
1          Alcantara Raul  24   3   3   0    6   0    0  243   59.1   55   6   48  14    1   0   3  25  23   3.49   3.56   3.40  1.16  100   93     93   -0.07   2.5%   19.8%    5.8%    14.0%  47.2%  25.5%  81.5%   8.7%  29.4%     94.6      Hanshin Tigers            CL
2             Aoyagi Koyo  25  13   6   0    0   0    0  651  156.1  143  11  104  48    8   3   0  48  43   2.48   3.72   3.94  1.22  140   97    108   -1.24   1.7%   16.0%    7.4%     8.6%  60.5%  23.4%  80.8%   8.9%  26.5%     88.5      Hanshin Tigers  27  R     CL
3             Baba Kosuke  44   3   0   0   10   0    0  198   47.1   43   5   39  17    1   0   0  23  20   3.80   3.96   3.69  1.27   91  104    101   -0.16   2.5%   19.7%    8.6%    11.1%  50.4%  28.2%  78.2%  10.2%  25.9%     89.2      Hanshin Tigers  26  R     CL
4            Chen Wei-Yin   2   1   0   0    0   0    0   39    9.1   10   0    7   3    0   0   0   5   4   3.86   2.62   3.77  1.39   90   69    104    1.24   0.0%   17.9%    7.7%    10.3%  37.9%  26.0%  82.1%   8.9%  24.7%     87.8      Hanshin Tigers            CL
5             Edwards Jon   7   0   0   0    0   0    0   31    7.0    6   1    7   4    0   0   0   3   2   2.57   4.72   3.83  1.43  135  124    105   -2.15   3.2%   22.6%   12.9%     9.7%  30.0%  37.3%  73.9%  13.6%  28.0%     92.1      Hanshin Tigers            CL
6       Fujinami Shintaro  21   3   3   0    4   0    0  238   48.1   47   4   52  40    0   4   8  29  28   5.21   4.81   4.30  1.80   67  126    118    0.40   1.7%   21.8%   16.8%     5.0%  57.7%  19.1%  74.4%   9.9%  29.2%     94.5      Hanshin Tigers  27  R     CL
7              Gunkel Joe  20   9   3   0    0   0    0  465  113.0   99  10   87  24    1   3   0  39  37   2.95   3.48   3.45  1.09  118   91     94   -0.53   2.2%   18.7%    5.2%    13.5%  57.1%  26.0%  82.8%   8.6%  25.8%     89.7      Hanshin Tigers            CL
8          Hamachi Masumi   4   0   0   0    0   0    0   26    6.0    8   0    6   2    1   0   2   3   3   4.50   2.15   3.26  1.67   77   56     89    2.35   0.0%   23.1%    7.7%    15.4%  57.1%  23.3%  79.1%   9.2%  31.6%     91.1      Hanshin Tigers  23  R     CL
9            Ishii Daichi  18   0   1   0    0   0    0   75   17.1   17   3   16   6    1   0   1  12  12   6.23   4.60   3.47  1.33   56  120     95    1.63   4.0%   21.3%    8.0%    13.3%  34.7%  30.5%  75.9%  13.2%  24.1%     91.8      Hanshin Tigers            CL
