0                 Team    PA    AB    R     H   2B  3B   HR    TB  RBI   SB  CS  SH  SF   SO   BB IBB  HP  GDP    AVG    OBP    SLG    OPS OPS+    ISO  BABIP   TTO%     K%    BB%  BB/K League
1       Hanshin Tigers  4011  3522  470   918  159  38   61  1336  425  118  42  54  27  765  375   3  32   71  0.261  0.335  0.379  0.714  106  0.118  0.315  29.9%  19.1%   9.3%  0.49     WL
2       Hiroshima Carp  3839  3472  388   865  152  33   78  1317  360   65  33  45  20  735  276   1  26   86  0.249  0.308  0.379  0.687   97  0.130  0.294  28.4%  19.1%   7.2%  0.38     WL
3        DeNA BayStars  4153  3649  465   891  177  21   76  1338  435   97  56  41  43  920  376   3  44   74  0.244  0.319  0.367  0.686  100  0.123  0.302  33.0%  22.2%   9.1%  0.41     EL
4       Yomiuri Giants  4455  3929  527  1055  184  19  102  1583  482   71  44  46  22  764  411   1  47   94  0.269  0.343  0.403  0.746  108  0.134  0.309  28.7%  17.1%   9.2%  0.54     EL
5      Yakult Swallows  4036  3569  486   932  179  18   81  1390  451   48  32  46  21  640  362   0  37   72  0.261  0.334  0.389  0.723  108  0.128  0.297  26.8%  15.9%   9.0%  0.57     EL
6     Chunichi Dragons  3703  3296  388   795  159  36   54  1188  364   81  43  18  22  795  333   1  34   56  0.241  0.315  0.360  0.675   85  0.119  0.300  31.9%  21.5%   9.0%  0.42     WL
7       ORIX Buffaloes  3979  3542  312   764  152  21   24  1030  284   66  57  49  19  819  332   2  37   64  0.216  0.288  0.291  0.579   68  0.075  0.272  29.5%  20.6%   8.3%  0.41     WL
8        Lotte Marines  4192  3553  499   895  156  23   63  1286  443  106  58  34  32  783  520   2  53   72  0.252  0.353  0.362  0.715  103  0.110  0.304  32.6%  18.7%  12.4%  0.66     EL
9       SoftBank Hawks  4025  3501  483   876  184  37   76  1362  450   82  42  56  25  812  387   3  56   73  0.250  0.332  0.389  0.721  104  0.139  0.303  31.7%  20.2%   9.6%  0.48     WL
10      Rakuten Eagles  4427  3870  501  1024  171  24   79  1480  473   65  35  56  34  724  429   1  38  110  0.265  0.341  0.382  0.723  105  0.117  0.305  27.8%  16.4%   9.7%  0.59     EL
11         Seibu Lions  3986  3520  452   876  174  23  108  1420  421   53  28  41  16  821  364   0  44   84  0.249  0.326  0.403  0.729  107  0.154  0.295  32.4%  20.6%   9.1%  0.44     EL
12  Nipponham Fighters  4030  3527  458   870  164  16   94  1348  431   60  31  49  33  841  362   7  59   81  0.247  0.324  0.382  0.706  102  0.135  0.296  32.2%  20.9%   9.0%  0.43     EL
13      League Average  4070  3579  452   897  168  26   75  1340  418   76  42  45  26  785  377   2  42   78  0.251  0.327  0.374  0.701  100  0.123  0.299  30.4%  19.3%   9.3%  0.48    NaN
