Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Onodera Dan,75,303,267,36,84,12,3,6,120,44,9,2,1,1,39,33,0,1,6,0.315,0.391,0.449,0.840,143,0.134,0.350,25.7%,12.9%,10.9%,0.85,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Takayama Shun,95,351,321,28,65,11,3,3,91,23,8,6,2,1,45,24,0,2,7,0.202,0.261,0.283,0.544,56,0.081,0.226,20.5%,12.8%,6.8%,0.53,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Kinoshita Motohide,89,292,278,29,67,15,3,2,94,22,2,1,0,1,39,10,0,3,7,0.241,0.274,0.338,0.612,76,0.097,0.273,17.5%,13.4%,3.4%,0.26,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Itoh Yukiya,80,316,284,38,65,13,0,10,108,38,8,1,0,6,57,25,0,1,6,0.229,0.288,0.380,0.668,94,0.151,0.247,29.1%,18.0%,7.9%,0.44,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Kobukata Daichi,100,363,316,28,68,15,1,4,97,43,2,3,1,3,108,39,0,4,14,0.215,0.307,0.307,0.614,80,0.092,0.309,41.6%,29.8%,10.7%,0.36,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Tanabe Hayato,96,314,276,30,51,12,0,2,69,26,1,2,9,3,80,25,0,1,8,0.185,0.252,0.250,0.502,46,0.065,0.249,34.1%,25.5%,8.0%,0.31,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
Urena Estamy,86,320,289,34,72,13,0,10,115,42,1,0,0,1,73,29,0,1,10,0.249,0.319,0.398,0.717,100,0.149,0.300,35.0%,22.8%,9.1%,0.40,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
Nagaoka Hideki,82,302,283,39,74,19,1,7,116,28,1,1,5,2,36,12,0,0,9,0.261,0.290,0.410,0.700,100,0.149,0.277,18.2%,11.9%,4.0%,0.33,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
Ohta Kengo,67,281,254,42,83,12,4,8,127,43,6,1,0,7,39,20,0,0,8,0.327,0.367,0.500,0.867,149,0.173,0.350,23.8%,13.9%,7.1%,0.51,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
Okumura Nobuyuki,76,285,246,47,74,8,0,11,115,54,2,2,2,1,48,32,0,3,8,0.301,0.387,0.467,0.854,146,0.166,0.335,31.9%,16.8%,11.2%,0.67,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
