Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Nishi Junya,17,6,3,0,0,0,372,85.1,79,12,75,46,1,3,4,44,39,4.11,5.40,4.02,1.46,88,128,106,-1.29,3.2%,20.2%,12.4%,7.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Nakamura Yuta,16,6,5,0,0,0,345,85.1,76,8,61,19,0,2,1,29,27,2.85,4.13,3.58,1.11,127,98,94,-1.28,2.3%,17.7%,5.5%,12.2%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Inoh Shoichi,24,6,7,2,1,0,448,104.0,124,7,65,27,0,5,1,56,47,4.07,4.15,3.95,1.45,94,93,104,-0.08,1.6%,14.5%,6.0%,8.5%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
Okano Yuichiro,19,5,6,1,0,0,360,91.2,87,10,66,12,0,4,2,35,32,3.14,4.11,3.30,1.08,127,88,87,-0.97,2.8%,18.3%,3.3%,15.0%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
Honda Hitomi,18,2,10,0,1,1,389,90.2,87,9,92,30,0,2,5,55,51,5.06,3.93,3.21,1.29,71,94,84,1.13,2.3%,23.7%,7.7%,16.0%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,WL
Mori Ryotaro,20,10,5,0,1,1,486,115.1,101,12,87,43,0,2,3,45,41,3.20,4.62,3.89,1.25,117,106,102,-1.42,2.5%,17.9%,8.8%,9.1%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
Sato Shoma,17,7,5,0,2,2,372,87.1,83,10,58,40,0,1,3,36,34,3.50,5.17,4.32,1.41,107,118,114,-1.67,2.7%,15.6%,10.8%,4.8%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,EL
Ohtake Koutaro,20,8,3,1,1,0,382,90.2,98,4,79,17,0,2,3,40,33,3.28,3.07,3.18,1.27,113,71,84,0.21,1.0%,20.7%,4.5%,16.2%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
Kamata Yoshinao,20,7,6,0,2,1,467,117.2,96,9,79,41,0,3,7,41,37,2.83,4.38,3.99,1.16,131,101,105,-1.55,1.9%,16.9%,8.8%,8.1%,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
Takada Koichi,20,6,10,0,1,0,471,109.1,93,5,95,58,0,1,2,47,39,3.21,4.08,4.01,1.38,116,94,106,-0.87,1.1%,20.2%,12.3%,7.9%,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,EL
Honda Keisuke,17,8,3,1,0,0,407,97.0,90,7,82,24,0,7,4,36,25,2.32,3.81,3.37,1.18,159,88,89,-1.49,1.7%,20.1%,5.9%,14.2%,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,EL
Nabatame Tsubasa,19,4,6,0,0,0,369,90.0,78,8,66,26,0,3,2,34,23,2.30,4.26,3.72,1.16,158,100,98,-1.96,2.2%,17.9%,7.0%,10.9%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,EL
