Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Alcantara Raul,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.500,0.000,0.500,54,0.000,0.000,50.0%,0.0%,50.0%,1.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Araki Fumiya,52,104,94,14,29,5,1,1,39,11,4,3,0,2,14,8,0,0,2,0.309,0.356,0.415,0.771,122,0.106,0.346,22.1%,13.5%,7.7%,0.57,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Chikamoto Koji,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Egoshi Taiga,47,201,179,30,45,7,2,7,77,19,7,3,1,0,79,15,1,6,2,0.251,0.330,0.430,0.760,118,0.179,0.409,50.2%,39.3%,7.5%,0.19,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Endo Jo,86,267,230,25,54,5,3,0,65,21,3,2,12,3,57,18,0,4,4,0.235,0.298,0.283,0.581,68,0.048,0.307,28.1%,21.3%,6.7%,0.32,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Fujikawa Shunsuke,29,46,40,3,10,1,0,0,11,2,1,2,0,0,5,6,1,0,2,0.250,0.348,0.275,0.623,82,0.025,0.286,23.9%,10.9%,13.0%,1.20,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Fujita Kento,32,45,42,3,6,1,0,0,7,0,0,0,0,0,14,2,0,1,1,0.143,0.200,0.167,0.367,6,0.024,0.214,35.6%,31.1%,4.4%,0.14,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Fujitani Kosuke,24,20,19,0,1,0,0,0,1,1,0,0,0,1,8,0,0,0,1,0.053,0.050,0.053,0.103,-72,0.000,0.083,40.0%,40.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Haraguchi Fumihito,5,19,16,2,2,0,0,0,2,1,0,0,0,1,1,1,0,1,2,0.125,0.211,0.125,0.336,-2,0.000,0.125,10.5%,5.3%,5.3%,1.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Hojoh Fumiya,17,56,50,4,15,3,0,1,21,6,2,0,0,0,10,4,0,2,3,0.300,0.375,0.420,0.795,130,0.120,0.359,26.8%,17.9%,7.1%,0.40,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Inoue Kouta,68,275,255,35,68,19,2,9,118,50,2,0,0,3,95,15,0,2,4,0.267,0.309,0.463,0.772,120,0.196,0.383,43.3%,34.5%,5.5%,0.16,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Itayama Yutaro,64,244,215,28,57,9,7,5,95,33,12,4,1,2,34,26,0,0,5,0.265,0.342,0.442,0.784,126,0.177,0.292,26.6%,13.9%,10.7%,0.76,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Itohara Kento,4,13,10,2,4,0,0,0,4,2,0,0,0,1,1,2,0,0,0,0.400,0.462,0.400,0.862,151,0.000,0.400,23.1%,7.7%,15.4%,2.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Itoi Yoshio,1,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,327,0.500,0.500,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Katayama Yuya,45,81,69,13,15,1,0,3,25,5,3,1,0,0,13,12,0,0,0,0.217,0.333,0.362,0.695,101,0.145,0.226,34.6%,16.0%,14.8%,0.92,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Kinami Seiya,20,83,78,11,28,5,0,1,36,15,1,1,0,2,8,3,0,0,3,0.359,0.373,0.462,0.835,140,0.103,0.380,14.5%,9.6%,3.6%,0.38,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Kumagai Takahiro,25,102,86,12,22,4,1,0,28,9,5,0,6,0,15,10,0,0,0,0.256,0.333,0.326,0.659,91,0.070,0.310,24.5%,14.7%,9.8%,0.67,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Marte Jefry,5,15,13,3,6,1,0,2,13,4,0,0,0,0,4,2,0,0,0,0.462,0.533,1.000,1.533,337,0.538,0.571,53.3%,26.7%,13.3%,0.50,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Nagasaka Kenya,66,193,165,13,35,6,0,0,41,11,3,2,3,1,45,21,0,3,4,0.212,0.311,0.248,0.559,62,0.036,0.289,34.2%,23.3%,10.9%,0.47,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Nakano Takumu,2,8,8,0,3,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0.375,0.375,0.375,0.750,117,0.000,0.429,12.5%,12.5%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Nakatani Masahiro,59,225,203,20,54,10,2,5,83,26,5,1,0,1,33,20,0,1,3,0.266,0.333,0.409,0.742,113,0.143,0.295,25.8%,14.7%,8.9%,0.61,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Obata Ryuhei,65,277,244,35,70,11,1,0,83,18,14,5,5,1,42,26,0,1,3,0.287,0.357,0.340,0.697,102,0.053,0.345,24.5%,15.2%,9.4%,0.62,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Ohyama Yusuke,2,8,7,1,2,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0.286,0.375,0.286,0.661,93,0.000,0.333,25.0%,12.5%,12.5%,1.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Okuyama Kouta,33,23,19,4,5,1,0,0,6,1,0,1,1,0,8,3,0,0,1,0.263,0.364,0.316,0.680,98,0.053,0.455,47.8%,34.8%,13.0%,0.38,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Onodera Dan,75,303,267,36,84,12,3,6,120,44,9,2,1,1,39,33,0,1,6,0.315,0.391,0.449,0.840,143,0.134,0.350,25.7%,12.9%,10.9%,0.85,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Oyokawa Masaki,8,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Rojas Jr. Mel,36,130,105,24,28,6,0,7,55,20,4,0,0,1,31,21,0,3,2,0.267,0.400,0.524,0.924,165,0.257,0.309,45.4%,23.8%,16.2%,0.68,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Sakaeda Yuki,47,129,109,17,28,5,3,1,42,18,2,1,4,0,23,14,1,2,2,0.257,0.352,0.385,0.737,112,0.128,0.318,29.5%,17.8%,10.9%,0.61,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Sakamoto Seishiro,5,17,15,2,6,3,0,0,9,4,0,0,0,0,4,2,0,0,0,0.400,0.471,0.600,1.071,208,0.200,0.545,35.3%,23.5%,11.8%,0.50,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Sato Teruaki,8,34,33,4,9,3,0,1,15,5,1,0,0,0,11,1,0,0,0,0.273,0.294,0.455,0.749,113,0.182,0.381,38.2%,32.4%,2.9%,0.09,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Shimada Kairi,63,228,195,37,67,7,6,3,95,29,21,7,6,1,28,25,0,1,4,0.344,0.419,0.487,0.906,161,0.143,0.388,24.6%,12.3%,11.0%,0.89,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Takatera Nozomu,58,157,136,16,22,5,2,1,34,10,2,1,3,0,28,17,0,1,3,0.162,0.260,0.250,0.510,47,0.088,0.196,29.3%,17.8%,10.8%,0.61,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Takayama Shun,95,351,321,28,65,11,3,3,91,23,8,6,2,1,45,24,0,2,7,0.202,0.261,0.283,0.544,56,0.081,0.226,20.5%,12.8%,6.8%,0.53,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Ueda Kai,18,54,45,5,8,1,0,0,9,1,3,0,3,0,9,6,0,0,1,0.178,0.275,0.200,0.475,39,0.022,0.222,27.8%,16.7%,11.1%,0.67,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Umeno Ryutaro,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.500,0.000,0.500,54,0.000,0.000,50.0%,0.0%,50.0%,1.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Yamamoto Yasuhiro,30,111,90,19,27,6,0,0,33,8,2,0,6,2,12,12,0,1,1,0.300,0.381,0.367,0.748,117,0.067,0.338,21.6%,10.8%,10.8%,1.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Yohkawa Naomasa,46,181,155,24,42,10,2,5,71,28,4,0,0,3,45,23,0,0,4,0.271,0.359,0.458,0.817,135,0.187,0.343,40.3%,24.9%,12.7%,0.51,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Abe Tomohiro,13,41,37,4,10,2,1,2,20,5,0,0,0,0,9,4,0,0,2,0.270,0.341,0.541,0.882,152,0.271,0.308,36.6%,22.0%,9.8%,0.44,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Aizawa Tsubasa,4,10,8,1,4,1,0,0,5,1,0,0,0,0,0,2,0,0,1,0.500,0.600,0.625,1.225,255,0.125,0.500,20.0%,0.0%,20.0%,1.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
Chono Hisayoshi,11,30,27,1,6,1,0,0,7,1,0,0,0,0,3,3,0,0,1,0.222,0.300,0.259,0.559,62,0.037,0.250,20.0%,10.0%,10.0%,1.00,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
