Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Akiyama Takumi,2,0,0,0,0,0,20,5.0,3,1,4,1,0,0,0,2,2,3.60,5.21,3.30,0.80,100,124,87,-1.61,5.0%,20.0%,5.0%,15.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Alcantara Raul,6,2,0,0,0,0,52,14.0,7,0,10,4,0,0,0,0,0,0.00,3.03,3.65,0.79,999,72,96,-3.03,0.0%,19.2%,7.7%,11.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Baba Kosuke,8,1,0,1,0,0,41,12.0,6,1,6,0,0,1,1,2,2,1.50,3.94,3.34,0.50,240,93,88,-2.44,2.4%,14.6%,0.0%,14.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Chen Wei-Yin,6,2,2,0,0,0,120,30.2,26,0,21,2,0,1,0,7,6,1.76,2.53,3.22,0.91,205,60,85,-0.77,0.0%,17.5%,1.7%,15.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Edwards Jon,27,0,1,5,0,0,133,34.0,27,3,36,5,0,2,2,15,11,2.91,3.25,2.47,0.94,124,77,65,-0.34,2.3%,27.1%,3.8%,23.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Fujinami Shintaro,8,2,1,0,0,0,168,39.1,37,1,48,21,0,2,4,18,13,2.97,3.25,3.19,1.47,121,77,84,-0.28,0.6%,28.6%,12.5%,16.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Gunkel Joe,1,0,0,0,0,0,15,4.1,3,0,2,0,0,1,0,0,0,0.00,3.38,3.47,0.69,999,80,91,-3.38,0.0%,13.3%,0.0%,13.3%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Hamachi Masumi,37,3,1,8,0,0,185,45.0,45,2,44,11,0,0,3,17,17,3.40,2.96,3.02,1.24,106,70,79,0.44,1.1%,23.8%,5.9%,17.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Ishii Daichi,14,0,1,2,0,0,55,13.2,8,0,10,3,0,2,1,3,3,1.98,3.24,3.53,0.80,182,77,93,-1.26,0.0%,18.2%,5.5%,12.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
Ishii Masaki,29,2,0,0,0,0,100,20.2,17,0,14,18,0,4,7,9,8,3.48,5.44,5.20,1.69,104,129,137,-1.96,0.0%,14.0%,18.0%,-4.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
