Team,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,65,34,34,0,0,3922,940.1,811,72,808,362,2,47,64,387,340,3.25,4.19,3.66,1.25,111,99,96.4,-0.93,1.8%,20.6%,9.2%,11.4%,WL
<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,39,63,22,1,0,3909,908.2,853,62,728,374,3,29,62,463,405,4.01,4.22,3.89,1.35,90,100,102.5,-0.21,1.6%,18.6%,9.6%,9.1%,WL
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,51,55,24,1,0,4259,970.2,919,70,857,471,1,60,82,524,424,3.93,4.42,3.89,1.43,89,108,102.5,-0.49,1.6%,20.1%,11.1%,9.1%,EL
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,56,57,19,5,3,4426,1019.0,1089,93,850,365,3,32,47,541,482,4.26,4.29,3.70,1.43,90,96,97.5,-0.04,2.1%,19.2%,8.2%,11.0%,EL
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,49,50,20,1,0,3936,913.1,876,83,803,364,2,53,59,459,389,3.83,4.40,3.68,1.36,94,104,97.0,-0.57,2.1%,20.4%,9.2%,11.2%,EL
<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,48,50,19,2,1,3636,871.2,817,60,635,260,0,47,36,374,329,3.40,4.10,3.77,1.24,118,88,99.2,-0.70,1.7%,17.5%,7.2%,10.3%,WL
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,37,71,23,1,1,4167,961.2,958,65,863,377,3,25,61,499,406,3.80,3.94,3.63,1.39,94,94,95.6,-0.14,1.6%,20.7%,9.0%,11.7%,WL
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,60,42,24,3,3,4013,958.2,852,80,754,347,1,22,36,373,334,3.14,4.27,3.79,1.25,119,98,99.6,-1.14,2.0%,18.8%,8.6%,10.1%,EL
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,65,40,28,9,5,3938,954.2,795,38,887,336,2,35,47,334,281,2.65,3.43,3.40,1.18,140,79,89.5,-0.78,1.0%,22.5%,8.5%,14.0%,WL
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,54,55,23,4,2,4370,1009.2,929,86,820,476,3,56,50,494,449,4.00,4.67,4.01,1.39,93,108,105.6,-0.67,2.0%,18.8%,10.9%,7.9%,EL
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,48,53,19,4,0,4140,936.1,924,72,688,415,2,62,51,504,402,3.86,4.66,4.14,1.43,96,108,109.0,-0.80,1.7%,16.6%,10.0%,6.6%,EL
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,49,51,22,1,0,4120,946.0,938,115,726,380,2,39,41,477,417,3.97,4.98,3.96,1.39,92,117,104.2,-1.01,2.8%,17.6%,9.2%,8.4%,EL
League Average,52,52,23,3,1,4070,949.0,897,75,785,377,2,42,53,452,388,3.68,4.30,3.80,1.34,100,100,99.9,-0.62,1.8%,19.3%,9.3%,10.0%,
