Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Chikamoto Koji,140,612,569,91,178,33,5,10,251,50,24,7,4,2,58,33,0,4,6,0.313,0.354,0.441,0.795,133,0.128,0.334,16.5%,9.5%,5.4%,0.57,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Itohara Kento,125,488,441,34,126,17,3,2,155,30,6,5,1,3,61,41,0,2,9,0.286,0.347,0.351,0.698,107,0.065,0.325,21.3%,12.5%,8.4%,0.67,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Marte Jefry,128,526,446,55,115,18,1,22,201,71,0,0,0,2,72,74,3,4,16,0.258,0.367,0.451,0.818,141,0.193,0.263,31.9%,13.7%,14.1%,1.03,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nakano Takumu,135,525,466,45,127,15,4,1,153,36,30,2,20,4,81,29,5,6,6,0.273,0.321,0.328,0.649,91,0.055,0.325,21.1%,15.4%,5.5%,0.36,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Ohyama Yusuke,129,512,466,55,121,23,2,21,211,71,2,1,0,7,89,37,1,2,15,0.260,0.313,0.453,0.766,123,0.193,0.275,28.7%,17.4%,7.2%,0.42,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Sands Jerry,120,461,408,47,101,21,1,20,184,65,1,1,0,3,89,49,5,1,11,0.248,0.328,0.451,0.779,127,0.203,0.268,34.3%,19.3%,10.6%,0.55,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Sato Teruaki,126,455,425,56,101,25,0,24,198,64,6,2,0,2,173,25,4,3,2,0.238,0.284,0.466,0.750,117,0.228,0.335,48.8%,38.0%,5.5%,0.14,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Umeno Ryutaro,130,458,404,33,91,15,3,3,121,33,8,4,6,2,107,41,3,5,14,0.225,0.303,0.300,0.603,78,0.075,0.297,33.0%,23.4%,9.0%,0.38,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kikuchi Ryosuke,132,542,494,64,137,23,2,16,212,60,1,5,2,3,86,42,2,1,8,0.277,0.333,0.429,0.762,124,0.152,0.306,26.6%,15.9%,7.7%,0.49,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Kozono Kaito,113,481,449,65,134,18,6,5,179,35,4,4,12,4,57,13,1,3,7,0.298,0.320,0.399,0.719,112,0.101,0.330,15.6%,11.9%,2.7%,0.23,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Nishikawa Ryoma,137,551,504,57,144,19,1,12,201,60,3,3,4,4,70,37,1,2,14,0.286,0.335,0.399,0.734,117,0.113,0.310,21.6%,12.7%,6.7%,0.53,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Sakakura Shogo,132,484,422,58,133,24,2,12,197,68,4,3,2,5,60,51,1,4,9,0.315,0.390,0.467,0.857,153,0.152,0.341,25.4%,12.4%,10.5%,0.85,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Suzuki Seiya,132,533,435,77,138,26,0,38,278,88,9,4,0,5,88,87,11,6,7,0.317,0.433,0.639,1.072,216,0.322,0.318,40.0%,16.5%,16.3%,0.99,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
