Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,League
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,5265,4704,541,1164,208,23,121,1781,517,114,30,82,33,1082,406,22,40,95,0.247,0.311,0.379,0.690,102,0.132,0.295,30.6%,20.6%,7.7%,0.38,CL
<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,5361,4798,557,1265,200,17,123,1868,532,68,40,85,34,1015,402,24,42,94,0.264,0.324,0.389,0.713,110,0.125,0.309,28.7%,18.9%,7.5%,0.40,CL
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,5340,4784,559,1233,254,13,136,1921,546,31,27,81,24,1028,407,18,43,107,0.258,0.320,0.402,0.722,106,0.144,0.301,29.4%,19.3%,7.6%,0.40,CL
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,5241,4692,552,1137,207,11,169,1873,532,65,36,48,27,1157,431,22,43,98,0.242,0.310,0.399,0.709,100,0.157,0.285,33.5%,22.1%,8.2%,0.37,CL
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,5399,4708,625,1196,214,17,142,1870,603,70,32,90,27,1079,513,22,61,105,0.254,0.333,0.397,0.730,107,0.143,0.300,32.1%,20.0%,9.5%,0.48,CL
<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,5073,4595,405,1090,182,21,69,1521,381,60,36,98,23,973,326,26,31,104,0.237,0.291,0.331,0.622,86,0.094,0.286,27.0%,19.2%,6.4%,0.34,CL
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,5258,4694,551,1160,178,19,133,1775,520,50,24,80,30,962,384,21,70,104,0.247,0.312,0.378,0.690,103,0.131,0.283,28.1%,18.3%,7.3%,0.40,PL
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,5329,4612,584,1104,233,17,126,1749,558,107,36,106,42,1053,514,16,55,90,0.239,0.320,0.379,0.699,100,0.140,0.281,31.8%,19.8%,9.6%,0.49,PL
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,5298,4688,564,1157,201,26,132,1806,542,92,30,93,38,1066,452,20,27,80,0.247,0.314,0.385,0.699,102,0.138,0.291,31.1%,20.1%,8.5%,0.42,PL
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,5386,4641,532,1129,178,27,108,1685,508,45,36,105,32,975,538,11,70,100,0.243,0.329,0.363,0.692,103,0.120,0.284,30.1%,18.1%,10.0%,0.55,PL
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,5245,4623,521,1107,195,20,112,1678,496,84,45,83,46,1006,442,11,51,84,0.239,0.310,0.363,0.673,94,0.124,0.280,29.7%,19.2%,8.4%,0.44,PL
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,5251,4617,454,1067,203,24,78,1552,437,77,36,89,32,1207,468,11,45,93,0.231,0.306,0.336,0.642,88,0.105,0.294,33.4%,23.0%,8.9%,0.39,PL
League Average,5287,4680,537,1151,204,20,121,1757,514,72,34,87,32,1050,440,19,48,96,0.246,0.315,0.375,0.690,100,0.129,0.291,30.5%,19.9%,8.3%,0.42,
