Team,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,77,56,43,92,6,2,5244,1257.0,1136,115,986,388,36,31,37,508,461,3.30,3.77,3.66,1.21,105,99,100.3,-0.47,2.2%,18.8%,7.4%,11.4%,CL
<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,63,68,37,96,5,3,5422,1253.2,1224,124,1034,483,19,45,34,589,532,3.82,4.05,3.78,1.36,90,108,103.7,-0.23,2.3%,19.1%,8.9%,10.2%,CL
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,54,73,27,97,3,2,5347,1248.1,1237,124,1057,461,20,51,41,624,577,4.16,3.98,3.69,1.36,87,100,101.0,0.18,2.3%,19.8%,8.6%,11.1%,CL
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,61,62,33,112,4,2,5295,1252.2,1132,139,1079,464,20,56,24,541,511,3.67,4.12,3.64,1.27,101,101,99.7,-0.45,2.6%,20.4%,8.8%,11.6%,CL
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,73,52,44,149,3,1,5287,1260.1,1216,144,1129,363,25,50,32,531,487,3.48,3.83,3.35,1.25,107,94,91.8,-0.35,2.7%,21.4%,6.9%,14.5%,CL
<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,55,71,36,100,4,2,5163,1243.0,1145,98,1005,376,17,38,33,478,445,3.22,3.56,3.58,1.22,103,97,98.1,-0.34,1.9%,19.5%,7.3%,12.2%,CL
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,70,55,38,107,6,4,5198,1254.0,1093,107,1055,403,15,49,21,500,461,3.31,3.66,3.55,1.19,104,97,97.1,-0.35,2.1%,20.3%,7.8%,12.5%,PL
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,67,57,41,115,5,2,5340,1264.0,1191,147,953,417,21,34,47,570,516,3.67,4.23,3.80,1.27,99,106,104.0,-0.55,2.8%,17.8%,7.8%,10.0%,PL
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,60,62,28,98,2,1,5227,1255.1,1021,121,1199,502,10,65,30,493,454,3.25,3.85,3.47,1.21,109,99,95.0,-0.60,2.3%,22.9%,9.6%,13.3%,PL
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,66,62,36,93,5,3,5232,1260.0,1146,115,1098,383,10,32,29,507,476,3.40,3.58,3.43,1.21,102,94,94.1,-0.18,2.2%,21.0%,7.3%,13.7%,PL
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,55,70,32,100,4,2,5434,1250.2,1171,117,947,597,9,65,63,589,548,3.94,4.44,4.16,1.41,91,112,113.9,-0.50,2.2%,17.4%,11.0%,6.4%,PL
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,55,68,31,111,3,2,5257,1255.2,1097,98,1061,446,22,62,35,515,463,3.32,3.69,3.63,1.23,105,96,99.5,-0.37,1.9%,20.2%,8.5%,11.7%,PL
League Average,63,63,36,106,4,2,5287,1255.0,1151,121,1050,440,19,48,36,537,494,3.54,3.90,3.65,1.27,100,100,99.9,-0.36,2.3%,19.9%,8.3%,11.5%,
