batId,batter_team_name_short,batter_name,Bats,IP,PA,Count,qualified,FB Velo,K%,BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,Whiff%,SwStr%,CSW%,Ball%,Strike%,F-Str%,PAR%,PLUS%,Behind%,Zone%,Glove%,Arm%,High%,Low%,MM%,Sec%,sHPT,sST,sSeager,BIP,Pull AIR%,HR%,HR/FB,Usage,Avg Velo,Max Velo,YpERA Grade,null,GB%,FB%,LD%,IFFB%,OFFB%,AIR%,Pull%,Cent%,Oppo%,FB Velo_pctl,K%_pctl,BB%_pctl,Swing%_pctl,Z-Swing%_pctl,Chase%_pctl,Contact%_pctl,Z-Con%_pctl,O-Con%_pctl,Whiff%_pctl,SwStr%_pctl,CSW%_pctl,Ball%_pctl,Strike%_pctl,F-Str%_pctl,PAR%_pctl,PLUS%_pctl,Behind%_pctl,Zone%_pctl,Glove%_pctl,Arm%_pctl,High%_pctl,Low%_pctl,MM%_pctl,Sec%_pctl,BIP_pctl,GB%_pctl,FB%_pctl,LD%_pctl,IFFB%_pctl,OFFB%_pctl,AIR%_pctl,Pull%_pctl,Cent%_pctl,Oppo%_pctl,Pull AIR%_pctl,HR%_pctl,HR/FB_pctl,Usage_pctl,Avg Velo_pctl,Max Velo_pctl,YpERA Grade_pctl
800042,Hiroshima,Abe Tomohiro,L,39,169,729,TRUE,90.5,0.2781065089,0.07692307692,0.4684065934,0.6895604396,0.2465753425,0.7126099707,0.8207171315,0.4111111111,0.2873900293,0.1346153846,0.2857142857,0.3736263736,0.6263736264,0.5621301775,0.194214876,0.5700549451,0.1289437586,0.5,0.4362139918,0.5637860082,0.4046639232,0.5953360768,0.06035665295,0.4203296703,,,,106,0.1296296296,0.005917159763,0.02083333333,1,86.06446777,100.1,,0,0.4433962264,0.4528301887,0.1037735849,0.09433962264,0.358490566,0.5566037736,0.3396226415,0.4528301887,0.2075471698,0.4052631579,0.3936842105,0.6989473684,0.5115789474,0.6378947368,0.6147368421,0.3684210526,0.3768421053,0.2673684211,0.3789473684,0.4073684211,0.5621052632,0.7705263158,0.7705263158,0.7642105263,0.5515789474,0.7726315789,0.7705263158,0.7589473684,0.7852631579,0.2168421053,0.5536842105,0.4484210526,0.5073684211,0.2926315789,0.2736842105,0.6715789474,0.6589473684,0.8357894737,0.4863157895,0.7494736842,0.72,0.4715789474,0.1915789474,0.6589473684,0.5557894737,0.5821052632,0.4147368421,0.4884210526,0.4147368421,0.07473684211,
1500078,Chunichi,Abe Toshiki,R,60,240,972,TRUE,90.2,0.15,0.07916666667,0.4722222222,0.7015209125,0.201793722,0.8300653595,0.8780487805,0.6333333333,0.1699346405,0.08024691358,0.237654321,0.3641975309,0.6358024691,0.6244725738,0.1125401929,0.5864197531,0.1069958848,0.5411522634,0.5956790123,0.4043209877,0.3940329218,0.6059670782,0.06893004115,0.3456790123,,,,182,0.1189189189,0.02083333333,0.0625,1,85.8641791,98.8,,0,0.489010989,0.4395604396,0.07142857143,0.1373626374,0.3021978022,0.510989011,0.2967032967,0.3626373626,0.3406593407,0.5747368421,0.7863157895,0.7178947368,0.5305263158,0.6905263158,0.7768421053,0.7852631579,0.66,0.6863157895,0.7957894737,0.7578947368,0.9031578947,0.7084210526,0.7084210526,0.4757894737,0.8778947368,0.6778947368,0.56,0.4210526316,0.2715789474,0.7305263158,0.64,0.3621052632,0.3473684211,0.6252631579,0.2,0.5557894737,0.6294736842,0.5831578947,0.2526315789,0.5726315789,0.6042105263,0.3515789474,0.5284210526,0.2063157895,0.5157894737,0.7642105263,0.5747368421,0.4884210526,0.5052631579,0.2168421053,
1100105,ORIX,Adachi Ryoichi,R,83.66666667,381,1534,TRUE,90.5,0.1706036745,0.1181102362,0.371577575,0.5330132053,0.179743224,0.8350877193,0.9279279279,0.5079365079,0.1649122807,0.06127770535,0.3050847458,0.3748370274,0.6251629726,0.562005277,0.1428571429,0.5684485007,0.112125163,0.5430247718,0.5912646675,0.4087353325,0.4146023468,0.5853976532,0.06975228162,0.3604954368,,,,263,0.05597014925,0,0,1,86.79598912,99.4,,0,0.6121673004,0.3346007605,0.05323193916,0.07224334601,0.2623574144,0.3878326996,0.2357414449,0.4676806084,0.2965779468,0.4052631579,0.7242105263,0.8989473684,0.12,0.2336842105,0.8421052632,0.7978947368,0.8168421053,0.4694736842,0.8084210526,0.8526315789,0.4210526316,0.7810526316,0.7810526316,0.7663157895,0.7536842105,0.7789473684,0.6357894737,0.4021052632,0.2926315789,0.7094736842,0.4673684211,0.5347368421,0.3284210526,0.5726315789,0.1515789474,0.2884210526,0.3705263158,0.4652631579,0.6063157895,0.4631578947,0.3368421053,0.2568421053,0.1768421053,0.3178947368,0.3178947368,0.2810526316,0.1968421053,0.4884210526,0.2378947368,0.14,
1600006,Rakuten,Adachi Yuichi,R,6,20,81,TRUE,87.8,0.1,0.05,0.5125,0.693877551,0.21875,0.9024390244,0.9411764706,0.7142857143,0.09756097561,0.05,0.2125,0.3,0.7,0.6,0.06666666667,0.6875,0.07407407407,0.6125,0.5061728395,0.4938271605,0.2839506173,0.7160493827,0.06172839506,0.3,,,,16,0.125,0,0,1,84.75540541,93.8,,0,0.5,0.5,0,0,0.5,0.5,0.25,0.5,0.25,0.9378947368,0.8968421053,0.5,0.7221052632,0.6673684211,0.7157894737,0.9115789474,0.8621052632,0.8042105263,0.9221052632,0.8989473684,0.9557894737,0.3284210526,0.3284210526,0.5915789474,0.94,0.2536842105,0.3305263158,0.1663157895,0.5326315789,0.4694736842,0.9473684211,0.05473684211,0.48,0.7378947368,0.6021052632,0.5105263158,0.7821052632,0.1736842105,0.8547368421,0.9484210526,0.5589473684,0.2757894737,0.1305263158,0.4642105263,0.5378947368,0.2810526316,0.1968421053,0.4884210526,0.8421052632,0.7494736842,
700050,Hiroshima,Aizawa Tsubasa,R,47.66666667,204,796,TRUE,89.8,0.1568627451,0.06862745098,0.4452830189,0.644549763,0.2192513369,0.7966101695,0.8455882353,0.6341463415,0.2033898305,0.09056603774,0.2742138365,0.3610062893,0.6389937107,0.552238806,0.1502347418,0.5748427673,0.1293969849,0.5308176101,0.6168341709,0.3831658291,0.4032663317,0.5967336683,0.07537688442,0.3937106918,,,,147,0.07947019868,0.009803921569,0.02941176471,1,85.18643617,97.6,,0,0.4761904762,0.462585034,0.0612244898,0.07482993197,0.387755102,0.5238095238,0.2925170068,0.3741496599,0.3333333333,0.7126315789,0.7684210526,0.64,0.3705263158,0.4778947368,0.7115789474,0.6757894737,0.4778947368,0.6884210526,0.6863157895,0.6757894737,0.6421052632,0.6778947368,0.6778947368,0.7957894737,0.7263157895,0.7494736842,0.7747368421,0.5157894737,0.1894736842,0.8126315789,0.5663157895,0.4357894737,0.2463157895,0.44,0.2252631579,0.5915789474,0.6863157895,0.5052631579,0.6,0.8273684211,0.6410526316,0.3431578947,0.48,0.2252631579,0.3642105263,0.6252631579,0.44,0.4884210526,0.7368421053,0.3915789474,
600020,Rakuten,Akaminai Ginji,L,22,104,389,TRUE,90.7,0.1057692308,0.125,0.4215938303,0.6172248804,0.1944444444,0.8780487805,0.9379844961,0.6571428571,0.1219512195,0.05141388175,0.2570694087,0.3727506427,0.6272493573,0.6346153846,0.1089108911,0.557840617,0.1388174807,0.5372750643,0.5038560411,0.4961439589,0.4087403599,0.5912596401,0.06683804627,0.3856041131,,,,80,0.1,0,0,1,86.35301837,97.6,,0,0.475,0.3625,0.1625,0.1,0.2625,0.525,0.325,0.45,0.225,0.3105263158,0.8936842105,0.9084210526,0.2652631579,0.3852631579,0.8021052632,0.8842105263,0.8526315789,0.72,0.8947368421,0.8926315789,0.8063157895,0.7536842105,0.7536842105,0.4368421053,0.8905263158,0.8442105263,0.8378947368,0.4610526316,0.5389473684,0.4631578947,0.5242105263,0.4778947368,0.3831578947,0.4757894737,0.3231578947,0.5957894737,0.4231578947,0.9284210526,0.4526315789,0.4652631579,0.6442105263,0.4126315789,0.1978947368,0.5852631579,0.4431578947,0.2810526316,0.1968421053,0.4884210526,0.3410526316,0.3915789474,
400026,SoftBank,Akashi Kenji,L,23,97,429,TRUE,90.6,0.1855670103,0.09278350515,0.4265734266,0.6085106383,0.206185567,0.825136612,0.8741258741,0.65,0.174863388,0.07459207459,0.2867132867,0.3566433566,0.6433566434,0.6041666667,0.1180555556,0.6013986014,0.1118881119,0.5477855478,0.3636363636,0.6363636364,0.3752913753,0.6247086247,0.05827505828,0.4731934732,,,,67,0.1492537313,0,0,1,86.04321608,97.6,,0,0.4029850746,0.447761194,0.1492537313,0.1492537313,0.2985074627,0.5970149254,0.3731343284,0.4029850746,0.223880597,0.3557894737,0.6736842105,0.7894736842,0.2863157895,0.36,0.7726315789,0.76,0.6336842105,0.7115789474,0.7705263158,0.7768421053,0.5452631579,0.6442105263,0.6442105263,0.5621052632,0.8673684211,0.5473684211,0.6273684211,0.3705263158,0.9,0.1021052632,0.7642105263,0.2378947368,0.5494736842,0.1031578947,0.3547368421,0.76,0.6463157895,0.9136842105,0.2105263158,0.5642105263,0.8084210526,0.5726315789,0.3305263158,0.5915789474,0.6273684211,0.2810526316,0.1968421053,0.4884210526,0.4189473684,0.3915789474,
2000009,Yomiuri,Akihiro Yuto,L,0.3333333333,1,2,TRUE,0,0,0,0.5,1,0,1,1,NaN,0,0,0,0.5,0.5,0,NaN,0.5,0,0.5,0.5,0.5,1,0,0,1,,,,1,0,0,0,1,78.95,83.9,,0,0,1,0,0,1,1,0,1,0,0.9978947368,0.96,0.1557894737,0.6547368421,0.9894736842,0.9621052632,0.9568421053,0.9347368421,0.9505263158,0.9673684211,0.9621052632,0.9957894737,0.9894736842,0.9894736842,0.9884210526,0.01684210526,0.9757894737,0.07894736842,0.7589473684,0.5589473684,0.4431578947,0.005263157895,0.9968421053,0.9389473684,0.003157894737,0.9084210526,0.9557894737,0.9852631579,0.1736842105,0.8547368421,0.9915789474,0.98,0.08105263158,0.02315789474,0.9252631579,0.1284210526,0.2810526316,0.1968421053,0.4884210526,0.9936842105,0.9873684211,
900425,Hanshin,Akiyama Takumi,L,12.66666667,41,139,TRUE,90,0.3658536585,0.0243902439,0.4460431655,0.5063291139,0.3666666667,0.564516129,0.75,0.2272727273,0.435483871,0.1942446043,0.4244604317,0.2589928058,0.7410071942,0.8,0.3947368421,0.726618705,0.05035971223,0.5683453237,0.5107913669,0.4892086331,0.4532374101,0.5467625899,0.07194244604,0.309352518,,,,24,0,0,0,1,86.13307692,97,,0,0.875,0.08333333333,0.04166666667,0,0.08333333333,0.125,0.4583333333,0.4166666667,0.125,0.6494736842,0.2505263158,0.3610526316,0.3768421053,0.2168421053,0.2189473684,0.1178947368,0.2063157895,0.08631578947,0.1284210526,0.16,0.1578947368,0.2126315789,0.2126315789,0.1494736842,0.2021052632,0.1705263158,0.2252631579,0.2842105263,0.52,0.4821052632,0.2442105263,0.7578947368,0.3,0.7263157895,0.5442105263,0.1189473684,0.1810526316,0.4073684211,0.8547368421,0.2389473684,0.1673684211,0.8157894737,0.2789473684,0.8263157895,0.1284210526,0.2810526316,0.1968421053,0.4884210526,0.3936842105,0.4757894737,
2000144,Hanshin,Alcantara Raul,R,3.666666667,12,48,TRUE,90.4,0.4166666667,0,0.2916666667,0.3548387097,0.1764705882,0.5,0.6363636364,0,0.5,0.1458333333,0.5,0.2916666667,0.7083333333,0.75,0.3846153846,0.6875,0.1458333333,0.6458333333,0.7083333333,0.2916666667,0.5208333333,0.4791666667,0.0625,0.2083333333,,,,7,0.1428571429,0,0,1,87.51363636,95.1,,0,0.8571428571,0.1428571429,0,0,0.1428571429,0.1428571429,0.2857142857,0.2857142857,0.4285714286,0.4589473684,0.1978947368,0.1557894737,0.05263157895,0.07368421053,0.8547368421,0.07789473684,0.09157894737,0.02947368421,0.08842105263,0.3389473684,0.08421052632,0.2989473684,0.2989473684,0.1968421053,0.2105263158,0.2536842105,0.88,0.1368421053,0.08842105263,0.9136842105,0.09052631579,0.9115789474,0.4642105263,0.8663157895,0.7210526316,0.1315789474,0.2115789474,0.1736842105,0.8547368421,0.2789473684,0.18,0.3263157895,0.7726315789,0.1389473684,0.6010526316,0.2810526316,0.1968421053,0.4884210526,0.1368421053,0.6568421053,
