Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Akiyama Takumi,13,9,3,0,0,0,.750,308,73,.1,77,2,12,0,2,36,1,0,27,25,3.07,Hanshin Tigers,
Alcantara Raul,9,0,1,1,0,0,.000,40,9,,10,0,2,0,0,12,1,0,4,3,3.00,Hanshin Tigers,
Aoyagi Koyo,2,0,0,0,0,0,.000,29,7,,4,1,2,0,0,5,0,0,2,2,2.57,Hanshin Tigers,
Baba Kosuke,31,1,3,3,0,0,.250,122,28,.2,26,1,12,0,1,26,3,0,11,9,2.83,Hanshin Tigers,
Chen Wei-Yin,7,2,1,0,0,0,.667,127,29,.2,36,1,5,0,0,16,0,0,12,10,3.03,Hanshin Tigers,
Fujinami Shintaro,9,4,1,0,0,0,.800,163,40,.2,26,2,15,0,2,50,2,0,9,8,1.77,Hanshin Tigers,
Gunkel Joe,3,0,1,0,0,0,.000,42,7,.2,20,3,0,0,0,3,0,1,12,12,14.09,Hanshin Tigers,
Hamachi Masumi,3,0,0,0,0,0,.000,9,3,,0,0,0,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
Ishii Daichi,13,2,0,1,0,0,1.000,53,12,,16,1,2,0,0,18,0,0,3,3,2.25,Hanshin Tigers,
Itoh Masashi,4,2,0,0,0,0,1.000,59,16,,15,0,4,0,0,4,0,0,2,2,1.13,Hanshin Tigers,
Iwasada Yuta,4,0,0,0,0,0,.000,13,4,,1,0,0,0,0,7,0,0,0,0,0.00,Hanshin Tigers,
Iwata Masaki,41,4,1,0,0,0,.800,126,32,,19,1,9,1,4,34,0,0,9,7,1.97,Hanshin Tigers,
Kajiya Ren,9,0,0,0,0,0,.000,30,7,.2,8,1,2,0,0,8,0,0,3,3,3.52,Hanshin Tigers,
Kawahara Riku,13,2,2,0,0,0,.500,105,20,.1,23,4,22,0,1,15,5,0,23,21,9.30,Hanshin Tigers,
Keller Kyle,18,0,1,2,0,0,.000,71,17,,15,0,7,1,1,18,1,0,3,3,1.59,Hanshin Tigers,
Kirishiki Takuma,13,6,1,1,1,0,.857,291,74,.2,51,2,16,2,2,48,3,1,10,6,0.72,Hanshin Tigers,
Kobayashi Keisuke,21,1,0,4,0,0,1.000,88,22,,16,1,8,0,0,22,1,0,4,3,1.23,Hanshin Tigers,
Maki Johichiro,20,0,0,0,0,0,.000,89,18,.1,18,2,14,0,3,14,1,0,14,11,5.40,Hanshin Tigers,
Mochizuki Atsushi,2,0,0,0,0,0,.000,9,2,,0,0,2,0,1,1,1,0,1,1,4.50,Hanshin Tigers,
Moriki Daichi,14,4,2,0,0,0,.667,228,53,,48,2,24,0,9,58,3,0,26,24,4.08,Hanshin Tigers,
Moriya Kouki,20,1,1,0,0,0,.500,93,20,.2,23,1,10,0,2,18,2,0,15,12,5.23,Hanshin Tigers,
Murakami Shoki,17,7,3,0,0,0,.700,384,93,.1,85,5,23,0,3,74,3,1,33,32,3.09,Hanshin Tigers,
Niho Akira,28,2,2,13,0,0,.500,128,31,,31,2,9,0,1,24,2,0,16,14,4.06,Hanshin Tigers,
Nishi Junya,6,2,2,0,3,1,.500,168,42,.1,30,2,15,1,1,41,1,0,10,9,1.91,Hanshin Tigers,
Ogawa Ippei,6,2,2,0,0,0,.500,117,26,.2,27,5,13,0,1,20,3,0,14,14,4.73,Hanshin Tigers,
