#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,,Team,League
,Chikamoto Koji,132,580,525,71,154,16,3,3,185,34,30,5,6,1,63,41,0,7,7,0.293,0.352,0.352,0.704,116,0.059,0.328,10.9%,7.1%,0.65,3.4,12.0%,23.4%,93.0%,46.8%,5.9%,18.4%,27,8,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Itohara Kento,132,495,445,31,110,12,1,3,133,36,2,3,6,4,48,35,1,5,7,0.247,0.307,0.299,0.606,85,0.052,0.269,9.7%,7.1%,0.73,-0.7,9.8%,24.0%,94.9%,40.5%,4.1%,17.4%,29,5,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Nakano Takumu,135,610,569,69,157,16,3,6,197,25,23,7,19,1,89,18,0,3,9,0.276,0.301,0.346,0.647,97,0.070,0.318,14.6%,3.0%,0.20,1.6,10.0%,28.5%,91.7%,45.3%,6.3%,18.5%,26,6,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Ohyama Yusuke,124,510,439,54,117,18,1,23,206,87,0,1,1,5,103,59,5,6,17,0.267,0.358,0.469,0.827,152,0.202,0.296,20.2%,11.6%,0.57,-0.4,17.5%,20.7%,89.3%,40.2%,9.0%,36.3%,27,3,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Sato Teruaki,143,603,541,70,143,35,8,20,254,84,11,3,0,7,137,51,5,4,5,0.264,0.328,0.470,0.798,142,0.206,0.315,22.7%,8.5%,0.37,0.9,18.0%,31.2%,86.1%,49.6%,12.9%,34.5%,23,9,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Kikuchi Ryosuke,123,522,462,51,121,25,1,6,166,45,2,3,32,2,70,24,0,2,7,0.262,0.300,0.359,0.659,99,0.097,0.296,13.4%,4.6%,0.34,-0.7,22.0%,31.6%,90.2%,43.7%,6.7%,19.2%,32,4,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Kozono Kaito,127,511,473,57,126,12,6,7,171,38,2,2,8,5,76,24,2,1,11,0.266,0.300,0.362,0.662,100,0.096,0.301,14.9%,4.7%,0.32,-0.3,12.7%,39.3%,89.2%,57.8%,11.5%,20.9%,22,6,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,McBroom Ryan,128,508,448,57,122,25,0,17,198,74,0,0,0,3,105,52,2,5,13,0.272,0.352,0.442,0.794,140,0.170,0.319,20.7%,10.2%,0.50,-0.0,20.0%,25.2%,86.5%,43.1%,11.4%,34.3%,30,3,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Sakakura Shogo,143,599,539,73,155,18,3,16,227,68,2,1,0,4,81,46,3,10,14,0.288,0.352,0.421,0.773,134,0.133,0.312,13.5%,7.7%,0.57,-0.0,12.7%,25.6%,89.1%,43.6%,8.2%,23.9%,24,5,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Kuwahara Masayuki,130,529,475,61,122,32,1,4,168,39,13,8,7,1,89,42,0,4,3,0.257,0.322,0.354,0.676,99,0.097,0.308,16.8%,7.9%,0.47,-0.5,13.9%,26.5%,92.3%,45.7%,7.7%,25.5%,28,8,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
