Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Aoyagi Koyo,24,13,4,0,0,4,2,644,162.1,126,7,132,32,4,8,0,46,37,2.05,2.78,3.25,0.97,156,78,90,-0.73,1.1%,20.5%,5.0%,15.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Nishi Yuki,23,9,9,0,0,2,2,599,148.1,132,8,93,26,3,5,2,40,36,2.18,3.18,3.68,1.07,147,89,102,-1.00,1.3%,15.5%,4.3%,11.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Morishita Masato,27,10,8,0,0,3,2,764,178.2,195,13,133,44,0,8,3,67,63,3.17,3.43,3.64,1.34,99,98,101,-0.26,1.7%,17.4%,5.8%,11.6%,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
Imanaga Shota,21,11,4,0,0,3,2,560,143.2,106,14,132,29,1,3,3,37,36,2.26,3.20,2.96,0.94,150,85,82,-0.94,2.5%,23.6%,5.2%,18.4%,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
Sugano Tomoyuki,23,10,7,0,0,0,0,596,147.0,138,15,104,26,1,6,2,52,51,3.12,3.67,3.49,1.12,107,98,97,-0.55,2.5%,17.4%,4.4%,13.0%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Togo Shosei,25,12,8,0,0,3,1,702,171.2,146,11,154,51,1,8,3,52,50,2.62,3.17,3.33,1.15,128,85,92,-0.55,1.6%,21.9%,7.3%,14.6%,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
Ogawa Yasuhiro,25,8,8,0,0,1,1,621,153.1,145,16,91,32,1,3,2,50,48,2.82,3.96,3.85,1.15,122,103,107,-1.14,2.6%,14.7%,5.2%,9.5%,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
Ogasawara Shinnosuke,22,10,8,0,0,0,0,592,146.2,127,9,142,39,1,1,4,47,45,2.76,2.78,3.06,1.13,111,81,85,-0.02,1.5%,24.0%,6.6%,17.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Ohno Yudai,23,8,8,0,0,4,2,625,157.0,126,7,108,37,1,6,1,50,43,2.46,3.13,3.66,1.04,125,91,102,-0.67,1.1%,17.3%,5.9%,11.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Yanagi Yuya,25,9,11,0,0,3,1,648,153.1,154,17,124,37,1,5,8,64,62,3.64,3.75,3.46,1.25,84,109,96,-0.11,2.6%,19.1%,5.7%,13.4%,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
Miyagi Hiroya,24,11,8,0,0,2,1,612,148.1,137,11,127,30,1,6,0,57,52,3.16,3.08,3.22,1.13,100,87,89,0.08,1.8%,20.8%,4.9%,15.9%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Yamamoto Yoshinobu,26,15,5,0,0,4,2,747,193.0,137,6,205,42,0,5,0,42,36,1.68,2.11,2.62,0.93,189,60,73,-0.43,0.8%,27.4%,5.6%,21.8%,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
Ojima Kazuya,24,3,11,0,0,0,0,599,143.1,140,10,89,43,1,4,1,57,50,3.14,3.75,4.03,1.28,108,99,112,-0.61,1.7%,14.9%,7.2%,7.7%,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
Senga Koudai,22,11,6,0,0,1,0,568,144.0,103,7,156,49,0,3,2,37,31,1.94,2.65,2.92,1.06,166,74,81,-0.71,1.2%,27.5%,8.6%,18.9%,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
Tanaka Masahiro,25,9,12,0,0,1,1,668,163.0,160,16,126,30,1,4,4,65,60,3.31,3.46,3.36,1.17,100,94,93,-0.15,2.4%,18.9%,4.5%,14.4%,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
Takahashi Kona,26,12,8,0,0,0,0,705,175.2,153,9,128,51,2,11,5,48,43,2.20,3.37,3.71,1.16,150,92,103,-1.17,1.3%,18.2%,7.2%,11.0%,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
Itoh Hiromi,26,10,9,1,1,2,2,653,155.2,140,5,112,49,0,5,5,60,51,2.95,3.12,3.84,1.21,109,87,107,-0.17,0.8%,17.2%,7.5%,9.7%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
Katoh Takayuki,22,8,7,0,1,3,2,564,147.2,124,9,98,11,0,1,0,35,33,2.01,2.81,3.26,0.91,160,78,91,-0.80,1.6%,17.4%,2.0%,15.4%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
Uwasawa Naoyuki,23,8,9,0,0,3,0,631,152.0,129,15,127,50,0,9,2,61,57,3.38,3.88,3.58,1.18,95,108,99,-0.50,2.4%,20.1%,7.9%,12.2%,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
