Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Team,Age,T,League
Akiyama Takumi,5,1,3,0,0,0,0,101,23.0,29,1,15,3,0,0,1,15,14,5.48,2.76,3.61,1.39,57,79,100,2.72,1.0%,14.9%,3.0%,11.9%,49.4%,28.1%,83.5%,7.4%,27.9%,84.2,Hanshin Tigers,31,R,CL
Alcantara Raul,39,1,3,1,17,0,0,156,38.1,38,5,29,8,0,1,0,21,20,4.70,3.99,3.45,1.20,66,115,96,0.71,3.2%,18.6%,5.1%,13.5%,42.6%,33.5%,79.5%,10.7%,28.3%,94.0,Hanshin Tigers,29,R,CL
Aoyagi Koyo,24,13,4,0,0,4,2,644,162.1,126,7,132,32,4,8,0,46,37,2.05,2.78,3.25,0.97,152,80,90,-0.73,1.1%,20.5%,5.0%,15.5%,58.8%,27.8%,79.0%,10.0%,28.5%,89.0,Hanshin Tigers,28,R,CL
Baba Kosuke,7,0,1,0,0,0,0,36,7.0,12,1,7,3,2,0,2,4,4,5.14,4.25,3.69,2.14,61,122,103,0.89,2.8%,19.4%,8.3%,11.1%,52.6%,45.6%,66.2%,18.3%,34.1%,90.6,Hanshin Tigers,27,R,CL
Fujinami Shintaro,16,3,5,0,0,0,0,276,66.2,58,6,65,21,1,3,5,28,25,3.38,3.40,3.21,1.19,92,98,89,-0.02,2.2%,23.6%,7.6%,15.9%,55.2%,32.8%,72.3%,13.4%,29.3%,95.7,Hanshin Tigers,28,R,CL
Gunkel Joe,16,5,5,0,0,1,0,372,92.1,80,6,52,16,1,3,1,32,28,2.73,3.44,3.83,1.04,114,99,107,-0.71,1.6%,14.0%,4.3%,9.7%,55.1%,29.0%,85.9%,6.9%,26.0%,89.2,Hanshin Tigers,30,R,CL
Hamachi Masumi,52,1,3,0,21,0,0,181,47.1,38,3,38,5,1,0,0,9,6,1.14,2.64,2.98,0.91,274,76,83,-1.50,1.7%,21.0%,2.8%,18.2%,51.9%,33.4%,82.4%,9.1%,27.1%,91.2,Hanshin Tigers,24,R,CL
Ishii Daichi,18,0,1,0,0,0,0,94,24.0,11,2,24,9,2,2,2,4,2,0.75,3.56,3.20,0.83,416,102,89,-2.81,2.1%,25.5%,9.6%,16.0%,35.3%,21.9%,76.3%,11.2%,28.5%,91.0,Hanshin Tigers,24,R,CL
Itoh Masashi,20,9,5,0,0,6,2,539,136.2,119,10,92,22,3,2,1,45,40,2.63,3.23,3.50,1.03,119,93,97,-0.60,1.9%,17.1%,4.1%,13.0%,52.1%,28.9%,82.5%,8.5%,27.9%,87.7,Hanshin Tigers,26,L,CL
Iwasada Yuta,53,2,1,0,11,0,0,176,42.0,34,1,38,12,1,2,1,16,12,2.57,2.60,3.32,1.10,121,75,92,-0.03,0.6%,21.6%,6.8%,14.8%,59.0%,31.0%,74.9%,12.6%,28.0%,92.2,Hanshin Tigers,30,L,CL
Iwazaki Suguru,57,1,6,28,11,0,0,239,55.0,63,1,44,10,1,2,0,16,12,1.96,2.39,3.38,1.33,159,69,94,-0.43,0.4%,18.4%,4.2%,14.2%,52.0%,29.9%,77.4%,10.6%,31.5%,87.9,Hanshin Tigers,31,L,CL
Kajiya Ren,39,0,2,0,7,0,0,128,29.2,26,1,30,13,2,1,1,8,8,2.43,2.93,3.47,1.31,128,84,96,-0.50,0.8%,23.4%,10.2%,13.3%,70.9%,34.0%,67.3%,15.2%,31.5%,91.8,Hanshin Tigers,30,R,CL
