                   Player    G   PA   AB   R    H  2B  3B  HR   TB  RBI  SB  CS  SH  SF   SO   BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP      K%    BB%  BB/K   wSB PullAIR%  Chase%  Z-Con%  Swing% SwStr%    TTO% Age  Pos  B                Team League
0          Akiyama Takumi    2    4    3   0    0   0   0   0    0    0   0   0   1   0    2    0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000   50.0%   0.0%  0.00   0.0     0.0%   37.5%  100.0%   26.7%  13.3%   50.0%  32    1  L      Hanshin Tigers     CL
1             Aoyagi Koyo   18   37   32   1    4   1   0   0    5    4   0   0   5   0   12    0    0   0    0  0.125  0.125  0.156  0.281   -16  0.031  0.200   32.4%   0.0%  0.00  -0.0     4.0%   41.2%   78.4%   47.7%  14.0%   32.4%  29    1  R      Hanshin Tigers     CL
2             Baba Kosuke   19    3    3   0    0   0   0   0    0    0   0   0   0   0    2    0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000   66.7%   0.0%  0.00   0.0     0.0%   50.0%   75.0%   53.8%  30.8%   66.7%  28    1  R      Hanshin Tigers     CL
3          Beasley Jeremy   18   11   11   0    0   0   0   0    0    0   0   0   0   0    7    0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000   63.6%   0.0%  0.00   0.0     0.0%   45.5%   76.9%   52.9%  17.6%   63.6%  27    1  R      Hanshin Tigers     CL
5          Chikamoto Koji  129  585  501  83  143  24  12   8  215   54  28   3   0   5   71   67    2  12    6  0.285  0.379  0.429  0.808   144  0.144  0.316   12.1%  11.5%  0.94   3.7    17.7%   15.7%   93.8%   34.8%   4.4%   25.0%  28    8  L      Hanshin Tigers     CL
7      Haraguchi Fumihito   54   56   52   2   10   1   0   2   17    8   0   0   0   0   18    3    0   1    2  0.192  0.250  0.327  0.577    73  0.135  0.250   32.1%   5.4%  0.17  -0.0    17.6%   33.0%   78.5%   51.8%  17.9%   41.1%  31    3  R      Hanshin Tigers     CL
8             Inoue Kouta   13   37   35   3    8   2   1   0   12    7   0   0   0   0   18    2    0   0    0  0.229  0.270  0.343  0.613    84  0.114  0.471   48.6%   5.4%  0.11  -0.0    23.5%   37.0%   68.9%   54.8%  22.9%   54.1%  21    9  R      Hanshin Tigers     CL
10         Itayama Yutaro   12   17   17   1    1   0   0   0    1    0   0   0   0   0    7    0    0   0    1  0.059  0.059  0.059  0.118   -65  0.000  0.100   41.2%   0.0%  0.00  -0.0     0.0%   37.5%   84.2%   47.9%  16.9%   41.2%  29    9  L      Hanshin Tigers     CL
11           Itoh Masashi   21   52   43   1    5   0   0   0    5    2   0   0   7   0   26    2    0   0    1  0.116  0.156  0.116  0.272   -17  0.000  0.294   50.0%   3.8%  0.08  -0.0     0.0%   23.5%   78.9%   36.0%  11.2%   53.8%  27    1  L      Hanshin Tigers     CL
12          Itohara Kento   69   83   72   1   17   1   0   0   18    5   0   0   0   0   16    9    1   2    1  0.236  0.337  0.250  0.587    80  0.014  0.304   19.3%  10.8%  0.56  -0.0     0.0%   18.9%   90.4%   40.7%   6.3%   30.1%  30    5  L      Hanshin Tigers     CL
17           Kinami Seiya  127  470  408  41  109  22   1   1  136   41   0   0  20   7  103   31   12   4   13  0.267  0.320  0.333  0.653    98  0.066  0.347   21.9%   6.6%  0.30  -0.1     6.6%   30.7%   88.0%   47.7%   9.8%   28.7%  29    6  L      Hanshin Tigers     CL
