                 Pitcher   G  W  L  SV  CG  SHO   BF     IP    H  HR  SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-   Diff    HR%     K%    BB%   K-BB%                Team League
0         Akiyama Takumi  17  8  5   0   0    0  443  109.1  115  12  62  12    0   2   2  51  48   3.95   4.31   3.67  1.16   91  103     98  -0.36   2.7%  14.0%   2.7%   11.3%      Hanshin Tigers     WL
1            Aoyagi Koyo   5  2  1   0   0    0  134   32.0   28   1  21   7    0   2   2   9   8   2.25   3.57   3.76  1.09  160   86    100  -1.32   0.7%  15.7%   5.2%   10.5%      Hanshin Tigers     WL
2            Baba Kosuke  28  3  1   0   0    0  121   32.0   20   0  37   7    1   1   1  10   7   1.97   2.07   2.32  0.84  182   50     62  -0.10   0.0%  30.6%   5.8%   24.8%      Hanshin Tigers     WL
3         Beasley Jeremy   9  1  3   0   0    0  164   44.0   26   2  43   5    0   1   2  11  11   2.25   2.67   2.48  0.70  160   64     66  -0.42   1.2%  26.2%   3.0%   23.2%      Hanshin Tigers     WL
4          Brewer Colten   1  0  0   0   0    0    3    1.0    0   0   2   0    0   0   0   0   0   0.00  -0.37  -1.87  0.00  999   -9    -50   0.37   0.0%  66.7%   0.0%   66.7%      Hanshin Tigers     WL
5         Hamachi Masumi  13  0  0   1   0    0   47   13.0    7   1  16   1    0   0   0   3   2   1.38   2.40   1.61  0.62  260   57     43  -1.02   2.1%  34.0%   2.1%   31.9%      Hanshin Tigers     WL
6      Ibaragi Hidetoshi  12  3  3   0   0    0  188   38.1   52   3  30  19    0   2   6  37  28   6.57   4.72   4.21  1.85   55  113    112   1.85   1.6%  16.0%  10.1%    5.9%      Hanshin Tigers     WL
7           Ishii Daichi   6  0  0   0   0    0   22    6.0    4   0   9   0    0   0   0   0   0   0.00   0.63   0.71  0.67  999   15     19  -0.63   0.0%  40.9%   0.0%   40.9%      Hanshin Tigers     WL
8           Itoh Masashi   2  0  1   0   0    0   33    8.0    8   0   6   2    0   0   0   3   3   3.38   2.88   3.59  1.25  106   69     95   0.50   0.0%  18.2%   6.1%   12.1%      Hanshin Tigers     WL
9           Iwasada Yuta   3  0  0   0   0    0   12    3.0    0   0   2   2    0   0   2   1   0   0.00   4.30   4.80  0.67  999  103    128  -4.30   0.0%  16.7%  16.7%    0.0%      Hanshin Tigers     WL
10          Iwata Masaki  44  2  3   0   0    0  194   42.2   51   2  39  11    0   5   0  25  23   4.85   3.54   3.36  1.45   74   85     89   1.31   1.0%  20.1%   5.7%   14.4%      Hanshin Tigers     WL
11            Kajiya Ren   4  0  0   2   0    0   12    4.0    0   0   5   0    0   0   0   0   0   0.00   1.13   0.63  0.00  999   27     17  -1.13   0.0%  41.7%   0.0%   41.7%      Hanshin Tigers     WL
12         Kawahara Riku  26  2  6   2   0    0  282   65.0   71   6  40  21    0   5   4  35  31   4.29   4.80   4.13  1.42   84  115    110  -0.51   2.1%  14.2%   7.4%    6.8%      Hanshin Tigers     WL
13          Keller Brian   3  2  1   0   0    0   61   15.2   11   1  14   6    0   0   2   6   6   3.45   3.82   3.49  1.09  104   91     93  -0.37   1.6%  23.0%   9.8%   13.2%      Hanshin Tigers     WL
14      Kirishiki Takuma  12  3  3   0   1    0  303   72.1   78   4  50  11    0   1   2  34  32   3.98   3.46   3.51  1.23   90   83     93   0.52   1.3%  16.5%   3.6%   12.9%      Hanshin Tigers     WL
15     Kobayashi Keisuke  39  1  4  16   0    0  168   39.1   40   1  41  11    1   1   1  15  14   3.20   2.79   3.01  1.30  112   67     80   0.41   0.6%  24.4%   6.5%   17.9%      Hanshin Tigers     WL
16     Mochizuki Atsushi  13  0  1   0   0    0   65   11.1   15   1   3  17    0   0   4  14  11   8.74   8.75   6.95  2.82   41  210    185  -0.01   1.5%   4.6%  26.2%  -21.6%      Hanshin Tigers     WL
17        Mombetsu Keito  12  2  2   2   0    0  230   55.0   50   4  43  15    0   0   3  20  17   2.78   3.83   3.58  1.18  129   92     95  -1.05   1.7%  18.7%   6.5%   12.2%      Hanshin Tigers     WL
18         Moriki Daichi  15  3  4   0   0    0  248   52.2   56   6  34  36    0   4   6  39  36   6.15   6.10   4.88  1.75   58  146    130   0.05   2.4%  13.7%  14.5%   -0.8%      Hanshin Tigers     WL
