               Pitcher  G  W  L  SV  CG  SHO  BF    IP   H  HR  SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%      K%    BB%   K-BB%            Team League
0         Aduwa Makoto  1  0  0   0   0    0   3   1.0   0   0   0   0    0   0   0   0   0   0.00   3.04   4.80  0.00  999   96    130   -3.04   0.0%    0.0%   0.0%    0.0%  Hiroshima Carp     CL
1        Anderson Drew  1  0  0   0   0    0   4   1.0   0   0   1   1    0   0   0   0   0   0.00   4.04   4.80  1.00  999  127    130   -4.04   0.0%   25.0%  25.0%    0.0%  Hiroshima Carp     CL
2       Wendelken J.B.  1  0  1   0   0    0   5   0.2   2   0   0   1    1   0   0   1   1  13.50   7.54   6.80  4.50   24  229    184    5.96   0.0%    0.0%  20.0%  -20.0%   DeNA BayStars     CL
3        Escobar Edwin  1  0  0   0   0    0   2   0.1   0   0   1   1    1   0   0   0   0   0.00   6.04   4.80  3.00  999  184    130   -6.04   0.0%   50.0%  50.0%    0.0%   DeNA BayStars     CL
4        Osuna Roberto  2  0  0   1   0    0   8   2.0   2   0   3   0    0   0   0   0   0   0.00   0.04   1.05  1.00  999    1     28   -0.04   0.0%   37.5%   0.0%   37.5%  SoftBank Hawks     PL
5   Stewart Jr. Carter  1  0  1   0   0    0  12   2.1   2   2   2   3    0   0   0   4   3  11.57  16.32   5.63  2.14   29  494    152   -4.75  16.7%   16.7%  25.0%   -8.3%  SoftBank Hawks     PL
6           Turley Nik  2  1  0   0   0    0   4   1.0   1   0   2   0    0   0   0   0   0   0.00  -0.96  -0.20  1.00  999  -30     -5    0.96   0.0%   50.0%   0.0%   50.0%  Hiroshima Carp     CL
7       Beasley Jeremy  1  0  0   0   0    0  10   2.1   2   0   1   1    0   0   0   0   0   0.00   3.47   4.80  1.29  999  107    130   -3.47   0.0%   10.0%  10.0%    0.0%  Hanshin Tigers     CL
8        Brewer Colten  2  0  0   0   0    0   6   1.1   1   0   1   1    0   0   0   1   1   6.75   3.79   4.80  1.50   48  117    130    2.96   0.0%   16.7%  16.7%    0.0%  Hanshin Tigers     CL
9               ヘルナンデス  2  0  0   0   0    0   3   1.0   0   0   1   0    0   0   0   0   0   0.00   1.04   1.47  0.00  999   31     40   -1.04   0.0%   33.3%   0.0%   33.3%  SoftBank Hawks     PL
10         Mercedes CC  1  0  0   0   0    0  23   5.0   7   0   4   1    0   0   0   3   3   5.40   2.04   3.50  1.60   63   60     95    3.36   0.0%   17.4%   4.3%   13.0%   Lotte Marines     PL
11    Waguespack Jacob  2  0  1   0   0    0   9   1.1   1   0   3   4    2   0   2   1   1   6.75   7.54   5.91  3.75   47  238    160   -0.79   0.0%   33.3%  44.4%  -11.1%  ORIX Buffaloes     PL
12   Kamichatani Taiga  2  0  1   0   0    0  12   2.0   4   0   1   1    1   0   0   2   2   9.00   3.54   4.80  2.50   37  108    130    5.46   0.0%    8.3%   8.3%    0.0%   DeNA BayStars     CL
13    Nakamura Toshiya  2  1  1   0   0    0  12   2.0   2   0   3   4    0   0   0   3   3  13.50   6.04   5.63  3.00   25  178    152    7.46   0.0%   25.0%  33.3%   -8.3%   Lotte Marines     PL
14   Nakamori Shunsuke  3  0  0   0   0    0  20   5.1   1   0   5   2    0   0   0   0   0   0.00   2.29   3.30  0.56  999   68     89   -2.29   0.0%   25.0%  10.0%   15.0%   Lotte Marines     PL
15      Nakazaki Shota  2  0  0   0   0    0   7   1.1   2   0   2   1    0   0   0   2   2  13.50   2.29   3.37  2.25   24   72     91   11.21   0.0%   28.6%  14.3%   14.3%  Hiroshima Carp     CL
16           Kuri Aren  2  0  1   0   0    0  29   6.2   7   1   3   1    0   1   0   4   4   5.40   4.99   4.11  1.20   59  157    111    0.41   3.4%   10.3%   3.4%    6.9%  Hiroshima Carp     CL
17       Imanaga Shota  1  0  0   0   0    0  20   5.0   4   2   3   1    0   0   0   2   2   3.60   7.64   3.80  1.00   92  232    103   -4.04  10.0%   15.0%   5.0%   10.0%   DeNA BayStars     CL
18          Ise Hiromu  2  0  0   0   0    0   7   1.2   1   0   0   1    0   0   0   0   0   0.00   4.84   6.23  1.20  999  147    168   -4.84   0.0%    0.0%  14.3%  -14.3%   DeNA BayStars     CL
19        Itoh Masashi  3  1  1   0   0    0  56  15.0  11   1   7   2    1   0   0   5   3   1.80   3.37   3.91  0.87  180  104    106   -1.57   1.8%   12.5%   3.6%    8.9%  Hanshin Tigers     CL
20         Sasaki Roki  1  0  0   0   0    0   9   3.0   0   0   4   0    0   0   0   0   0   0.00   0.37   0.36  0.00  999   11     10   -0.37   0.0%   44.4%   0.0%   44.4%   Lotte Marines     PL
21          Kajiya Ren  2  0  0   0   0    0  10   2.0   1   0   1   0    0   1   0   1   0   0.00   3.54   3.80  0.50  999  109    103   -3.54   0.0%   10.0%   0.0%   10.0%  Hanshin Tigers     CL
22   Matayoshi Katsuki  1  0  0   0   0    0   2   0.2   0   0   0   1    0   0   0   0   0   0.00   7.54   9.80  1.50  999  228    265   -7.54   0.0%    0.0%  50.0%  -50.0%  SoftBank Hawks     PL
23       Wada Tsuyoshi  1  0  0   0   0    0  19   5.0   2   0   3   2    0   0   0   0   0   0.00   3.04   4.27  0.80  999   92    116   -3.04   0.0%   15.8%  10.5%    5.3%  SoftBank Hawks     PL
24       Kayama Shinya  1  0  0   0   0    0   4   0.2   3   0   0   0    0   0   0   3   3  40.50   3.04   4.80  4.50    8   92    130   37.46   0.0%    0.0%   0.0%    0.0%  SoftBank Hawks     PL
25      Kuniyoshi Yuki  1  0  0   0   0    0   9   2.0   2   0   1   1    0   0   0   0   0   0.00   3.54   4.80  1.50  999  105    130   -3.54   0.0%   11.1%  11.1%    0.0%   Lotte Marines     PL
26    Sakamoto Koshiro  5  1  0   0   0    0  15   3.2   2   1   3   2    0   0   0   2   2   4.91   6.58   4.13  1.09   69  195    112   -1.67   6.7%   20.0%  13.3%    6.7%   Lotte Marines     PL
27       Ohtsu Ryosuke  2  0  1   0   0    0   9   2.0   3   0   0   0    0   0   0   1   1   4.50   3.04   4.80  1.50   74   92    130    1.46   0.0%    0.0%   0.0%    0.0%  SoftBank Hawks     PL
28       Ohsera Daichi  1  0  0   0   0    0  26   7.0   3   0   5   2    2   0   0   1   0   0.00   2.47   3.65  0.71  999   78     99   -2.47   0.0%   19.2%   7.7%   11.5%  Hiroshima Carp     CL
29      Ohtake Koutaro  2  0  0   0   0    0  45  10.0  13   1   7   1    0   0   0   3   3   2.70   3.24   3.47  1.40  120  100     94   -0.54   2.2%   15.6%   2.2%   13.3%  Hanshin Tigers     CL
30      Ohmichi Haruki  3  0  0   0   0    0   7   2.0   1   0   1   0    0   0   0   0   0   0.00   2.04   3.37  0.50  999   64     91   -2.04   0.0%   14.3%   0.0%   14.3%  Hiroshima Carp     CL
31        Udagawa Yuki  7  1  0   0   0    0  23   6.1   3   0   8   0    0   0   0   2   2   2.84   0.51   1.32  0.47  112   16     36    2.33   0.0%   34.8%   0.0%   34.8%  ORIX Buffaloes     PL
32       Miyagi Hiroya  3  2  1   0   0    0  64  16.2  13   1  14   1    0   1   0   5   5   2.70   2.50   2.77  0.84  118   79     75    0.20   1.6%   21.9%   1.6%   20.3%  ORIX Buffaloes     PL
33        Ojima Kazuya  1  0  0   0   0    0  25   6.1   4   0   5   2    0   1   0   0   0   0.00   2.88   3.60  0.95  999   85     97   -2.88   0.0%   20.0%   8.0%   12.0%   Lotte Marines     PL
34       Kogita Atsuya  6  0  0   0   0    0  26   6.0   4   0   3   2    0   0   0   0   0   0.00   3.04   4.42  1.00  999   96    119   -3.04   0.0%   11.5%   7.7%    3.8%  ORIX Buffaloes     PL
35     Yamaoka Taisuke  4  0  1   0   0    0  18   3.2   4   0   1   3    0   1   0   5   5  12.27   5.76   5.91  1.91   26  182    160    6.51   0.0%    5.6%  16.7%  -11.1%  ORIX Buffaloes     PL
36  Yamamoto Yoshinobu  3  2  1   0   0    0  96  21.2  29   1  30   3    0   2   0  13  13   5.40   1.56   1.99  1.48   59   49     54    3.84   1.0%   31.2%   3.1%   28.1%  ORIX Buffaloes     PL
37    Yamada Nobuyoshi  1  0  0   0   0    0   2   0.1   1   0   0   1    0   0   0   0   0   0.00  12.04   9.80  6.00  999  379    265  -12.04   0.0%    0.0%  50.0%  -50.0%  ORIX Buffaloes     PL
38    Yamasaki Sachiya  1  0  0   0   0    0  20   4.0   6   0   5   1    0   0   1   3   2   4.50   1.29   2.80  1.75   71   41     76    3.21   0.0%   25.0%   5.0%   20.0%  ORIX Buffaloes     PL
39   Yamazaki Soichiro  5  0  1   0   0    0  19   4.1   6   1   4   0    0   0   0   4   3   6.23   4.19   2.69  1.38   51  132     73    2.04   5.3%   21.1%   0.0%   21.1%  ORIX Buffaloes     PL
40    Okadome Hidetaka  1  0  0   0   0    0   5   0.2   2   0   0   1    0   0   0   3   3  40.50   7.54   6.80  4.50    8  233    184   32.96   0.0%    0.0%  20.0%  -20.0%  Hanshin Tigers     CL
41      Iwazaki Suguru  6  2  0   2   0    0  22   5.1   5   1   7   1    0   0   0   1   1   1.69   3.41   2.07  1.13  192  105     56   -1.72   4.5%   31.8%   4.5%   27.3%  Hanshin Tigers     CL
42        Iwasada Yuta  3  0  0   0   0    0  10   2.1   3   0   4   0    0   0   0   0   0   0.00  -0.39   0.80  1.29  999  -12     22    0.39   0.0%   40.0%   0.0%   40.0%  Hanshin Tigers     CL
43    Shimauchi Sotaro  4  1  0   0   0    0  16   4.0   1   0   5   3    0   0   0   0   0   0.00   2.79   3.55  1.00  999   88     96   -2.79   0.0%   31.2%  18.8%   12.5%  Hiroshima Carp     CL
44    Shimamoto Hiroya  7  0  0   0   0    0  10   2.0   3   0   0   0    0   0   0   0   0   0.00   3.04   4.80  1.50  999   94    130   -3.04   0.0%    0.0%   0.0%    0.0%  Hanshin Tigers     CL
45    Hirano Yoshihisa  4  0  0   4   0    0  17   4.0   2   1   3   3    0   0   0   1   1   2.25   7.04   4.80  1.25  141  222    130   -4.79   5.9%   17.6%  17.6%    0.0%  ORIX Buffaloes     PL
46       Tokoda Hiroki  2  0  1   0   0    0  49  11.1  13   1   2   4    0   0   0   5   5   3.97   4.89   5.21  1.50   80  154    141   -0.92   2.0%    4.1%   8.2%   -4.1%  Hiroshima Carp     CL
47        Saiki Hiroto  1  0  0   0   0    0  22   5.0   5   0   6   3    0   0   0   1   1   1.80   2.44   3.44  1.60  180   75     93   -0.64   0.0%   27.3%  13.6%   13.6%  Hanshin Tigers     CL
48       Arihara Kohei  1  1  0   0   0    0  22   6.0   5   0   4   1    0   0   0   1   1   1.50   2.20   3.44  1.00  221   67     93   -0.70   0.0%   18.2%   4.5%   13.6%  SoftBank Hawks     PL
49      Murakami Shoki  3  2  1   0   0    0  69  18.0  11   1  13   6    0   1   0   5   5   2.50   3.48   3.79  0.94  130  108    102   -0.98   1.4%   18.8%   8.7%   10.1%  Hanshin Tigers     CL
