0                 Team    PA    AB    R     H   2B  3B   HR    TB  RBI   SB  CS   SH  SF    SO   BB IBB  HP  GDP    AVG    OBP    SLG    OPS OPS+    ISO  BABIP   TTO%     K%   BB%  BB/K League
1       Hanshin Tigers  5479  4775  555  1180  179  34   84  1679  534   79  29  106  47  1173  494  35  57   92  0.247  0.322  0.352  0.674  103  0.105  0.307  32.0%  21.4%  9.0%  0.42     CL
2       Hiroshima Carp  5241  4728  493  1165  197  18   96  1686  476   78  50   96  20  1032  349  25  48  115  0.246  0.304  0.357  0.661  100  0.111  0.295  28.2%  19.7%  6.7%  0.34     CL
3        DeNA BayStars  5331  4783  520  1182  230  18  105  1763  503   33  26  106  31   846  355  22  56  103  0.247  0.305  0.369  0.674  101  0.122  0.279  24.5%  15.9%  6.7%  0.42     CL
4       Yomiuri Giants  5352  4826  523  1218  204  14  164  1942  511   48  29   93  31  1111  365  38  37   94  0.252  0.308  0.402  0.710  111  0.150  0.294  30.6%  20.8%  6.8%  0.33     CL
5      Yakult Swallows  5358  4712  534  1128  212  11  123  1731  509   62  20  115  34  1096  447  23  50  112  0.239  0.310  0.367  0.677   97  0.128  0.285  31.1%  20.5%  8.3%  0.41     CL
6     Chunichi Dragons  5251  4792  390  1123  186  19   71  1560  370   36  25   92  22  1029  306  18  39   97  0.234  0.285  0.326  0.611   90  0.092  0.283  26.8%  19.6%  5.8%  0.30     CL
7       ORIX Buffaloes  5324  4782  508  1194  211  17  109  1766  482   52  32   83  25   986  371   8  63  106  0.250  0.311  0.369  0.680  107  0.119  0.292  27.5%  18.5%  7.0%  0.38     PL
8        Lotte Marines  5414  4744  505  1135  220  12  100  1679  475   73  21  116  39  1011  453  20  62   79  0.239  0.311  0.354  0.665   96  0.115  0.282  28.9%  18.7%  8.4%  0.45     PL
9       SoftBank Hawks  5454  4786  536  1185  195  15  104  1722  513   73  30  107  38  1053  470  14  53   88  0.248  0.319  0.360  0.679  103  0.112  0.295  29.8%  19.3%  8.6%  0.45     PL
10      Rakuten Eagles  5369  4667  513  1140  168  25  104  1670  485  102  38  125  33   937  490   9  52  108  0.244  0.321  0.358  0.679  107  0.114  0.283  28.5%  17.5%  9.1%  0.52     PL
11         Seibu Lions  5222  4672  435  1088  188  21   90  1588  414   80  38   90  28  1045  387   9  45   97  0.233  0.296  0.340  0.636   92  0.107  0.280  29.1%  20.0%  7.4%  0.37     PL
12  Nipponham Fighters  5248  4688  464  1082  195  18  100  1613  443   75  49   84  25  1111  397  10  54   78  0.231  0.297  0.344  0.641   94  0.113  0.280  30.6%  21.2%  7.6%  0.36     PL
13      League Average  5337  4746  498  1152  199  18  104  1700  476   66  32  101  31  1036  407  19  51   97  0.243  0.308  0.358  0.666  100  0.115  0.288  29.0%  19.4%  7.6%  0.39    NaN
