Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,League
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,4508,3986,501,1013,173,22,67,1431,462,47,29,54,34,835,392,5,41,85,0.254,0.325,0.359,0.684,99,0.105,0.303,28.7%,18.5%,8.7%,0.47,WL
<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,4107,3722,413,872,153,29,55,1248,384,64,38,41,26,818,272,3,46,73,0.234,0.293,0.335,0.628,86,0.101,0.284,27.9%,19.9%,6.6%,0.33,WL
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,5004,4454,521,1133,215,36,69,1627,480,124,63,77,38,1056,388,3,47,84,0.254,0.318,0.365,0.683,102,0.111,0.316,30.2%,21.1%,7.8%,0.37,EL
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,4817,4191,571,1104,224,21,94,1652,530,47,22,69,36,764,452,7,69,99,0.263,0.342,0.394,0.736,115,0.131,0.300,27.2%,15.9%,9.4%,0.59,EL
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,4585,4071,483,984,183,20,86,1465,453,50,36,69,37,850,352,3,56,83,0.242,0.308,0.360,0.668,95,0.118,0.283,28.1%,18.5%,7.7%,0.41,EL
<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,4171,3759,378,903,159,31,49,1271,343,46,20,55,24,819,292,1,41,71,0.240,0.300,0.338,0.638,86,0.098,0.293,27.8%,19.6%,7.0%,0.36,WL
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,4537,4040,462,1010,152,34,51,1383,423,69,56,49,29,827,372,6,47,91,0.250,0.318,0.342,0.660,99,0.092,0.301,27.6%,18.2%,8.2%,0.45,WL
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,4550,4055,400,976,153,14,56,1325,366,76,50,62,14,929,370,0,49,102,0.241,0.311,0.327,0.638,84,0.086,0.298,29.8%,20.4%,8.1%,0.40,EL
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,4544,3970,513,963,189,39,83,1479,486,78,48,75,43,910,388,2,68,65,0.243,0.318,0.373,0.691,101,0.130,0.291,30.4%,20.0%,8.5%,0.43,WL
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,5102,4337,615,1201,219,15,79,1687,571,58,26,90,45,804,564,3,65,125,0.277,0.365,0.389,0.754,123,0.112,0.321,28.4%,15.8%,11.1%,0.70,EL
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,4777,4224,588,1092,216,37,89,1649,537,116,40,61,33,823,416,0,43,75,0.259,0.329,0.390,0.719,105,0.131,0.300,27.8%,17.2%,8.7%,0.51,EL
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,4812,4274,476,1042,179,30,95,1566,448,90,55,59,22,1016,393,3,64,76,0.244,0.315,0.366,0.681,98,0.122,0.297,31.3%,21.1%,8.2%,0.39,EL
League Average,4626,4090,493,1024,185,27,73,1482,457,72,40,63,32,871,388,3,53,86,0.250,0.321,0.362,0.683,100,0.112,0.299,28.8%,18.8%,8.4%,0.45,
