#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,,Team,League
,Gonzalez Marwin,11,41,36,4,8,2,0,1,13,5,0,0,0,1,10,4,0,0,0,0.222,0.293,0.361,0.654,104,0.139,0.269,36.6%,24.4%,9.8%,0.40,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Cedeno Leandro,8,26,25,4,5,0,0,1,8,3,0,0,0,0,12,1,0,0,0,0.200,0.231,0.320,0.551,71,0.120,0.333,53.8%,46.2%,3.8%,0.08,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Soto Neftali,2,7,5,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0.200,0.286,0.200,0.486,51,0.000,0.200,28.6%,14.3%,14.3%,1.00,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Davidson Matt,2,6,4,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0.000,0.333,0.000,0.333,9,0.000,0.000,83.3%,50.0%,33.3%,0.67,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Neuse Sheldon,10,41,38,3,9,0,0,2,15,6,0,0,0,0,4,3,1,0,0,0.237,0.293,0.395,0.687,112,0.158,0.219,22.0%,9.8%,7.3%,0.75,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Brosseau Michael,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-96,0.000,0.000,0.0%,0.0%,0.0%,,0.0,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Polanco Gregory,7,30,25,5,6,1,0,2,13,8,0,0,0,2,6,3,0,0,0,0.240,0.300,0.520,0.820,145,0.280,0.211,36.7%,20.0%,10.0%,0.50,0.0,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,McBroom Ryan,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Mieses Johan,2,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,50.0%,50.0%,0.0%,0.00,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Mimori Masaki,3,12,12,1,3,2,0,0,5,0,1,0,0,0,2,0,0,0,0,0.250,0.250,0.417,0.667,103,0.167,0.300,16.7%,16.7%,0.0%,0.00,0.2,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Uemoto Takashi,3,9,9,1,3,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0.333,0.333,0.444,0.778,143,0.111,0.429,22.2%,22.2%,0.0%,0.00,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Uebayashi Seiji,3,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,0.0%,0.0%,0.0%,,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Nakagawa Keita,11,46,42,1,10,0,0,0,10,3,0,0,2,1,5,0,0,1,1,0.238,0.250,0.238,0.488,53,0.000,0.263,10.9%,10.9%,0.0%,0.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Nakamura Shogo,6,20,15,1,1,0,0,0,1,0,0,0,1,0,7,3,0,1,1,0.067,0.263,0.067,0.330,5,0.000,0.125,50.0%,35.0%,15.0%,0.43,0.0,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Nakamura Akira,3,12,10,0,3,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0.300,0.417,0.300,0.717,122,0.000,0.300,16.7%,0.0%,16.7%,1.00,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Nakano Takumu,10,44,36,2,9,0,0,0,9,3,0,1,5,0,5,3,1,0,0,0.250,0.308,0.250,0.558,74,0.000,0.290,18.2%,11.4%,6.8%,0.60,-0.3,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Kuri Aren,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,50.0%,50.0%,0.0%,0.00,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Inoue Tomoya,1,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,66.7%,66.7%,0.0%,0.00,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Imamiya Kenta,3,12,11,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0.000,0.083,0.000,0.083,-72,0.000,0.000,33.3%,25.0%,8.3%,0.33,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Imanaga Shota,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,0.0%,0.0%,0.0%,,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Itoh Masashi,3,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,33.3%,33.3%,0.0%,0.00,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Sato Teruaki,10,39,39,3,6,2,0,0,8,1,1,0,0,0,14,0,0,0,0,0.154,0.154,0.205,0.359,11,0.051,0.240,35.9%,35.9%,0.0%,0.00,0.2,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Satoh Toshiya,6,13,12,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0.083,0.154,0.083,0.237,-24,0.000,0.100,23.1%,15.4%,7.7%,0.50,0.0,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Haraguchi Fumihito,2,4,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.000,0.250,0.000,0.250,-19,0.000,0.000,50.0%,25.0%,25.0%,1.00,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Shuto Ukyo,2,9,8,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0.125,0.125,0.125,0.250,-22,0.000,0.143,11.1%,11.1%,0.0%,0.00,0.0,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Sakakura Shogo,3,12,12,0,4,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0.333,0.333,0.333,0.667,109,0.000,0.444,25.0%,25.0%,0.0%,0.00,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Sakamoto Seishiro,10,36,31,3,7,1,1,0,10,6,0,0,2,0,10,1,0,2,0,0.226,0.294,0.323,0.617,91,0.097,0.333,30.6%,27.8%,2.8%,0.10,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Dohbayashi Shota,5,16,13,0,1,1,0,0,2,1,0,0,1,1,6,1,1,0,1,0.077,0.133,0.154,0.287,-12,0.077,0.125,43.8%,37.5%,6.2%,0.17,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Maeda Yamato,2,4,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.500,0.333,0.833,159,0.000,0.333,25.0%,0.0%,25.0%,1.00,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Ohshiro Koji,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
