batId,batter_team_name_short,batter_name,Bats,IP,PA,Count,qualified,FB Velo,K%,BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,Whiff%,SwStr%,CSW%,Ball%,Strike%,F-Str%,PAR%,PLUS%,Behind%,Zone%,Glove%,Arm%,High%,Low%,MM%,Sec%,BIP,Pull AIR%,HR%,HR/FB,Usage,Avg Velo,Max Velo,YpERA Grade,null,GB%,FB%,LD%,IFFB%,OFFB%,AIR%,Pull%,Cent%,Oppo%,FB Velo_pctl,K%_pctl,BB%_pctl,Swing%_pctl,Z-Swing%_pctl,Chase%_pctl,Contact%_pctl,Z-Con%_pctl,O-Con%_pctl,Whiff%_pctl,SwStr%_pctl,CSW%_pctl,Ball%_pctl,Strike%_pctl,F-Str%_pctl,PAR%_pctl,PLUS%_pctl,Behind%_pctl,Zone%_pctl,Glove%_pctl,Arm%_pctl,High%_pctl,Low%_pctl,MM%_pctl,Sec%_pctl,BIP_pctl,GB%_pctl,FB%_pctl,LD%_pctl,IFFB%_pctl,OFFB%_pctl,AIR%_pctl,Pull%_pctl,Cent%_pctl,Oppo%_pctl,Pull AIR%_pctl,HR%_pctl,HR/FB_pctl,Usage_pctl,Avg Velo_pctl,Max Velo_pctl,YpERA Grade_pctl
2000056,Hanshin,Nakano Takumu,L,146.0,660,2853,True,90.8,0.1621212121,0.08333333333,0.369122807,0.4983860555,0.2147239264,0.8602661597,0.9080310881,0.7285714286,0.1397338403,0.05157894737,0.3147368421,0.3578947368,0.6421052632,0.5899390244,0.1214203895,0.5838596491,0.1279355065,0.5435087719,0.4504030845,0.5495969155,0.4549596916,0.5450403084,0.06203995794,0.3375438596,480,0.1020408163,0.00303030303,0.01111111111,1.0,86.9363847,101.3,,0,0.5145833333,0.375,0.1104166667,0.08958333333,0.2854166667,0.4854166667,0.3104166667,0.4583333333,0.23125,0.5862068966,0.7349137931,0.7898706897,0.09913793103,0.1573275862,0.7715517241,0.838362069,0.6939655172,0.8340517241,0.8577586207,0.8771551724,0.3987068966,0.7262931034,0.7262931034,0.7090517241,0.8663793103,0.7262931034,0.8211206897,0.4245689655,0.713362069,0.2887931034,0.2715517241,0.7306034483,0.4913793103,0.6831896552,0.004310344828,0.4504310345,0.4644396552,0.7974137931,0.4913793103,0.5150862069,0.5043103448,0.3943965517,0.2586206897,0.4461206897,0.4331896552,0.5862068966,0.4170258621,0.4881465517,0.2823275862,0.04418103448,
1900041,Chunichi,Okabayashi Yuki,L,145.0,634,2437,True,90.8,0.1388012618,0.05835962145,0.4265188834,0.5733634312,0.25,0.8719923003,0.9356955381,0.6967509025,0.1280076997,0.05459770115,0.2836617406,0.3407224959,0.6592775041,0.6077170418,0.1288433382,0.591954023,0.1124333197,0.5455665025,0.4686089454,0.5313910546,0.4074681986,0.5925318014,0.05744768158,0.4256978654,488,0.130952381,0.004731861199,0.01630434783,1.0,85.43513152,98.2,,0,0.5450819672,0.3770491803,0.07786885246,0.0881147541,0.2889344262,0.4549180328,0.3442622951,0.4385245902,0.2172131148,0.5862068966,0.8189655172,0.6163793103,0.2844827586,0.3017241379,0.6357758621,0.8642241379,0.7995689655,0.8146551724,0.8836206897,0.8685344828,0.5926724138,0.6012931034,0.6012931034,0.5905172414,0.8362068966,0.6702586207,0.6831896552,0.4181034483,0.6357758621,0.3663793103,0.5926724138,0.4094827586,0.599137931,0.3038793103,0.002155172414,0.3771551724,0.4719827586,0.5668103448,0.5043103448,0.5237068966,0.4310344828,0.5193965517,0.3318965517,0.5129310345,0.5387931034,0.6012931034,0.4375,0.4881465517,0.7931034483,0.2489224138,
1000128,SoftBank,Yanagita Yuki,L,129.3333333,626,2335,True,91.6,0.1517571885,0.1006389776,0.5203426124,0.7968313141,0.2852614897,0.7563786008,0.8397660819,0.5583333333,0.2436213992,0.1267665953,0.2188436831,0.382012848,0.617987152,0.6022364217,0.1496062992,0.5413276231,0.1301927195,0.4595289079,0.5490364026,0.4509635974,0.4445396146,0.5554603854,0.0556745182,0.4629550321,445,0.1585903084,0.03514376997,0.1111111111,1.0,85.92381387,101.3,,0,0.4606741573,0.4449438202,0.09438202247,0.08314606742,0.3617977528,0.5393258427,0.4426966292,0.393258427,0.1640449438,0.1594827586,0.775862069,0.9030172414,0.7435344828,0.9396551724,0.4956896552,0.4827586207,0.400862069,0.5689655172,0.5021551724,0.3965517241,0.9353448276,0.8728448276,0.8728448276,0.6357758621,0.7650862069,0.9525862069,0.838362069,0.9267241379,0.4202586207,0.5818965517,0.3103448276,0.6918103448,0.6314655172,0.1487068966,0.0150862069,0.6185344828,0.6379310345,0.6982758621,0.5452586207,0.7715517241,0.6724137931,0.7952586207,0.536637931,0.7176724138,0.6530172414,0.9073275862,0.7327586207,0.4881465517,0.6336206897,0.04418103448,
1600113,Hanshin,Ohyama Yusuke,R,123.0,623,2533,True,91.4,0.1894060995,0.1492776886,0.3831553974,0.603406326,0.1730769231,0.7760577915,0.8669354839,0.4755555556,0.2239422085,0.08580466588,0.2763938316,0.4211150652,0.5788849348,0.5643086817,0.1652542373,0.5136417556,0.1539676273,0.487544484,0.6048164232,0.3951835768,0.3904461113,0.6095538887,0.05961310699,0.4341637011,388,0.2219451372,0.0304975923,0.09644670051,1.0,85.95506247,100.7,,0,0.3634020619,0.5077319588,0.1288659794,0.1340206186,0.3737113402,0.6365979381,0.4304123711,0.3891752577,0.1804123711,0.2510775862,0.6487068966,0.9698275862,0.1400862069,0.3685344828,0.8900862069,0.5517241379,0.5323275862,0.3706896552,0.5711206897,0.6982758621,0.6443965517,0.9784482759,0.9784482759,0.8146551724,0.6724137931,0.9784482759,0.9547413793,0.8448275862,0.2262931034,0.775862069,0.7219827586,0.2801724138,0.5474137931,0.2672413793,0.04310344828,0.8103448276,0.8189655172,0.8879310345,0.2672413793,0.8060344828,0.8642241379,0.7650862069,0.5581896552,0.6767241379,0.8512931034,0.8728448276,0.7004310345,0.4881465517,0.6293103448,0.07543103448,
1100097,SoftBank,Kondoh Kensuke,L,117.0,610,2725,True,91.5,0.1918032787,0.1672131148,0.3664094083,0.5745738636,0.1427486712,0.8074222668,0.8788627936,0.5,0.1925777332,0.07056229327,0.2888643881,0.4108783535,0.5891216465,0.5871710526,0.1318181818,0.5310547593,0.1423853211,0.5174568173,0.4704587156,0.5295412844,0.4341284404,0.5658715596,0.05027522936,0.3965453877,377,0.1312335958,0.04262295082,0.1313131313,1.0,86.56078734,101.3,,0,0.3899204244,0.525198939,0.0848806366,0.07692307692,0.4482758621,0.6100795756,0.350132626,0.4084880637,0.2413793103,0.1939655172,0.6400862069,0.9870689655,0.09482758621,0.3038793103,0.9224137931,0.6982758621,0.5775862069,0.432112069,0.7176724138,0.7952586207,0.5603448276,0.9698275862,0.9698275862,0.7219827586,0.8254310345,0.9655172414,0.9094827586,0.6271551724,0.625,0.3771551724,0.3771551724,0.625,0.724137931,0.4719827586,0.05603448276,0.7780172414,0.8556034483,0.6120689655,0.5786637931,0.9353448276,0.8318965517,0.5323275862,0.4568965517,0.3987068966,0.5409482759,0.9547413793,0.7823275862,0.4881465517,0.3922413793,0.04418103448,
1600089,DeNA,Sano Keita,L,138.0,609,2243,True,91.0,0.1264367816,0.06732348112,0.4700892857,0.6819360415,0.2430939227,0.8556505223,0.9100126743,0.6931818182,0.1443494777,0.06785714286,0.23125,0.3638392857,0.6361607143,0.565,0.1339130435,0.5665178571,0.1248328132,0.5165178571,0.4881854659,0.5118145341,0.4110566206,0.5889433794,0.05751226037,0.4080357143,471,0.1701244813,0.02134646962,0.06565656566,1.0,85.70545113,100.1,,0,0.4798301486,0.4203821656,0.09978768577,0.07643312102,0.3439490446,0.5201698514,0.4713375796,0.3715498938,0.1571125265,0.4816810345,0.8512931034,0.6875,0.5215517241,0.6724137931,0.6702586207,0.8232758621,0.7068965517,0.8103448276,0.8426724138,0.8081896552,0.9159482759,0.775862069,0.775862069,0.8103448276,0.8189655172,0.838362069,0.8038793103,0.6379310345,0.5754310345,0.4267241379,0.5538793103,0.4482758621,0.5969827586,0.3793103448,0.007543103448,0.5625,0.5754310345,0.7370689655,0.5862068966,0.7262931034,0.6163793103,0.8556034483,0.6400862069,0.7392241379,0.7090517241,0.7995689655,0.6120689655,0.4881465517,0.7090517241,0.1088362069,
2000035,DeNA,Maki Shugo,R,137.6666667,606,2282,True,91.0,0.1402640264,0.0495049505,0.4890350877,0.6836820084,0.274149034,0.8260089686,0.9020807834,0.6174496644,0.1739910314,0.0850877193,0.248245614,0.3421052632,0.6578947368,0.6043046358,0.1274362819,0.5815789474,0.1021034181,0.524122807,0.5701139351,0.4298860649,0.4049079755,0.5950920245,0.06091148116,0.3956140351,471,0.2328482328,0.0495049505,0.1145038168,1.0,85.93510738,100.7,,0,0.3885350318,0.5562632696,0.05520169851,0.1507430998,0.4055201699,0.6114649682,0.4479830149,0.3757961783,0.1762208068,0.4816810345,0.8146551724,0.5592672414,0.6120689655,0.6788793103,0.5323275862,0.7456896552,0.6724137931,0.6982758621,0.7650862069,0.7047413793,0.8577586207,0.6131465517,0.6131465517,0.6185344828,0.8405172414,0.7435344828,0.5732758621,0.5581896552,0.3534482759,0.6487068966,0.6142241379,0.3879310345,0.5237068966,0.4806034483,0.007543103448,0.7823275862,0.8943965517,0.3900862069,0.2155172414,0.8836206897,0.8362068966,0.8146551724,0.6120689655,0.6918103448,0.8620689655,0.974137931,0.7435344828,0.4881465517,0.6314655172,0.07543103448,
900056,Rakuten,Asamura Hideto,R,128.0,598,2398,True,91.2,0.1806020067,0.118729097,0.4341117598,0.6839863714,0.1944444444,0.7819404419,0.8405977584,0.5840336134,0.2180595581,0.09466221852,0.2489574646,0.4099249374,0.5900750626,0.5451505017,0.1592261905,0.5262718932,0.1434528774,0.4895746455,0.5900750626,0.4099249374,0.3882402002,0.6117597998,0.05963302752,0.3874061718,414,0.1493975904,0.04347826087,0.1220657277,1.0,86.62987858,99.4,,0,0.3695652174,0.5144927536,0.115942029,0.07729468599,0.4371980676,0.6304347826,0.2946859903,0.4661835749,0.2391304348,0.369612069,0.6767241379,0.9331896552,0.3168103448,0.6810344828,0.8394396552,0.5797413793,0.4051724138,0.6336206897,0.599137931,0.6314655172,0.8556034483,0.9676724138,0.9676724138,0.8512931034,0.6918103448,0.9719827586,0.9181034483,0.8340517241,0.2737068966,0.7284482759,0.7349137931,0.2672413793,0.5431034483,0.5387931034,0.02801724138,0.8038793103,0.8254310345,0.838362069,0.5711206897,0.9181034483,0.8577586207,0.349137931,0.2284482759,0.4051724138,0.6142241379,0.9590517241,0.7607758621,0.4881465517,0.3771551724,0.1443965517,
1700084,Yakult,Murakami Munetaka,L,124.3333333,594,2626,True,91.4,0.2828282828,0.1447811448,0.4207317073,0.6669428335,0.2107117689,0.6557971014,0.7416149068,0.4247491639,0.3442028986,0.1448170732,0.2957317073,0.4241615854,0.5758384146,0.521079258,0.2113207547,0.5236280488,0.1462300076,0.4599847561,0.5331302361,0.4668697639,0.4067022087,0.5932977913,0.05140898705,0.4020579268,322,0.1606060606,0.05218855219,0.2026143791,1.0,86.44362416,99.4,,0,0.4472049689,0.4751552795,0.07763975155,0.08695652174,0.3881987578,0.5527950311,0.4347826087,0.3602484472,0.2049689441,0.2510775862,0.3534482759,0.963362069,0.2672413793,0.6163793103,0.7780172414,0.1896551724,0.1163793103,0.2844827586,0.2090517241,0.3146551724,0.5064655172,0.9806034483,0.9806034483,0.8900862069,0.4892241379,0.974137931,0.9288793103,0.9224137931,0.4655172414,0.536637931,0.599137931,0.4030172414,0.713362069,0.4202586207,0.09375,0.661637931,0.7284482759,0.5625,0.5140086207,0.8448275862,0.7155172414,0.7747844828,0.6767241379,0.5743534483,0.6594827586,0.9806034483,0.8189655172,0.4881465517,0.4461206897,0.1443965517,
1800093,Nipponham,Mannami Chusei,R,132.6666667,588,2209,True,91.2,0.2363945578,0.06632653061,0.4911724762,0.7089552239,0.2858399296,0.7078341014,0.8315789474,0.4184615385,0.2921658986,0.1435038479,0.2829334541,0.3657763694,0.6342236306,0.6082474227,0.2202852615,0.5654142146,0.111815301,0.4852874604,0.6066093255,0.3933906745,0.3752829335,0.6247170665,0.05432322318,0.4635581711,392,0.1561712846,0.0425170068,0.1351351351,1.0,85.70973535,101.9,,0,0.4183673469,0.4719387755,0.1096938776,0.08928571429,0.3826530612,0.5816326531,0.3596938776,0.4081632653,0.2321428571,0.369612069,0.4827586207,0.6724137931,0.6271551724,0.786637931,0.4913793103,0.3405172414,0.3577586207,0.2715517241,0.3599137931,0.3211206897,0.5948275862,0.7931034483,0.7931034483,0.5840517241,0.4504310345,0.8448275862,0.6745689655,0.8599137931,0.2155172414,0.786637931,0.7931034483,0.2090517241,0.6745689655,0.1465517241,0.03663793103,0.7284482759,0.7176724138,0.7952586207,0.4956896552,0.8254310345,0.7823275862,0.5538793103,0.463362069,0.4342672414,0.6400862069,0.9482758621,0.7887931034,0.4881465517,0.7068965517,0.02370689655,
