Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Aoyagi Koyo,12,18,12,0,0,0,0,0,0,2,0,0,4,1,1,0,0,5,0,.000,.000,.071,Hanshin Tigers,
Beasley Jeremy,14,23,21,2,0,0,0,0,0,0,0,0,1,0,1,0,0,11,0,.000,.000,.045,Hanshin Tigers,
Chikamoto Koji,141,639,562,71,160,16,5,6,204,45,19,9,0,4,68,5,5,93,7,.285,.363,.365,Hanshin Tigers,
Guerra Javy,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Hamachi Masumi,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Haraguchi Fumihito,52,65,58,5,14,1,0,2,21,9,1,0,0,0,5,0,2,14,0,.241,.362,.323,Hanshin Tigers,
Inoue Kouta,23,55,52,5,11,2,0,3,22,8,1,1,0,0,3,0,0,20,0,.212,.423,.255,Hanshin Tigers,
Ishiguro Yuya,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Ishii Daichi,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Itoh Masashi,18,22,18,2,1,0,0,0,1,0,0,0,4,0,0,0,0,11,0,.056,.056,.056,Hanshin Tigers,
Itohara Kento,89,128,111,8,24,2,0,0,26,9,0,0,0,1,15,0,1,20,3,.216,.234,.313,Hanshin Tigers,
Iwasada Yuta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Iwazaki Suguru,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kajiya Ren,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kawahara Riku,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kinami Seiya,116,409,359,27,77,13,1,1,95,35,1,0,13,1,32,4,4,64,17,.214,.265,.285,Hanshin Tigers,
Kirishiki Takuma,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kumagai Takahiro,32,9,8,2,1,0,0,0,1,0,1,1,1,0,0,0,0,2,0,.125,.125,.125,Hanshin Tigers,
Maegawa Ukyo,116,362,324,25,87,16,0,4,115,42,0,0,0,1,27,0,10,50,7,.269,.355,.343,Hanshin Tigers,
Mieses Johan,14,19,18,1,2,0,0,0,2,0,0,0,0,0,1,0,0,5,1,.111,.111,.158,Hanshin Tigers,
Mombetsu Keito,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Morishita Shota,129,526,458,64,126,24,2,16,202,73,0,2,0,3,53,1,12,78,13,.275,.441,.363,Hanshin Tigers,
Murakami Shoki,25,48,44,0,5,0,0,0,5,3,0,0,3,0,1,0,0,24,0,.114,.114,.133,Hanshin Tigers,
Nagasaka Kenya,5,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,.000,.000,.000,Hanshin Tigers,
Nakano Takumu,143,634,547,63,127,20,2,1,154,32,6,7,35,1,46,0,5,97,10,.232,.282,.297,Hanshin Tigers,
Neuse Sheldon,49,149,134,8,31,5,0,1,39,8,1,0,0,1,14,1,0,16,9,.231,.291,.302,Hanshin Tigers,
Nishi Junya,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Nishi Yuki,21,39,38,1,7,1,0,0,8,4,0,0,1,0,0,0,0,13,0,.184,.211,.184,Hanshin Tigers,
