      Player  Age  Pos    Inn   TZR  TZR/143  RngR  ARM  DPR  ErrR  Pos Adj  Framing  Blocking                Team League
0        NaN   21  2.0  166.0  -3.1    -24.0   NaN -3.5  NaN   0.4      2.3     -1.9      -1.3     HAYATE Ventures     WL
1        NaN   21  9.0   23.0   0.9     50.4   0.3  0.6  NaN   0.0     -0.1      NaN       NaN     HAYATE Ventures     WL
2        NaN   24  7.0   32.0   1.5     60.3   0.5  1.0  NaN   0.0     -0.3      NaN       NaN      ORIX Buffaloes     WL
3        NaN   24  8.0  145.1   7.3     64.7   6.5  0.7  NaN   0.1      0.5      NaN       NaN      ORIX Buffaloes     WL
4        NaN   24  9.0   23.1   0.8     44.2   0.4  0.5  NaN   0.0     -0.1      NaN       NaN      ORIX Buffaloes     WL
5        NaN   23  3.0   20.2  -0.8    -49.7  -0.8  NaN  0.0   0.0     -0.2      NaN       NaN     HAYATE Ventures     WL
6        NaN   23  7.0   92.2   1.9     26.4   2.7 -0.8  NaN   0.1     -0.9      NaN       NaN     HAYATE Ventures     WL
7        NaN   23  8.0   17.0   1.6    121.1   1.1  0.5  NaN   0.0      0.1      NaN       NaN     HAYATE Ventures     WL
8        NaN   23  9.0  356.2  -1.0     -3.6   1.7 -3.0  NaN   0.3     -1.4      NaN       NaN     HAYATE Ventures     WL
9        NaN   28  7.0  109.0  -4.7    -55.5  -5.1  0.3  NaN   0.1     -1.0      NaN       NaN      Hanshin Tigers     WL
10       NaN   28  8.0   90.0  -2.6    -37.2  -2.1 -0.5  NaN   0.0      0.3      NaN       NaN      Hanshin Tigers     WL
11       NaN   28  9.0   45.1   0.3      8.5   0.7 -0.5  NaN   0.0     -0.2      NaN       NaN      Hanshin Tigers     WL
12       NaN   28  NaN   31.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.4      NaN       NaN      Hanshin Tigers     WL
13       NaN   24  4.0   45.0   0.5     14.3   0.6  NaN -0.5   0.4      0.1      NaN       NaN      Hiroshima Carp     WL
14       NaN   24  5.0    4.0   0.0      0.0  -0.1  NaN  0.0   0.1      0.0      NaN       NaN      Hiroshima Carp     WL
15       NaN   24  6.0   37.0  -0.3    -10.4   0.0  NaN -0.3  -0.1      0.3      NaN       NaN      Hiroshima Carp     WL
16       NaN   19  7.0   49.1  -1.0    -26.1  -1.0  0.0  NaN   0.0     -0.5      NaN       NaN      Hanshin Tigers     WL
