     Player  Age  Pos     Inn   TZR  TZR/143  RngR  ARM  DPR  ErrR  Pos Adj  Framing  Blocking                Team League
0       NaN   24  7.0    57.0   1.2     27.1   1.3 -0.2  NaN   0.1     -0.5      NaN       NaN      Yomiuri Giants     CL
1       NaN   24  8.0   126.0  -0.5     -5.1  -0.2 -0.3  NaN   0.0      0.4      NaN       NaN      Yomiuri Giants     CL
2       NaN   24  9.0   128.0   1.2     12.1  -1.6  2.8  NaN   0.0     -0.5      NaN       NaN      Yomiuri Giants     CL
3       NaN   29  8.0  1262.2  -6.8     -6.9  -3.9 -3.0  NaN   0.1      4.2      NaN       NaN      Hanshin Tigers     CL
4       NaN   31  8.0   209.0  -1.5     -9.2  -2.3  0.8  NaN   0.0      0.7      NaN       NaN     Yakult Swallows     CL
5       NaN   26  7.0    22.0   0.6     35.1   0.8 -0.2  NaN   0.0     -0.2      NaN       NaN    Chunichi Dragons     CL
6       NaN   26  8.0   161.0   0.9      7.2   1.3 -0.4  NaN   0.0      0.5      NaN       NaN    Chunichi Dragons     CL
7       NaN   21  9.0   505.1  -3.9     -9.9  -0.9 -3.3  NaN   0.2     -2.0      NaN       NaN       DeNA BayStars     CL
8       NaN   34  4.0  1122.0   1.9      2.2   1.1  NaN  0.0   0.8      3.0      NaN       NaN      Hiroshima Carp     CL
9       NaN   30  3.0    73.1  -0.8    -14.0  -1.1  NaN  0.0   0.2     -0.8      NaN       NaN      Rakuten Eagles     PL
10      NaN   30  4.0    24.0  -0.2    -10.7  -0.9  NaN  0.6   0.1      0.1      NaN       NaN      Rakuten Eagles     PL
11      NaN   30  NaN    22.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.3      NaN       NaN      Rakuten Eagles     PL
12      NaN   34  7.0   160.2   0.8      6.4   3.0 -2.4  NaN   0.2     -1.5      NaN       NaN         Seibu Lions     PL
13      NaN   34  8.0    20.0  -0.3    -19.3   0.0 -0.2  NaN   0.0      0.1      NaN       NaN         Seibu Lions     PL
14      NaN   34  9.0   104.1  -0.4     -4.9   0.2 -0.6  NaN   0.1     -0.4      NaN       NaN         Seibu Lions     PL
15      NaN   30  4.0   669.2  -5.6    -10.8  -4.7  NaN -1.4   0.5      1.8      NaN       NaN       Lotte Marines     PL
16      NaN   30  7.0    15.2   1.0     82.0   1.1 -0.2  NaN   0.0     -0.1      NaN       NaN  Nipponham Fighters     PL
17      NaN   30  8.0   997.1  12.9     16.6  13.1 -0.3  NaN   0.1      3.3      NaN       NaN  Nipponham Fighters     PL
18      NaN   30  NaN    22.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.3      NaN       NaN  Nipponham Fighters     PL
