                  Team   W   L    PCT  Diff   HR  SB OPS+ ERA+ FIP-  K-BB%    TZR
0       Yomiuri Giants  77  59  0.566    81   81  59  104  118   95  13.6%   39.9
1       Hanshin Tigers  74  63  0.540    65   67  41  101  115   91  11.9%  -32.5
2      Yakult Swallows  62  77  0.446   -50  103  67   96   88  101  10.6%  -69.5
3     Chunichi Dragons  60  75  0.444  -105   68  40   99   92  104  11.1%  -14.2
4        DeNA BayStars  71  69  0.507    19  101  69  110   98  100  11.5%  -60.8
5       Hiroshima Carp  68  70  0.493    -4   52  66   85  114   98  10.7%    8.8
6       Rakuten Eagles  67  72  0.482   -87   72  90  101   77  111   9.4%  -36.8
7          Seibu Lions  49  91  0.350  -135   60  83   78   97  108   9.7%   20.6
8        Lotte Marines  71  66  0.518    -2   75  64  101   96   98  12.5%    9.7
9   Nipponham Fighters  75  60  0.556    47  111  91  103  104  104  11.6%   52.4
10      ORIX Buffaloes  63  77  0.450   -46   71  61   96  103   92  13.2%  -13.2
11      SoftBank Hawks  91  49  0.650   217  114  89  120  120   96  14.2%   95.9
