Rank,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,League
,Ibaragi Hidetoshi,22,7,4,0,1,0,496,118.2,103,6,74,50,0,5,10,50,48,3.64,4.26,4.32,1.29,93,106,110,-0.62,1.2%,14.9%,10.1%,4.8%,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,Mori Shohei,17,4,6,1,0,0,403,96.0,99,6,88,17,0,2,9,37,26,2.44,3.03,3.04,1.21,132,80,77,-0.59,1.5%,21.8%,4.2%,17.6%,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,Shoji Haruto,21,8,5,0,0,0,439,107.1,96,5,73,36,0,9,5,29,28,2.35,3.96,3.96,1.23,138,103,100,-1.61,1.1%,16.6%,8.2%,8.4%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,EL
,Mendez Yohander,22,6,5,0,0,0,461,105.0,104,3,91,38,0,13,3,48,46,3.94,3.56,3.65,1.35,81,94,93,0.38,0.7%,19.7%,8.2%,11.5%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,EL
,Sakaguchi Kousuke,20,9,3,0,0,0,414,100.2,78,6,57,36,0,4,5,31,25,2.24,4.29,4.29,1.13,150,108,109,-2.05,1.4%,13.8%,8.7%,5.1%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,EL
,Matsukihira Yuta,16,10,3,0,3,2,422,107.2,90,2,71,24,0,0,6,22,21,1.76,3.05,3.69,1.06,188,78,94,-1.29,0.5%,16.8%,5.7%,11.1%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,WL
,Maeda Jun,19,10,4,0,2,1,427,106.1,84,3,74,30,0,0,6,24,23,1.95,3.28,3.77,1.07,170,84,96,-1.33,0.7%,17.3%,7.0%,10.3%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,Miura Mizuki,15,3,3,0,0,0,379,95.2,73,2,59,24,0,5,2,18,17,1.60,3.41,3.88,1.01,207,87,98,-1.81,0.5%,15.6%,6.3%,9.2%,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,WL
,Makino Kenshin,23,3,9,0,2,1,523,121.0,139,10,77,38,0,0,6,62,57,4.24,4.20,4.05,1.46,70,119,103,0.04,1.9%,14.7%,7.3%,7.5%,🦢,<a href=https://www.niigata-albirex-bc.jp/>Oisix</a>,EL
,Shimokawa Shunsuke,40,4,8,0,0,0,494,112.0,108,9,102,43,1,9,2,59,48,3.86,4.08,3.61,1.35,77,115,92,-0.22,1.8%,20.6%,8.7%,11.9%,🦢,<a href=https://www.niigata-albirex-bc.jp/>Oisix</a>,EL
,Yabuta Kazuki,26,5,10,0,0,0,618,143.0,134,9,86,75,1,3,11,70,58,3.65,4.71,4.62,1.46,82,133,117,-1.06,1.5%,13.9%,12.1%,1.8%,🦢,<a href=https://www.niigata-albirex-bc.jp/>Oisix</a>,EL
,Ninomiya Isaki,23,5,5,0,2,1,471,110.1,101,7,83,42,0,3,5,49,39,3.18,4.00,3.93,1.30,107,99,100,-0.82,1.5%,17.6%,8.9%,8.7%,✌️,<a href=https://hayateventures.jp/>HAYATE</a>,WL
,Nishihama Yuhsei,21,4,8,0,0,0,467,109.0,97,4,69,43,0,7,6,48,42,3.47,4.05,4.24,1.28,98,100,108,-0.58,0.9%,14.8%,9.2%,5.6%,✌️,<a href=https://hayateventures.jp/>HAYATE</a>,WL
,Okuda Kanata,24,5,7,1,0,0,465,107.2,139,6,29,33,0,2,10,64,59,4.93,4.62,4.89,1.60,69,114,124,0.31,1.3%,6.2%,7.1%,-0.9%,✌️,<a href=https://hayateventures.jp/>HAYATE</a>,WL
