Rank,Pitcher,Age,T,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
,<a href=https://npb.jp/bis/eng/players/51155131.html>Akiyama Takumi</a>,33.0,R,19,3,6,0,1,0,338,78.0,105,9,38,8,0,3,2,40,40,4.62,4.41,3.91,1.45,74,110,99,0.21,2.7%,11.2%,2.4%,8.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/71175132.html>Aoyagi Koyo</a>,30.0,R,11,5,3,1,0,0,216,53.0,44,1,43,18,0,3,1,13,13,2.21,3.27,3.64,1.17,154,81,92,-1.06,0.5%,19.9%,8.3%,11.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/03905157.html>Beasley Jeremy</a>,28.0,R,8,3,0,0,0,0,125,35.0,15,0,33,11,0,0,0,2,2,0.51,2.52,3.04,0.74,666,63,77,-2.01,0.0%,26.4%,8.8%,17.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/83085159.html>Betances Jose</a>,24.0,R,25,1,2,0,0,0,111,23.2,23,1,27,18,0,2,3,17,11,4.18,4.26,3.99,1.73,81,106,101,-0.08,0.9%,24.3%,16.2%,8.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/33735159.html>Guerra Javy</a>,28.0,R,2,1,0,0,0,0,9,2.0,2,0,1,2,0,0,0,2,2,9.00,5.46,5.91,2.00,38,136,150,3.54,0.0%,11.1%,22.2%,-11.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/71675134.html>Hamachi Masumi</a>,26.0,R,17,0,0,0,0,0,66,16.1,11,1,13,5,0,0,0,3,3,1.65,3.58,3.59,0.98,206,89,91,-1.93,1.5%,19.7%,7.6%,12.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/81185157.html>Ibaragi Hidetoshi</a>,20.0,R,22,7,4,0,1,0,496,118.2,103,6,74,50,0,5,10,50,48,3.64,4.26,4.32,1.29,93,106,110,-0.62,1.2%,14.9%,10.1%,4.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/01105159.html>Ishiguro Yuya</a>,23.0,R,40,4,4,10,0,0,161,36.0,37,3,39,14,1,1,4,20,14,3.50,3.63,3.25,1.42,97,90,82,-0.13,1.9%,24.2%,8.7%,15.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/41145153.html>Ishii Daichi</a>,26.0,R,9,0,0,0,0,0,34,9.0,8,0,10,0,0,0,1,1,1,1.00,1.24,1.86,0.89,340,31,47,-0.24,0.0%,29.4%,0.0%,29.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/71375153.html>Itoh Masashi</a>,28.0,L,7,2,3,0,0,0,175,42.2,47,1,29,8,0,2,2,11,11,2.32,3.11,3.60,1.29,146,77,91,-0.79,0.6%,16.6%,4.6%,12.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/31335155.html>Itoh Ryo</a>,24.0,L,7,0,1,0,0,0,27,4.0,10,1,4,4,0,0,0,11,9,20.25,7.71,4.80,3.50,17,191,122,12.54,3.7%,14.8%,14.8%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/51355139.html>Iwasada Yuta</a>,32.0,L,30,1,0,1,0,0,111,26.1,26,1,23,7,0,3,1,9,8,2.73,3.35,3.36,1.25,124,83,85,-0.62,0.9%,20.7%,6.3%,14.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/81385153.html>Iwata Masaki</a>,26.0,L,46,1,2,0,0,0,144,38.1,28,2,29,5,0,0,0,12,9,2.11,3.02,3.13,0.86,161,75,79,-0.91,1.4%,20.1%,3.5%,16.6%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/21525139.html>Kajiya Ren</a>,32.0,R,29,2,1,2,0,0,99,26.1,19,0,26,7,0,0,2,3,2,0.68,2.28,2.88,0.99,500,57,73,-1.60,0.0%,26.3%,7.1%,19.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/11715138.html>Kawahara Riku</a>,23.0,L,50,2,1,1,0,0,203,50.0,42,2,38,20,0,0,2,10,9,1.62,3.66,3.91,1.24,210,91,99,-2.04,1.0%,18.7%,9.9%,8.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/13215159.html>Martinez Anthony</a>,24.0,R,17,6,1,0,0,0,250,55.0,63,4,38,28,0,5,5,30,24,3.93,4.82,4.40,1.65,86,120,112,-0.89,1.6%,15.2%,11.2%,4.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/93195159.html>Matsubara Kai</a>,24.0,R,33,0,1,0,0,0,142,31.1,27,0,21,22,0,3,7,19,15,4.31,4.51,4.87,1.56,79,112,124,-0.20,0.0%,14.8%,15.5%,-0.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/53355157.html>Mombetsu Keito</a>,19.0,L,15,4,5,0,0,0,323,77.1,75,10,52,20,0,4,3,41,34,3.96,4.73,3.81,1.23,86,117,97,-0.77,3.1%,16.1%,6.2%,9.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/03305155.html>Moriki Daichi</a>,21.0,R,21,0,0,0,0,0,117,20.2,23,0,14,27,0,5,5,27,26,11.32,6.75,5.91,2.42,30,168,150,4.57,0.0%,12.0%,23.1%,-11.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/91495151.html>Nishi Junya</a>,22.0,R,17,5,6,1,0,0,365,83.2,91,5,74,31,0,6,4,33,30,3.23,3.79,3.62,1.46,105,94,92,-0.56,1.4%,20.3%,8.5%,11.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/71275118.html>Nishi Yuki</a>,33.0,R,2,1,0,0,0,0,38,8.2,11,0,7,0,0,0,0,4,3,3.12,1.84,2.96,1.27,109,46,75,1.28,0.0%,18.4%,0.0%,18.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/11515155.html>Okadome Hidetaka</a>,24.0,R,8,0,0,0,0,0,30,7.0,7,1,3,3,0,0,0,3,3,3.86,5.75,4.80,1.43,88,143,122,-1.89,3.3%,10.0%,10.0%,0.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/91795151.html>Oyokawa Masaki</a>,23.0,L,9,4,1,0,1,0,151,37.1,28,3,43,13,0,0,1,11,10,2.41,3.25,2.81,1.10,141,81,71,-0.84,2.0%,28.5%,8.6%,19.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/81085153.html>Satoh Ren</a>,26.0,R,49,2,0,3,0,0,219,48.2,39,0,51,26,0,7,6,12,11,2.03,3.40,3.66,1.34,167,84,93,-1.37,0.0%,23.3%,11.9%,11.4%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
