Rank,Player,Age,Pos,B,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
,<a href=https://npb.jp/bis/eng/players/71075138.html>Chikamoto Koji</a>,29,1,L,141,639,562,71,160,16,5,6,204,45,19,9,0,4,93,68,5,5,7,0.285,0.365,0.363,0.728,130,0.078,0.330,26.1%,14.6%,10.6%,0.73,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/43145157.html>Morishita Shota</a>,23,1,R,129,526,458,64,126,24,2,16,202,73,0,2,0,3,78,53,1,12,13,0.275,0.363,0.441,0.804,153,0.166,0.300,27.9%,14.8%,10.1%,0.68,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41445153.html>Nakano Takumu</a>,28,1,L,143,634,547,63,127,20,2,1,154,32,6,7,35,1,97,46,0,5,10,0.232,0.297,0.282,0.579,82,0.050,0.280,22.7%,15.3%,7.3%,0.47,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/21325134.html>Ohyama Yusuke</a>,29,1,R,130,545,483,63,125,18,0,14,185,68,0,4,0,3,88,52,3,7,19,0.259,0.338,0.383,0.721,127,0.124,0.289,28.3%,16.1%,9.5%,0.59,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41045153.html>Sato Teruaki</a>,25,1,L,120,496,451,58,121,21,4,16,198,70,0,2,0,4,133,36,2,5,11,0.268,0.327,0.439,0.766,139,0.171,0.343,37.3%,26.8%,7.3%,0.27,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/31135133.html>Akiyama Shogo</a>,36,1,L,138,587,547,60,158,20,1,4,192,30,6,5,2,4,96,29,3,5,6,0.289,0.328,0.351,0.679,109,0.062,0.341,22.0%,16.4%,4.9%,0.30,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/61565135.html>Kikuchi Ryosuke</a>,34,1,R,136,497,453,27,109,19,0,9,155,38,2,2,17,1,69,25,3,1,9,0.241,0.281,0.342,0.623,91,0.101,0.266,20.7%,13.9%,5.0%,0.36,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/01705138.html>Kozono Kaito</a>,24,1,L,143,588,540,52,151,15,3,2,178,61,13,9,7,5,53,30,6,6,6,0.280,0.322,0.330,0.652,101,0.050,0.304,14.5%,9.0%,5.1%,0.57,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/01405130.html>Noma Takayoshi</a>,31,1,L,113,443,391,40,106,14,5,1,133,28,8,5,3,1,52,43,1,5,9,0.271,0.350,0.340,0.690,113,0.069,0.310,21.7%,11.7%,9.7%,0.83,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/11915134.html>Sakakura Shogo</a>,26,1,L,121,462,427,43,119,19,1,12,176,44,3,2,1,2,80,31,3,1,7,0.279,0.328,0.412,0.740,127,0.133,0.318,26.6%,17.3%,6.7%,0.39,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/93395153.html>Yano Masaya</a>,25,1,L,137,495,430,45,112,13,6,2,143,38,13,10,20,4,109,38,1,3,8,0.260,0.322,0.333,0.655,102,0.073,0.341,30.1%,22.0%,7.7%,0.35,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/73375151.html>Austin Tyler</a>,32,1,R,106,445,396,66,125,34,2,25,238,69,0,1,0,4,88,45,2,0,12,0.316,0.382,0.601,0.983,197,0.285,0.348,35.5%,19.8%,10.1%,0.51,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/13115153.html>Maki Shugo</a>,26,1,R,133,561,517,76,152,33,0,23,254,74,11,0,0,2,59,37,5,5,13,0.294,0.346,0.491,0.837,154,0.197,0.295,21.2%,10.5%,6.6%,0.63,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/51455137.html>Miyazaki Toshiro</a>,35,1,R,125,469,410,49,116,24,0,14,182,56,1,1,0,1,29,52,11,6,9,0.283,0.371,0.444,0.815,148,0.161,0.277,20.3%,6.2%,11.1%,1.79,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/91995134.html>Sano Keita</a>,29,1,L,139,566,524,51,143,34,0,8,201,62,0,0,0,3,53,35,3,4,17,0.273,0.322,0.384,0.706,116,0.111,0.290,17.0%,9.4%,6.2%,0.66,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/21425116.html>Maru Yoshihiro</a>,35,1,L,138,595,525,51,146,18,1,14,208,45,8,4,0,2,93,65,5,3,9,0.278,0.360,0.396,0.756,135,0.118,0.314,28.9%,15.6%,10.9%,0.70,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/11515130.html>Okamoto Kazuma</a>,28,1,R,143,611,535,70,150,37,0,27,268,83,1,1,0,5,97,66,10,5,5,0.280,0.362,0.501,0.863,167,0.221,0.296,31.1%,15.9%,10.8%,0.68,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/73375134.html>Yoshikawa Naoki</a>,29,1,L,143,602,536,65,154,25,4,5,202,46,12,5,13,6,61,41,2,6,8,0.287,0.341,0.377,0.718,123,0.090,0.313,17.8%,10.1%,6.8%,0.67,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
