#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,,Team,Age,T,League
,Murakami Shoki,25,7,11,0,0,2,0,635,153.2,143,7,130,33,2,2,5,57,44,2.58,2.67,3.27,1.15,110,83,90,-0.09,1.1%,20.5%,5.2%,15.3%,45.7%,30.2%,81.2%,9.1%,26.5%,91.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,26,R,CL
,Ohtake Koutaro,24,11,7,0,0,0,0,587,144.2,134,8,91,33,1,1,1,47,45,2.80,3.25,3.81,1.15,102,101,105,-0.45,1.4%,15.5%,5.6%,9.9%,49.0%,22.3%,87.5%,5.5%,28.4%,84.8,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,29,L,CL
,Saiki Hiroto,25,13,3,0,0,4,3,671,167.2,140,4,137,38,2,0,4,35,34,1.83,2.44,3.32,1.06,155,76,91,-0.61,0.6%,20.4%,5.7%,14.8%,45.5%,26.4%,80.2%,8.9%,28.3%,92.3,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,25,R,CL
,Morishita Masato,23,10,10,0,0,2,1,612,151.2,137,6,98,29,3,7,2,46,43,2.55,3.02,3.67,1.09,116,91,101,-0.47,1.0%,16.0%,4.7%,11.3%,51.4%,27.2%,81.5%,8.9%,28.3%,91.1,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,26,R,CL
,Ohsera Daichi,25,6,6,0,0,2,1,627,155.0,118,5,98,49,3,3,0,37,32,1.86,3.25,4.02,1.08,158,97,110,-1.39,0.8%,15.6%,7.8%,7.8%,46.1%,25.3%,83.0%,7.8%,26.8%,89.7,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,33,R,CL
,Tokoda Hiroki,26,11,9,0,0,0,0,693,167.0,170,9,95,48,4,4,0,52,46,2.48,3.59,4.12,1.31,119,107,113,-1.11,1.3%,13.7%,6.9%,6.8%,52.1%,26.2%,82.3%,8.1%,28.4%,88.8,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,29,L,CL
,Azuma Katsuki,26,13,4,0,0,2,2,731,183.0,166,11,140,27,2,6,0,45,44,2.16,2.88,3.25,1.05,140,84,89,-0.72,1.5%,19.2%,3.7%,15.5%,46.2%,33.0%,80.4%,9.8%,29.8%,88.9,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,28,L,CL
,Jackson Andre,25,8,7,0,0,0,0,587,143.0,109,8,121,51,3,6,9,53,46,2.90,3.32,3.61,1.12,104,97,99,-0.42,1.4%,20.6%,8.7%,11.9%,51.5%,28.0%,76.6%,10.6%,30.2%,94.3,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,28,R,CL
,Sugano Tomoyuki,24,15,3,0,0,3,1,608,156.2,132,6,111,16,0,4,4,31,29,1.67,2.55,3.24,0.94,175,77,89,-0.88,1.0%,18.3%,2.6%,15.6%,52.3%,27.8%,79.2%,9.4%,29.7%,91.9,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,34,R,CL
,Togo Shosei,26,12,8,0,0,4,3,703,180.0,129,12,156,44,3,7,3,39,39,1.95,3.07,3.21,0.96,150,93,88,-1.12,1.7%,22.2%,6.3%,15.9%,46.2%,30.8%,76.2%,11.5%,29.2%,91.1,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,24,R,CL
,Yamasaki Iori,24,10,6,0,0,1,1,621,147.1,140,8,103,42,1,10,2,48,46,2.81,3.45,3.82,1.24,104,105,105,-0.64,1.3%,16.6%,6.8%,9.8%,50.2%,27.8%,78.3%,9.9%,27.9%,91.0,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,25,R,CL
,Ogasawara Shinnosuke,24,5,11,0,0,0,0,602,144.1,151,9,82,22,2,4,2,59,50,3.12,3.30,3.80,1.20,88,106,105,-0.18,1.5%,13.6%,3.7%,10.0%,46.0%,27.2%,83.6%,7.8%,27.5%,89.7,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,26,L,CL
,Takahashi Hiroto,21,12,4,0,0,1,1,569,143.2,107,1,130,34,2,4,5,27,22,1.38,2.16,3.11,0.98,200,69,86,-0.78,0.2%,22.8%,6.0%,16.9%,62.8%,28.0%,76.0%,11.4%,29.8%,94.6,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,21,R,CL
