Rank,Player,Age,Pos,B,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
,<a href=https://npb.jp/bis/eng/players/71175132.html>Aoyagi Koyo</a>,30,1,R,12,18,12,0,0,0,0,0,0,2,0,0,4,1,5,1,0,0,0,0.000,0.071,0.000,0.071,-79,0.000,0.000,33.3%,27.8%,5.6%,0.20,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/03905157.html>Beasley Jeremy</a>,28,1,R,14,23,21,2,0,0,0,0,0,0,0,0,1,0,11,1,0,0,0,0.000,0.045,0.000,0.045,-88,0.000,0.000,52.2%,47.8%,4.3%,0.09,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/71075138.html>Chikamoto Koji</a>,29,8,L,141,639,562,71,160,16,5,6,204,45,19,9,0,4,93,68,5,5,7,0.285,0.365,0.363,0.728,130,0.078,0.330,26.1%,14.6%,10.6%,0.73,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/61065131.html>Haraguchi Fumihito</a>,32,3,R,52,65,58,5,14,1,0,2,21,9,1,0,0,0,14,5,0,2,0,0.241,0.323,0.362,0.685,115,0.121,0.286,32.3%,21.5%,7.7%,0.36,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/31335151.html>Inoue Kouta</a>,22,7,R,23,55,52,5,11,2,0,3,22,8,1,1,0,0,20,3,0,0,0,0.212,0.255,0.423,0.678,110,0.211,0.276,47.3%,36.4%,5.5%,0.15,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/71375153.html>Itoh Masashi</a>,28,1,L,18,22,18,2,1,0,0,0,1,0,0,0,4,0,11,0,0,0,0,0.056,0.056,0.056,0.112,-67,0.000,0.143,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/81185134.html>Itohara Kento</a>,31,5,L,89,128,111,8,24,2,0,0,26,9,0,0,0,1,20,15,0,1,3,0.216,0.313,0.234,0.547,73,0.018,0.261,27.3%,15.6%,11.7%,0.75,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/31735138.html>Kinami Seiya</a>,30,6,L,116,409,359,27,77,13,1,1,95,35,1,0,13,1,64,32,4,4,17,0.214,0.285,0.265,0.550,73,0.051,0.258,23.7%,15.6%,7.8%,0.50,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/81585136.html>Kumagai Takahiro</a>,28,5,R,32,9,8,2,1,0,0,0,1,0,1,1,1,0,2,0,0,0,0,0.125,0.125,0.125,0.250,-23,0.000,0.167,22.2%,22.2%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/21825155.html>Maegawa Ukyo</a>,21,7,L,116,362,324,25,87,16,0,4,115,42,0,0,0,1,50,27,0,10,7,0.269,0.343,0.355,0.698,120,0.086,0.306,22.4%,13.8%,7.5%,0.54,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/73075157.html>Mieses Johan</a>,28,DH,R,14,19,18,1,2,0,0,0,2,0,0,0,0,0,5,1,0,0,1,0.111,0.158,0.111,0.269,-16,0.000,0.154,31.6%,26.3%,5.3%,0.20,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/53355157.html>Mombetsu Keito</a>,19,1,L,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/43145157.html>Morishita Shota</a>,23,9,R,129,526,458,64,126,24,2,16,202,73,0,2,0,3,78,53,1,12,13,0.275,0.363,0.441,0.804,153,0.166,0.300,27.9%,14.8%,10.1%,0.68,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/13315153.html>Murakami Shoki</a>,26,1,L,25,48,44,0,5,0,0,0,5,3,0,0,3,0,24,1,0,0,0,0.114,0.133,0.114,0.247,-24,0.000,0.250,52.1%,50.0%,2.1%,0.04,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/91495134.html>Nagasaka Kenya</a>,30,2,R,5,4,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41445153.html>Nakano Takumu</a>,28,4,L,143,634,547,63,127,20,2,1,154,32,6,7,35,1,97,46,0,5,10,0.232,0.297,0.282,0.579,82,0.050,0.280,22.7%,15.3%,7.3%,0.47,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
