#,Team,TZR,TZR/143,RngR,ARM,DPR,ErrR,Framing,Blocking,League
,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,39.9,4.9,34.9,0.5,-0.4,4.5,-1.9,2.2,CL
,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,-32.5,-4.0,-14.9,-7.2,-2.4,-7.9,3.4,-0.9,CL
,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,-69.5,-8.8,-66.5,-0.8,0.4,-3.2,14.4,-1.7,CL
,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,-14.2,-1.8,-15.0,-9.1,4.9,4.7,-0.1,-1.1,CL
,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,-60.8,-7.6,-35.6,-4.4,-7.9,-13.9,8.5,-0.1,CL
,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,8.8,1.1,-6.4,8.9,1.7,3.6,1.0,0.7,CL
,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,-36.8,-4.2,-44.4,-5.8,8.0,5.0,-12.7,-0.6,PL
,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,20.6,2.3,17.5,0.1,-1.4,5.2,-4.4,-0.9,PL
,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,9.7,1.1,16.7,-5.3,-3.0,0.9,-9.3,0.2,PL
,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,52.4,5.8,39.8,14.3,0.4,-3.2,-10.7,-2.1,PL
,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,-13.2,-1.5,-4.8,-2.7,-2.1,-4.6,12.5,2.4,PL
,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,95.9,10.7,78.5,10.6,1.9,4.5,-0.7,1.7,PL
