PlayerNum,jpPlayer,Link,BirthDate,Height,Weight,T,B,Note,Team
80,岡田　彰布,1957.11.25,,,Hanshin Tigers
00,ゲラ,https://npb.jp/bis/players/33735159.html,1995.09.25,183,86,右,左,,Hanshin Tigers
13,岩崎　優,https://npb.jp/bis/players/31335139.html,1991.06.19,185,91,左,左,,Hanshin Tigers
14,岩貞　祐太,https://npb.jp/bis/players/51355139.html,1991.09.05,183,87,左,左,,Hanshin Tigers
15,西　純矢,https://npb.jp/bis/players/91495151.html,2001.09.13,184,94,右,右,,Hanshin Tigers
16,西　勇輝,https://npb.jp/bis/players/71275118.html,1990.11.10,181,82,右,右,,Hanshin Tigers
17,青柳　晃洋,https://npb.jp/bis/players/71175132.html,1993.12.11,183,83,右,右,,Hanshin Tigers
19,下村　海翔,https://npb.jp/bis/players/61965159.html,2002.03.27,174,73,右,右,,Hanshin Tigers
20,森木　大智,https://npb.jp/bis/players/03305155.html,2003.04.17,184,93,右,右,,Hanshin Tigers
21,秋山　拓巳,https://npb.jp/bis/players/51155131.html,1991.04.26,188,101,右,左,,Hanshin Tigers
26,椎葉　剛,https://npb.jp/bis/players/21925159.html,2002.03.18,182,92,右,右,,Hanshin Tigers
27,伊藤　将司,https://npb.jp/bis/players/71375153.html,1996.05.08,178,87,左,左,,Hanshin Tigers
28,鈴木　勇斗,https://npb.jp/bis/players/01005155.html,2000.03.17,174,86,左,左,,Hanshin Tigers
30,門別　啓人,https://npb.jp/bis/players/53355157.html,2004.07.10,183,86,左,左,,Hanshin Tigers
34,漆原　大晟,https://npb.jp/bis/players/11315138.html,1996.09.10,182,85,右,左,,Hanshin Tigers
35,才木　浩人,https://npb.jp/bis/players/41745134.html,1998.11.07,189,88,右,右,,Hanshin Tigers
36,浜地　真澄,https://npb.jp/bis/players/71675134.html,1998.05.25,185,88,右,右,,Hanshin Tigers
37,及川　雅貴,https://npb.jp/bis/players/91795151.html,2001.04.18,184,81,左,左,,Hanshin Tigers
41,村上　頌樹,https://npb.jp/bis/players/13315153.html,1998.06.25,175,82,右,左,,Hanshin Tigers
46,島本　浩也,https://npb.jp/bis/players/51055133.html,1993.02.14,176,71,左,左,,Hanshin Tigers
47,桐敷　拓馬,https://npb.jp/bis/players/01705155.html,1999.06.20,179,94,左,左,,Hanshin Tigers
48,茨木　秀俊,https://npb.jp/bis/players/81185157.html,2004.06.08,182,87,右,右,,Hanshin Tigers
49,大竹　耕太郎,https://npb.jp/bis/players/41345136.html,1995.06.29,184,87,左,左,,Hanshin Tigers
50,富田　蓮,https://npb.jp/bis/players/51255157.html,2001.09.06,174,76,左,左,,Hanshin Tigers
54,加治屋　蓮,https://npb.jp/bis/players/21525139.html,1991.11.25,185,90,右,右,,Hanshin Tigers
63,石黒　佑弥,https://npb.jp/bis/players/01105159.html,2001.06.20,180,83,右,右,,Hanshin Tigers
64,岡留　英貴,https://npb.jp/bis/players/11515155.html,1999.11.07,181,94,右,右,,Hanshin Tigers
65,湯浅　京己,https://npb.jp/bis/players/41845138.html,1999.07.17,183,82,右,右,,Hanshin Tigers
66,津田　淳哉,https://npb.jp/bis/players/11415159.html,2001.08.27,178,83,右,右,,Hanshin Tigers
69,石井　大智,https://npb.jp/bis/players/41145153.html,1997.07.29,175,80,右,右,,Hanshin Tigers
93,岩田　将貴,https://npb.jp/bis/players/81385153.html,1998.06.16,178,75,左,左,,Hanshin Tigers
