Rank,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Team,League
,Murakami Shoki,25,7,11,0,0,2,0,635,153.2,143,7,130,33,2,2,5,57,44,2.58,2.67,3.27,1.15,111,82,90,-0.09,1.1%,20.5%,5.2%,15.3%,38.2%,31.8%,77.9%,10.7%,28.0%,90.8,Hanshin Tigers,CL
,Ohtake Koutaro,24,11,7,0,0,0,0,587,144.2,134,8,91,33,1,1,1,47,45,2.80,3.25,3.81,1.15,103,100,105,-0.45,1.4%,15.5%,5.6%,9.9%,44.4%,30.1%,87.2%,6.0%,29.5%,85.1,Hanshin Tigers,CL
,Saiki Hiroto,25,13,3,0,0,4,3,671,167.2,140,4,137,38,2,0,4,35,34,1.83,2.44,3.32,1.06,157,75,91,-0.61,0.6%,20.4%,5.7%,14.8%,41.5%,25.9%,79.0%,9.8%,27.2%,93.3,Hanshin Tigers,CL
,Morishita Masato,23,10,10,0,0,2,1,612,151.2,137,6,98,29,3,7,2,46,43,2.55,3.02,3.67,1.09,117,89,101,-0.47,1.0%,16.0%,4.7%,11.3%,52.0%,26.0%,82.2%,8.7%,25.7%,91.1,Hiroshima Carp,CL
,Ohsera Daichi,25,6,6,0,0,2,1,627,155.0,118,5,98,49,3,3,0,37,32,1.86,3.25,4.02,1.08,161,96,110,-1.39,0.8%,15.6%,7.8%,7.8%,42.6%,25.9%,79.6%,9.8%,25.6%,89.0,Hiroshima Carp,CL
,Tokoda Hiroki,26,11,9,0,0,0,0,693,167.0,170,9,95,48,4,4,0,52,46,2.48,3.59,4.12,1.31,121,106,113,-1.11,1.3%,13.7%,6.9%,6.8%,47.2%,27.0%,82.4%,8.2%,27.7%,88.9,Hiroshima Carp,CL
,Azuma Katsuki,26,13,4,0,0,2,2,731,183.0,166,11,140,27,2,6,0,45,44,2.16,2.88,3.25,1.05,140,84,89,-0.72,1.5%,19.2%,3.7%,15.5%,46.3%,32.2%,79.8%,9.9%,30.7%,88.7,DeNA BayStars,CL
,Jackson Andre,25,8,7,0,0,0,0,587,143.0,109,8,121,51,3,6,9,53,46,2.90,3.32,3.61,1.12,104,97,99,-0.42,1.4%,20.6%,8.7%,11.9%,52.2%,26.0%,79.3%,9.7%,27.1%,94.2,DeNA BayStars,CL
,Sugano Tomoyuki,24,15,3,0,0,3,1,608,156.2,132,6,111,16,0,4,4,31,29,1.67,2.55,3.24,0.94,176,77,89,-0.88,1.0%,18.3%,2.6%,15.6%,nan%,nan%,nan%,nan%,nan%,,Yomiuri Giants,CL
,Togo Shosei,26,12,8,0,0,4,3,703,180.0,129,12,156,44,3,7,3,39,39,1.95,3.07,3.21,0.96,150,92,88,-1.12,1.7%,22.2%,6.3%,15.9%,41.8%,30.9%,77.3%,10.7%,27.7%,91.3,Yomiuri Giants,CL
,Yamasaki Iori,24,10,6,0,0,1,1,621,147.1,140,8,103,42,1,10,2,48,46,2.81,3.45,3.82,1.24,104,104,105,-0.64,1.3%,16.6%,6.8%,9.8%,54.7%,30.9%,77.5%,10.6%,28.2%,91.8,Yomiuri Giants,CL
,Ogasawara Shinnosuke,24,5,11,0,0,0,0,602,144.1,151,9,82,22,2,4,2,59,50,3.12,3.30,3.80,1.20,88,106,105,-0.18,1.5%,13.6%,3.7%,10.0%,nan%,nan%,nan%,nan%,nan%,,Chunichi Dragons,CL
,Takahashi Hiroto,21,12,4,0,0,1,1,569,143.2,107,1,130,34,2,4,5,27,22,1.38,2.16,3.11,0.98,200,69,86,-0.78,0.2%,22.8%,6.0%,16.9%,56.1%,30.4%,73.9%,12.7%,26.9%,94.5,Chunichi Dragons,CL
,Ojima Kazuya,25,12,10,0,0,5,1,671,163.1,157,15,132,36,0,7,5,68,65,3.58,3.46,3.37,1.18,85,100,93,0.12,2.2%,19.7%,5.4%,14.3%,46.6%,27.9%,79.2%,9.4%,26.2%,89.6,Lotte Marines,PL
,Taneichi Atsuki,23,7,8,0,0,2,0,612,147.1,128,5,148,38,0,9,4,55,50,3.05,2.48,3.00,1.13,100,72,83,0.57,0.8%,24.2%,6.2%,18.0%,49.2%,31.0%,72.2%,13.7%,29.3%,92.4,Lotte Marines,PL
,Arihara Kohei,26,14,7,0,0,3,2,718,182.2,142,12,137,37,0,8,1,56,48,2.36,3.18,3.41,0.98,128,93,94,-0.82,1.7%,19.1%,5.2%,13.9%,54.8%,31.1%,76.1%,11.6%,27.8%,91.6,SoftBank Hawks,PL
,Moinelo Livan,25,11,5,0,0,2,0,636,163.0,107,11,155,47,1,5,3,39,34,1.88,3.02,3.10,0.94,161,88,85,-1.14,1.7%,24.4%,7.4%,17.0%,41.2%,32.4%,72.4%,13.9%,30.6%,92.9,SoftBank Hawks,PL
,Hayakawa Takahisa,25,11,6,0,0,2,1,690,170.1,156,10,160,35,1,3,4,54,48,2.54,2.64,2.99,1.12,113,81,82,-0.10,1.4%,23.2%,5.1%,18.1%,33.8%,30.1%,76.5%,11.6%,28.5%,89.5,Rakuten Eagles,PL
,Kishi Takayuki,22,6,11,0,0,3,2,590,143.1,144,13,73,29,1,2,1,52,45,2.83,3.90,4.05,1.21,102,120,111,-1.07,2.2%,12.4%,4.9%,7.5%,35.8%,26.6%,84.1%,7.3%,27.2%,87.7,Rakuten Eagles,PL
,Imai Tatsuya,25,10,8,0,0,2,1,712,173.1,132,8,187,70,2,5,8,52,45,2.34,2.83,3.16,1.17,125,85,87,-0.49,1.1%,26.3%,9.8%,16.4%,50.2%,32.4%,68.0%,15.7%,31.4%,94.9,Seibu Lions,PL
,Sumida Chihiro,26,9,10,0,0,2,1,719,179.1,161,11,154,35,1,3,5,56,55,2.76,2.80,3.14,1.09,106,84,86,-0.04,1.5%,21.4%,4.9%,16.6%,47.3%,31.0%,75.6%,11.7%,30.5%,91.9,Seibu Lions,PL
,Takeuchi Natsuki,21,10,6,0,0,1,1,568,145.1,120,6,107,22,0,3,2,39,35,2.17,2.67,3.30,0.98,135,80,91,-0.50,1.1%,18.8%,3.9%,15.0%,41.8%,24.0%,80.1%,9.5%,26.1%,90.0,Seibu Lions,PL
,Itoh Hiromi,26,14,5,0,0,5,4,710,176.1,150,14,161,39,0,3,1,60,52,2.65,3.01,3.08,1.07,115,87,85,-0.36,2.0%,22.7%,5.5%,17.2%,45.7%,32.9%,77.1%,11.8%,29.3%,92.9,Nipponham Fighters,PL
,Katoh Takayuki,27,10,9,0,0,3,2,672,166.2,174,15,103,17,0,1,2,55,50,2.70,3.35,3.52,1.15,113,97,97,-0.65,2.2%,15.3%,2.5%,12.8%,46.2%,25.9%,87.5%,6.2%,28.0%,85.9,Nipponham Fighters,PL
,Yamasaki Sachiya,24,10,6,0,0,2,0,600,147.2,142,17,74,28,1,4,3,57,52,3.17,4.23,4.03,1.15,96,122,111,-1.06,2.8%,12.3%,4.7%,7.7%,45.8%,22.5%,85.8%,6.4%,28.0%,86.0,Nipponham Fighters,PL
