Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
鈴木 将平,ハ,LF,17.0,0.3,0.2,-,0.0,0.1,-0.2,-,-,
大里 昂生,オ,2B,8.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
大里 昂生,オ,SS,7.0,0.5,0.2,0.2,-,0.1,0.1,-,-,
井坪 陽生,神,CF,18.0,-0.3,-0.3,-,0.0,0.0,0.1,-,-,
田中 広輔,広,SS,9.0,0.2,-0.2,0.2,-,0.3,0.1,-,-,
今宮 健太,ソ,SS,6.0,-0.2,-0.2,0.0,-,0.1,0.0,-,-,
樋口 正修,中,2B,7.0,0.4,0.4,0.0,-,0.0,0.0,-,-,
樋口 正修,中,LF,2.0,0.3,0.2,-,0.0,0.0,0.0,-,-,
石見 颯真,ソ,SS,3.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
上本 崇司,広,SS,8.0,-0.3,0.3,-0.2,-,-0.4,0.1,-,-,
奥村 光一,西,CF,9.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
知念 大成,O,RF,9.0,0.4,0.4,-,0.0,0.0,0.0,-,-,
明瀬 諒介,日,2B,10.0,0.1,0.2,-0.1,-,0.0,0.0,-,-,
宮崎 竜成,ロ,SS,10.0,0.3,0.2,-0.1,-,0.2,0.1,-,-,
泉口 友汰,巨,SS,5.0,0.6,0.3,0.2,-,0.2,0.0,-,-,
吉野 創士,楽,CF,9.0,0.1,0.2,-,-0.1,0.0,0.0,-,-,
重信 慎之介,巨,LF,4.0,-0.3,-0.4,-,0.0,0.0,0.0,-,-,
梶原 昂希,デ,RF,8.0,-0.2,-0.2,-,0.0,0.0,0.0,-,-,
岩田 幸宏,ヤ,CF,7.0,-0.6,-0.6,-,0.0,0.0,0.0,-,-,
増田 将馬,ハ,RF,17.0,0.0,0.0,-,0.0,0.0,-0.1,-,-,
元 謙太,オ,LF,7.0,0.3,0.2,-,0.0,0.0,-0.1,-,-,
元 謙太,オ,RF,8.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
佐野 大陽,神,3B,18.0,0.8,0.5,0.1,-,0.1,-0.1,-,-,
佐藤 啓介,広,2B,16.0,-0.9,-0.8,-0.1,-,0.0,0.0,-,-,
石原 貴規,広,C,1.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,
庄子 雄大,ソ,2B,9.0,0.7,0.6,0.0,-,0.1,0.0,-,-,
山本 泰寛,中,2B,2.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
山本 泰寛,中,3B,7.0,-0.2,-0.2,0.0,-,0.0,0.0,-,-,
松原 聖弥,西,RF,9.0,-0.4,-0.7,-,0.2,0.0,0.0,-,-,
田中 俊太,O,2B,9.0,0.5,0.5,0.0,-,0.1,0.0,-,-,
細川 凌平,日,SS,5.0,0.1,0.1,0.0,-,0.1,0.0,-,-,
藤原 恭大,ロ,CF,5.0,0.2,0.2,-,0.0,0.0,0.0,-,-,
藤原 恭大,ロ,RF,5.0,0.0,-0.4,-,0.4,0.0,0.0,-,-,
山縣 秀,日,SS,5.0,0.1,0.1,0.0,-,0.1,0.0,-,-,
浅野 翔吾,巨,LF,5.0,-0.8,-0.8,-,0.0,0.0,0.0,-,-,
陽 柏翔,楽,2B,9.0,-0.6,-0.5,-0.1,-,0.0,0.0,-,-,
湯浅 大,巨,3B,1.0,-0.2,-0.2,0.0,-,0.0,0.0,-,-,
湯浅 大,巨,SS,3.0,0.2,0.2,-0.1,-,0.1,0.0,-,-,
森 敬斗,デ,SS,8.0,0.0,0.4,0.1,-,-0.6,0.1,-,-,
増田 珠,ヤ,LF,6.0,0.3,0.2,-,0.0,0.0,-0.1,-,-,
増田 珠,ヤ,RF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
倉本 寿彦,ハ,3B,17.0,0.2,0.0,0.1,-,0.1,-0.1,-,-,
横山 聖哉,オ,SS,8.0,-0.9,-0.8,-0.1,-,0.0,0.1,-,-,
楠本 泰史,神,DH,9.0,-,-,-,-,-,-0.1,-,-,
内田 湘大,広,3B,17.0,-0.9,-0.2,-0.1,-,-0.6,-0.1,-,-,
笹川 吉康,ソ,CF,9.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
川上 理偉,中,1B,9.0,-0.2,-0.2,0.0,-,0.0,-0.1,-,-,
池田 陵真,オ,LF,8.0,-0.1,-0.1,-,0.0,0.1,-0.1,-,-,
池田 陵真,オ,DH,7.0,-,-,-,-,-,-0.1,-,-,
渡邉 諒,神,1B,17.0,0.5,0.2,0.0,-,0.3,-0.2,-,-,
福島 圭音,神,LF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
中村 剛也,西,DH,7.0,-,-,-,-,-,-0.1,-,-,
園部 佳太,O,3B,9.0,-0.4,-0.4,0.0,-,0.0,0.0,-,-,
元山 飛優,西,DH,2.0,-,-,-,-,-,0.0,-,-,
淺間 大基,日,CF,10.0,0.4,0.4,-,0.0,0.0,0.0,-,-,
佐藤 都志也,ロ,DH,9.0,-,-,-,-,-,-0.1,-,-,
マーティン,ロ,DH,1.0,-,-,-,-,-,0.0,-,-,
秋広 優人,巨,1B,5.0,0.0,-0.1,0.0,-,0.1,-0.1,-,-,
伊藤 裕季也,楽,3B,6.0,-0.7,-0.7,0.0,-,0.0,0.0,-,-,
郡 拓也,巨,1B,4.0,0.1,0.1,0.0,-,0.1,0.0,-,-,
永田 颯太郎,楽,3B,3.0,0.0,-0.2,0.1,-,0.0,0.0,-,-,
度会 隆輝,デ,DH,8.0,-,-,-,-,-,-0.1,-,-,
橋本 星哉,ヤ,3B,7.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
西川 僚祐,ハ,1B,17.0,-0.8,-0.2,0.0,-,-0.6,-0.2,-,-,
内藤 鵬,オ,1B,7.0,0.0,0.0,0.0,-,0.0,-0.1,-,-,
内藤 鵬,オ,3B,8.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
井上 広大,神,LF,15.0,-0.4,0.4,-,0.0,-0.7,-0.1,-,-,
仲田 侑仁,広,1B,8.0,0.3,0.2,0.0,-,0.1,-0.1,-,-,
仲田 侑仁,広,DH,9.0,-,-,-,-,-,-0.1,-,-,
コンスエグラ,神,RF,11.0,0.4,0.4,-,0.0,0.0,0.0,-,-,
渡邉 陸,ソ,C,9.0,-0.1,-,-,-0.2,0.0,0.1,0.0,0.0,
川越 誠司,中,LF,7.0,0.0,0.0,-,0.0,0.0,-0.1,-,-,
津田 啓史,中,3B,2.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
百﨑 蒼生,神,2B,1.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
村田 怜音,西,1B,9.0,-0.3,-0.3,0.0,-,0.0,-0.1,-,-,
大川 陽大,O,LF,9.0,-0.2,-0.2,-,0.0,0.0,-0.1,-,-,
有薗 直輝,日,3B,10.0,0.1,0.2,-0.1,-,0.0,0.0,-,-,
角中 勝也,ロ,LF,9.0,-0.3,-0.4,-,0.0,0.0,-0.1,-,-,
池田 来翔,ロ,3B,1.0,-0.2,-0.2,0.0,-,0.0,0.0,-,-,
萩尾 匡也,巨,CF,5.3,-0.1,-0.3,-,0.2,0.0,0.0,-,-,
岡島 豪郎,楽,LF,6.0,0.6,0.5,-,0.0,0.1,-0.1,-,-,
岡田 悠希,巨,CF,3.7,0.0,0.0,-,0.0,0.0,0.0,-,-,
辰見 鴻之介,楽,LF,3.0,0.3,0.2,-,0.0,0.0,0.0,-,-,
松尾 汐恩,デ,C,8.0,0.0,-,-,0.0,0.0,0.1,0.7,0.0,
宮本 丈,ヤ,2B,7.0,-1.1,-1.1,0.0,-,0.0,0.0,-,-,
塩﨑 栄多,ハ,DH,17.0,-,-,-,-,-,-0.2,-,-,
野間 峻祥,広,CF,9.0,-0.2,-0.2,-,0.0,0.0,0.0,-,-,
野間 峻祥,広,RF,6.0,0.5,0.5,-,0.0,0.0,0.0,-,-,
大泉 周也,ソ,LF,9.0,-0.2,-0.2,-,0.0,0.0,-0.1,-,-,
福元 悠真,中,DH,9.0,-,-,-,-,-,-0.1,-,-,
茶野 篤政,オ,RF,7.0,0.5,0.5,-,0.0,0.0,0.0,-,-,
茶野 篤政,オ,DH,8.0,-,-,-,-,-,-0.1,-,-,
中川 勇斗,神,DH,9.0,-,-,-,-,-,-0.1,-,-,
羽月 隆太郎,広,2B,1.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
羽月 隆太郎,広,LF,2.0,-0.2,-0.2,-,0.0,0.0,0.0,-,-,
蛭間 拓哉,西,LF,9.0,1.3,1.2,-,0.0,0.1,-0.1,-,-,
髙山 俊,O,DH,9.0,-,-,-,-,-,-0.1,-,-,
マイカ与那嶺,日,DH,9.0,-,-,-,-,-,-0.1,-,-,
石垣 雅海,ロ,1B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
石垣 雅海,ロ,3B,9.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
清水 優心,日,DH,1.0,-,-,-,-,-,0.0,-,-,
ティマ,巨,DH,9.0,-,-,-,-,-,-0.1,-,-,
吉納 翼,楽,RF,9.0,0.0,-0.1,-,0.0,0.0,0.0,-,-,
三森 大貴,デ,1B,2.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
三森 大貴,デ,3B,5.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
内山 壮真,ヤ,C,6.0,0.4,-,-,0.4,0.0,0.1,0.8,0.0,
内山 壮真,ヤ,LF,1.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
田内 真翔,デ,3B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
仲村 来唯也,ハ,SS,17.0,-0.1,-0.3,0.1,-,0.2,0.1,-,-,
アルナエス,神,1B,1.0,0.3,0.2,0.0,-,0.1,0.0,-,-,
アルナエス,神,2B,17.0,-0.4,-0.4,-0.1,-,0.1,0.0,-,-,
渡邉 悠斗,広,1B,9.0,-0.5,-0.5,0.0,-,0.0,-0.1,-,-,
渡邉 悠斗,広,DH,8.0,-,-,-,-,-,-0.1,-,-,
佐藤 航太,ソ,RF,7.0,-0.9,-0.9,-,0.0,0.0,0.0,-,-,
宇佐見 真吾,中,C,9.0,-0.2,-,-,-0.2,0.0,0.1,0.0,0.0,
佐藤 直樹,ソ,RF,2.0,-0.2,-0.2,-,0.0,0.0,0.0,-,-,
遠藤 成,オ,1B,8.0,0.5,0.4,0.0,-,0.1,-0.1,-,-,
遠藤 成,オ,2B,7.0,0.5,0.4,0.1,-,0.0,0.0,-,-,
野村 大樹,西,2B,9.0,-0.1,-0.3,0.1,-,0.0,0.0,-,-,
篠田 大聖,O,CF,9.0,0.2,0.2,-,0.0,0.0,0.0,-,-,
進藤 勇也,日,C,10.0,0.0,-,-,0.0,0.0,0.1,0.1,0.1,
山口 航輝,ロ,1B,9.0,0.0,-0.1,0.0,-,0.1,-0.1,-,-,
山口 航輝,ロ,LF,1.0,-0.2,-0.2,-,0.0,0.0,0.0,-,-,
佐々木 俊輔,巨,RF,9.0,-0.5,-0.1,-,-0.5,0.0,0.0,-,-,
水上 桂,楽,C,9.0,0.0,-,-,0.0,0.0,0.1,-0.7,0.0,
関根 大気,デ,LF,8.0,-0.2,-0.2,-,0.0,0.0,-0.1,-,-,
川端 慎吾,ヤ,DH,7.0,-,-,-,-,-,-0.1,-,-,
篠原 玲央,ハ,CF,17.0,-0.5,-0.3,-,-0.1,0.0,0.1,-,-,
渡部 遼人,オ,CF,15.0,0.3,0.1,-,0.2,0.0,0.1,-,-,
野口 恭佑,神,LF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
野口 恭佑,神,RF,7.0,0.9,0.7,-,0.2,0.0,0.0,-,-,
大盛 穂,広,CF,8.0,-0.4,-0.2,-,-0.1,0.0,0.0,-,-,
大盛 穂,広,RF,9.0,-0.6,-0.6,-,0.0,0.0,0.0,-,-,
牧原 巧汰,ソ,DH,9.0,-,-,-,-,-,-0.1,-,-,
濱 将乃介,中,CF,9.0,0.5,0.5,-,0.0,0.0,0.0,-,-,
古市 尊,西,C,9.0,0.4,-,-,0.4,0.0,0.1,0.5,0.0,
小西 慶治,O,1B,9.0,-0.3,-0.3,0.0,-,0.0,-0.1,-,-,
山口 アタル,日,LF,10.0,-0.6,-0.6,-,0.0,0.0,-0.1,-,-,
茶谷 健太,ロ,2B,10.0,-0.3,-0.3,0.0,-,0.0,0.0,-,-,
荒巻 悠,巨,3B,8.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
山田 遥楓,楽,1B,9.0,0.1,0.0,0.0,-,0.1,-0.1,-,-,
中田 歩夢,巨,SS,1.0,0.1,0.1,0.0,-,0.1,0.0,-,-,
神里 和毅,デ,CF,8.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
澤井 廉,ヤ,RF,6.0,-1.9,-1.6,-,-0.4,0.0,0.0,-,-,
中川 拓真,ヤ,C,1.0,-0.2,-,-,-0.2,0.0,0.0,-0.2,0.0,
和辻 大輝,ハ,2B,17.0,0.8,0.4,0.3,-,0.1,0.0,-,-,
堀 柊那,オ,C,8.0,0.2,-,-,0.4,-0.3,0.1,0.0,0.0,
町田 隼乙,神,C,9.0,-0.1,-,-,-0.2,0.0,0.1,0.0,0.0,
磯村 嘉孝,広,C,8.0,0.0,-,-,0.0,0.0,0.1,0.0,0.0,
重松 凱人,ソ,1B,9.0,0.4,0.3,0.0,-,0.1,-0.1,-,-,
ロドリゲス,中,SS,9.0,0.4,0.2,0.0,-,0.1,0.1,-,-,
田島 光祐,オ,C,7.0,0.0,-,-,0.0,0.0,0.1,0.2,0.0,
長坂 拳弥,神,C,9.0,-0.3,-,-,-0.3,0.0,0.1,-0.6,0.0,
持丸 泰輝,広,C,8.0,0.0,-,-,0.0,0.0,0.1,-0.2,0.0,
古賀 輝希,西,3B,6.0,0.4,0.4,0.0,-,0.0,0.0,-,-,
中澤 英明,O,C,9.0,-0.5,-,-,-0.5,0.0,0.1,-0.4,0.0,
山村 崇嘉,西,3B,3.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
阪口 樂,日,1B,10.0,0.3,0.2,0.0,-,0.1,-0.1,-,-,
柿沼 友哉,ロ,C,7.0,0.0,-,-,0.0,0.0,0.1,-0.8,0.0,
植田 将太,ロ,C,3.0,0.0,-,-,0.0,0.0,0.0,-0.6,0.0,
増田 陸,巨,2B,9.0,-0.5,0.3,-0.1,-,-0.6,0.0,-,-,
青野 拓海,楽,DH,9.0,-,-,-,-,-,-0.1,-,-,
知野 直人,デ,1B,6.0,0.1,0.1,0.0,-,0.1,-0.1,-,-,
知野 直人,デ,3B,2.0,0.1,0.2,-0.1,-,0.0,0.0,-,-,
北村 恵吾,ヤ,1B,7.0,-0.4,0.1,0.0,-,-0.5,-0.1,-,-,
深草 駿哉,ハ,C,17.0,0.3,-,-,0.3,0.0,0.2,-0.2,-0.1,
山田 脩也,神,SS,18.0,-0.5,0.1,-0.2,-,-0.4,0.1,-,-,
久保 修,広,LF,15.0,0.4,0.2,-,0.0,0.1,-0.1,-,-,
久保 修,広,RF,2.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
イヒネ イツア,ソ,3B,9.0,-0.1,-0.2,0.0,-,0.0,0.0,-,-,
尾田 剛樹,中,RF,9.0,0.9,0.9,-,0.0,0.0,0.0,-,-,
今坂 幸暉,オ,3B,7.0,0.4,0.4,0.0,-,0.1,0.0,-,-,
金子 功児,西,SS,9.0,0.2,-0.1,0.2,-,0.1,0.1,-,-,
藤原 大智,O,SS,9.0,-0.5,-0.4,-0.1,-,0.0,0.1,-,-,
宮崎 一樹,日,RF,10.0,0.5,0.5,-,0.0,0.0,0.0,-,-,
和田 康士朗,ロ,CF,5.0,-0.3,-0.3,-,0.0,0.0,0.0,-,-,
和田 康士朗,ロ,RF,5.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
山瀬 慎之助,巨,C,9.0,0.0,-,-,0.0,0.0,0.1,1.4,0.0,
ワォーターズ 璃海ジュミル,楽,SS,9.0,-0.1,0.0,-0.2,-,0.1,0.1,-,-,
石上 泰輝,デ,2B,8.0,0.1,0.1,0.0,-,0.1,0.0,-,-,
伊藤 琉偉,ヤ,SS,7.0,-0.1,-0.1,0.0,-,0.0,0.1,-,-,
