Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Arnaez Jean,12,42,37,4,14,3,0,0,17,3,0,0,0,0,5,0,0,5,0,.378,.459,.452,Hanshin Tigers,
Beasley Jeremy,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Betances Jose,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Consuegra Stanley,7,19,18,0,3,0,0,0,3,0,0,0,0,0,1,0,0,6,0,.167,.167,.211,Hanshin Tigers,
Duplantier Jon,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Fujita Kento,6,14,12,3,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,.083,.083,.214,Hanshin Tigers,
Fukushima Kein,14,34,30,4,6,1,0,0,7,2,3,0,1,0,3,0,0,1,1,.200,.233,.273,Hanshin Tigers,
Haraguchi Fumihito,1,4,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,.250,.500,.250,Hanshin Tigers,
Hatake Seishu,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Hayakawa Daiki,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Hernandez Ramon,3,11,9,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,.000,.000,.182,Hanshin Tigers,
Ihara Takato,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Inoue Kouta,11,41,39,5,8,1,0,3,18,7,0,0,0,0,1,0,1,12,1,.205,.462,.244,Hanshin Tigers,
Itoh Masashi,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,Hanshin Tigers,
Itoh Ryo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Itsubo Hinase,13,55,50,6,12,1,0,0,13,2,1,2,1,0,3,0,1,2,2,.240,.260,.296,Hanshin Tigers,
Iwasada Yuta,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kawahara Riku,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kesamaru Yuhki,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kinoshita Rito,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kusumoto Taishi,12,35,30,2,7,2,0,0,9,2,0,0,0,0,5,0,0,10,0,.233,.300,.343,Hanshin Tigers,
Machida Hayato,8,23,22,1,3,0,0,0,3,2,0,0,0,0,1,0,0,4,0,.136,.136,.174,Hanshin Tigers,
Matsubara Kai,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Momosaki Aoi,13,36,31,6,9,4,0,0,13,5,1,0,0,1,4,0,0,5,0,.290,.419,.361,Hanshin Tigers,
Moriki Daichi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Murakami Shoki,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Nagasaka Kenya,7,19,11,1,1,0,0,0,1,0,1,0,3,0,5,0,0,3,0,.091,.091,.375,Hanshin Tigers,
Nakagawa Hayato,12,25,20,1,6,0,0,1,9,2,1,1,1,1,2,0,1,2,0,.300,.450,.375,Hanshin Tigers,
Nishi Yuki,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Noguchi Kyosuke,8,26,24,3,4,0,0,0,4,1,2,0,0,0,2,0,0,2,1,.167,.167,.231,Hanshin Tigers,
Obata Ryuhei,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Ohtake Koutaro,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Onodera Dan,2,8,4,0,2,2,0,0,4,0,0,0,0,0,4,0,0,0,0,.500,1.000,.750,Hanshin Tigers,
Saiki Hiroto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Sakaeda Yuki,1,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.333,Hanshin Tigers,
Sano Taiyo,10,38,37,1,14,0,0,0,14,6,1,0,1,0,0,0,0,6,2,.378,.378,.378,Hanshin Tigers,
Satoh Ren,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Shiiba Tsuyoshi,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Shimamoto Hiroya,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Toi Reiji,10,32,26,5,7,0,0,1,10,4,1,0,0,1,5,0,0,4,0,.269,.385,.375,Hanshin Tigers,
Tomida Ren,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Toyoda Hiroshi,7,22,19,3,5,0,0,0,5,2,1,1,1,0,2,0,0,0,2,.263,.263,.333,Hanshin Tigers,
Tsuda Junya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Urushihara Taisei,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Watanabe Ryo,10,41,36,2,8,2,0,0,10,3,0,0,0,0,5,1,0,5,1,.222,.278,.317,Hanshin Tigers,
Yamada Shuya,14,42,36,2,7,1,0,2,14,5,0,0,1,0,5,0,0,3,0,.194,.389,.293,Hanshin Tigers,
