Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Iwazaki Suguru,1,0,0,1,0,0,0,.000,1,0,.1,0,0,0,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
Murakami Shoki,1,1,0,0,0,0,0,1.000,31,8,.2,4,0,1,0,0,7,0,0,0,0,0.00,Hanshin Tigers,
Horie Atsuya,1,0,0,0,0,0,0,.000,6,0,.2,3,0,1,0,0,1,0,0,2,2,27.00,Hiroshima Carp,
Morishita Masato,1,0,1,0,0,0,0,.000,27,7,,4,1,3,0,0,6,0,0,2,2,2.57,Hiroshima Carp,
Nakazaki Shota,1,0,0,0,0,0,0,.000,1,0,.1,0,0,0,0,0,1,0,0,0,0,0.00,Hiroshima Carp,
Okamoto Shun,1,0,0,0,0,0,0,.000,4,1,,1,0,0,0,0,1,0,0,0,0,0.00,Hiroshima Carp,
Azuma Katsuki,1,1,0,0,0,0,0,1.000,25,7,,4,0,0,0,0,5,0,0,0,0,0.00,DeNA BayStars,
Irie Taisei,1,0,0,0,0,0,0,.000,4,1,,0,0,1,0,0,3,0,0,0,0,0.00,DeNA BayStars,
Yamasaki Yasuaki,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,DeNA BayStars,
Hotta Kenshin,1,0,0,0,0,0,0,.000,9,2,,4,1,0,0,0,1,0,0,1,1,4.50,Yomiuri Giants,
Izumi Keisuke,1,0,0,0,0,0,0,.000,6,2,,0,0,0,0,0,2,0,0,0,0,0.00,Yomiuri Giants,
Martinez Raidel,1,1,0,0,0,0,0,1.000,3,1,,0,0,0,0,0,0,0,0,0,0,0.00,Yomiuri Giants,
Togo Shosei,1,0,0,0,0,0,0,.000,21,5,,4,0,1,0,0,2,0,0,4,2,3.60,Yomiuri Giants,
Ishiyama Taichi,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,Yakult Swallows,
Kizawa Naofumi,1,0,0,0,1,0,0,.000,3,1,,1,0,0,0,0,0,0,0,0,0,0.00,Yakult Swallows,
Okugawa Yasunobu,1,0,0,0,0,0,0,.000,24,6,,7,0,0,0,0,2,0,0,0,0,0.00,Yakult Swallows,
Shimizu Noboru,1,0,1,0,0,0,0,.000,4,0,.2,2,0,0,0,0,1,0,0,1,1,13.50,Yakult Swallows,
Taguchi Kazuto,1,0,0,0,0,0,0,.000,9,1,,5,0,0,0,1,1,0,0,3,3,27.00,Yakult Swallows,
Yamamoto Daiki,1,0,0,0,0,0,0,.000,3,+,,2,1,1,0,0,0,0,0,2,2,----,Yakult Swallows,
Fujishima Kento,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,Chunichi Dragons,
Hashimoto Yuki,1,0,0,0,0,0,0,.000,3,1,,0,0,1,0,0,0,0,0,0,0,0.00,Chunichi Dragons,
Sobue Daisuke,1,0,0,0,0,0,0,.000,4,1,,1,0,0,0,0,0,0,0,0,0,0.00,Chunichi Dragons,
Takahashi Hiroto,1,0,1,0,0,0,0,.000,23,5,,8,0,1,0,1,2,1,0,5,5,9.00,Chunichi Dragons,
Machado Andres,1,1,0,0,0,0,0,1.000,6,1,,3,0,0,0,0,2,0,0,1,1,9.00,ORIX Buffaloes,
Miyagi Hiroya,1,0,0,0,0,0,0,.000,26,8,,2,0,0,0,0,7,0,0,1,1,1.13,ORIX Buffaloes,
Kikuchi Riku,1,0,0,0,0,0,0,.000,4,1,,1,0,0,0,0,0,0,0,0,0,0.00,Lotte Marines,
Nakamori Shunsuke,1,1,0,0,0,0,0,1.000,7,2,,1,0,0,0,0,2,0,0,0,0,0.00,Lotte Marines,
Ojima Kazuya,1,0,0,0,0,0,0,.000,19,4,,4,0,4,0,0,4,0,0,1,1,2.25,Lotte Marines,
Ono Fumiya,1,0,0,0,0,0,0,.000,5,1,,1,0,0,0,0,1,0,0,1,0,0.00,Lotte Marines,
Suzuki Shota,1,0,0,0,0,0,0,.000,3,1,,0,0,0,0,0,1,0,0,0,0,0.00,Lotte Marines,
Arihara Kohei,1,0,1,0,0,0,0,.000,29,7,,8,1,0,0,0,3,0,0,7,7,9.00,SoftBank Hawks,
Tsumori Yuki,1,0,0,0,0,0,0,.000,13,2,,4,0,2,0,1,1,0,0,1,1,4.50,SoftBank Hawks,
Ehara Masahiro,1,0,0,0,0,0,0,.000,5,1,,2,0,0,0,0,0,0,0,0,0,0.00,Rakuten Eagles,
Hayakawa Takahisa,1,0,0,0,0,0,0,.000,22,6,,4,1,0,0,0,4,0,0,2,2,3.00,Rakuten Eagles,
Nishiguchi Naoto,1,0,0,0,0,0,0,.000,4,0,.2,1,0,1,0,0,1,0,0,0,0,0.00,Rakuten Eagles,
Suzuki Sora,1,0,1,0,0,0,0,.000,4,0,.2,2,0,0,0,0,1,0,0,1,1,13.50,Rakuten Eagles,
Turley Nik,1,0,0,0,0,0,0,.000,1,0,.1,0,0,0,0,0,0,0,0,0,0,0.00,Rakuten Eagles,
Imai Tatsuya,1,0,1,0,0,1,0,.000,31,9,,6,2,0,0,0,3,0,0,2,2,2.00,Seibu Lions,
Kanemura Shoma,1,1,0,0,0,1,1,1.000,31,9,,6,0,1,0,0,4,1,0,0,0,0.00,Nipponham Fighters,
