                   Player   G   PA   AB   R    H  2B  3B  HR   TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%     BB%  BB/K   wSB Age  Pos  B                Team League
0             Arnaez Jean  63  196  177  14   36   6   0   1   45   17   0   0   2   1  25  14    0   2    3  0.203  0.268  0.254  0.522    62  0.051  0.230   20.4%   12.8%    7.1%  0.56  -0.1  22  UTL  R      Hanshin Tigers     WL
1          Beasley Jeremy  12    9    8   0    1   0   0   0    1    0   0   0   1   0   3   0    0   0    0  0.125  0.125  0.125  0.250   -26  0.000  0.200   33.3%   33.3%    0.0%  0.00  -0.0  29    1  R      Hanshin Tigers     WL
3       Consuegra Stanley  22   52   49   3    8   1   0   0    9    5   0   0   0   1  16   2    0   0    0  0.163  0.192  0.184  0.376    15  0.021  0.235   34.6%   30.8%    3.8%  0.12  -0.0  24    9  R      Hanshin Tigers     WL
5          Duplantier Jon   3    1    1   0    0   0   0   0    0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -108  0.000         100.0%  100.0%    0.0%  0.00   0.0  30    1  L      Hanshin Tigers     WL
6            Fujita Kento  33   61   57   6   10   0   2   0   14    6   1   0   1   0  14   3    0   0    1  0.175  0.217  0.246  0.463    43  0.071  0.233   27.9%   23.0%    4.9%  0.21   0.2  23    2  R      Hanshin Tigers     WL
7          Fukushima Kein  87  183  152  32   34   3   2   2   47   16  23   4   4   2  16  22    0   3    8  0.224  0.330  0.309  0.639   101  0.085  0.235   21.9%    8.7%   12.0%  1.38   2.5  23    8  L      Hanshin Tigers     WL
9      Haraguchi Fumihito  47  112  104   9   27   5   1   3   43   18   0   0   0   1  21   5    0   2    3  0.260  0.304  0.413  0.717   125  0.153  0.296   25.9%   18.8%    4.5%  0.24  -0.0  33   DH  R      Hanshin Tigers     WL
13        Hernandez Ramon  40  146  128  16   32  12   0   6   62   23   1   0   0   0  20  13    0   5    0  0.250  0.342  0.484  0.826   160  0.234  0.255   26.7%   13.7%    8.9%  0.65   0.1  29    3  R      Hanshin Tigers     WL
16            Inoue Kouta  74  259  227  30   51   8   2   7   84   29   1   1   0   2  77  21    0   9    2  0.225  0.313  0.370  0.683   114  0.145  0.303   40.5%   29.7%    8.1%  0.27  -0.3  23  UTL  R      Hanshin Tigers     WL
19           Itoh Masashi   8    6    4   0    1   0   0   0    1    0   0   0   1   0   2   1    0   0    0  0.250  0.400  0.250  0.650   105  0.000  0.500   50.0%   33.3%   16.7%  0.50  -0.0  29    1  L      Hanshin Tigers     WL
21          Itohara Kento   4   14   11   2    3   1   0   0    4    1   0   0   0   0   3   2    0   1    0  0.273  0.429  0.364  0.793   151  0.091  0.375   35.7%   21.4%   14.3%  0.67  -0.0  32   DH  L      Hanshin Tigers     WL
22          Itsubo Hinase  73  253  222  26   58   7   0   2   71   18   5   6   4   1  23  16    0  10   10  0.261  0.337  0.320  0.657   106  0.059  0.283   16.2%    9.1%    6.3%  0.70  -1.2  20    8  R      Hanshin Tigers     WL
25      Kawasaki Toshiaki  29   32   27   6    3   0   0   0    3    1   1   0   1   0   6   4    0   0    1  0.111  0.226  0.111  0.337     3  0.000  0.143   31.2%   18.8%   12.5%  0.67   0.2  24    4  L      Hanshin Tigers     WL
27           Kinami Seiya  23   96   82  11   20   2   0   0   22   10   1   1   3   2  10   5    1   4    3  0.244  0.312  0.268  0.580    82  0.024  0.270   15.6%   10.4%    5.2%  0.50  -0.2  31    5  L      Hanshin Tigers     WL
30       Kumagai Takahiro   7    7    6   0    2   0   0   0    2    0   2   0   1   0   1   0    0   0    0  0.333  0.333  0.333  0.666   109  0.000  0.400   14.3%   14.3%    0.0%  0.00   0.3  29    4  R      Hanshin Tigers     WL
31        Kusumoto Taishi  54  134  112  14   34  10   1   0   46   13   1   0   0   0  27  15    1   7    3  0.304  0.418  0.411  0.829   162  0.107  0.400   31.3%   20.1%   11.2%  0.56   0.1  29   DH  L      Hanshin Tigers     WL
32         Machida Hayato  23   54   49   2    5   1   0   0    6    7   0   0   0   0  11   5    0   0    1  0.102  0.185  0.122  0.307    -7  0.020  0.132   29.6%   20.4%    9.3%  0.45  -0.0  22    2  R      Hanshin Tigers     WL
33           Maegawa Ukyo  25  107   85  16   32   9   1   2   49   14   0   0   0   1  18  17    0   4    1  0.376  0.495  0.576  1.071   240  0.200  0.455   34.6%   16.8%   15.9%  0.94  -0.1  22    7  L      Hanshin Tigers     WL
36         Mombetsu Keito   7    5    5   0    0   0   0   0    0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000  -108  0.000  0.000   40.0%   40.0%    0.0%  0.00   0.0  20    1  L      Hanshin Tigers     WL
37           Momosaki Aoi  79  265  238  28   70  15   1   1   90   21   3   3   3   1  54  19    0   4    5  0.294  0.355  0.378  0.733   131  0.084  0.375   27.9%   20.4%    7.2%  0.35  -0.6  19    4  R      Hanshin Tigers     WL
40         Nagasaka Kenya  38  111   83   9   17   2   0   0   19   10   1   0   6   1  29  21    1   0    2  0.205  0.362  0.229  0.591    86  0.024  0.309   45.0%   26.1%   18.9%  0.72   0.1  31    2  R      Hanshin Tigers     WL
41        Nakagawa Hayato  43  128  111  14   25   8   1   2   41   11   1   1   1   1  28  11    0   4    1  0.225  0.315  0.369  0.684   114  0.144  0.280   32.0%   21.9%    8.6%  0.39  -0.2  21   DH  R      Hanshin Tigers     WL
43             Nishi Yuki  10    2    1   0    0   0   0   0    0    0   0   0   1   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -108  0.000          50.0%   50.0%    0.0%  0.00   0.0  34    1  R      Hanshin Tigers     WL
44        Noguchi Kyosuke  70  234  213  19   51  13   0   1   67   24   4   1   2   1  26  17    0   1    5  0.239  0.297  0.315  0.612    91  0.076  0.267   18.8%   11.1%    7.3%  0.65   0.3  24    9  R      Hanshin Tigers     WL
45           Obata Ryuhei   3    9    9   1    2   0   0   0    2    0   1   0   0   0   2   0    0   0    0  0.222  0.222  0.222  0.444    37  0.000  0.286   22.2%   22.2%    0.0%  0.00   0.2  24    6  L      Hanshin Tigers     WL
47         Ohtake Koutaro   5    5    4   0    2   0   0   0    2    0   0   0   1   0   2   0    0   0    0  0.500  0.500  0.500  1.000   218  0.000  1.000   40.0%   40.0%    0.0%  0.00  -0.0  30    1  L      Hanshin Tigers     WL
49            Onodera Dan  55  209  179  23   46  13   1   2   67   20   4   1   1   1  36  27    0   1    6  0.257  0.356  0.374  0.730   130  0.117  0.310   31.1%   17.2%   12.9%  0.75   0.3  27    7  R      Hanshin Tigers     WL
51           Sakaeda Yuki  14   50   45   7   14   5   1   0   21    8   2   0   1   0   6   4    0   0    1  0.311  0.367  0.467  0.834   163  0.156  0.359   20.0%   12.0%    8.0%  0.67   0.3  27    2  R      Hanshin Tigers     WL
52             Sano Taiyo  72  291  261  31   75   9   1   0   86   20   5   1   6   0  38  21    0   3    6  0.287  0.347  0.330  0.677   113  0.043  0.336   20.3%   13.1%    7.2%  0.55   0.4  23  UTL  R      Hanshin Tigers     WL
55          Shimada Kairi  34  120  111  16   41   3   2   0   48    9   6   3   1   0  15   7    0   1    3  0.369  0.412  0.432  0.844   167  0.063  0.427   18.3%   12.5%    5.8%  0.47  -0.0  29    8  L      Hanshin Tigers     WL
57     Shimamura Rinshiro  46  121  110  11   27   4   0   1   34   15   0   1   0   2  16   9    0   0    4  0.245  0.298  0.309  0.607    90  0.064  0.274   21.5%   13.2%    7.4%  0.56  -0.4  21    2  L      Hanshin Tigers     WL
60        Takatera Nozomu   8   37   35   5   16   4   1   0   22    7   2   1   0   0   5   2    0   0    0  0.457  0.486  0.629  1.115   254  0.172  0.533   18.9%   13.5%    5.4%  0.40  -0.0  22    4  L      Hanshin Tigers     WL
61              Toi Reiji  71  181  151  21   25   3   0   2   34   14   1   1   4   5  33  21    1   0    6  0.166  0.260  0.225  0.485    51  0.059  0.190   30.9%   18.2%   11.6%  0.64  -0.2  20  UTL  R      Hanshin Tigers     WL
62             Tomida Ren  25    1    1   0    0   0   0   0    0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -108  0.000  0.000    0.0%    0.0%    0.0%         0.0  23    1  L      Hanshin Tigers     WL
63         Toyoda Hiroshi  27   95   81  10   25   1   1   0   28    6   1   3   4   0   7  10    0   0    4  0.309  0.385  0.346  0.731   131  0.037  0.338   17.9%    7.4%   10.5%  1.43  -0.9  28    7  R      Hanshin Tigers     WL
66           Watanabe Ryo  41  148  125  10   34   9   0   0   43   15   0   0   0   0  24  21    1   2    2  0.272  0.385  0.344  0.729   130  0.072  0.337   30.4%   16.2%   14.2%  0.88  -0.1  30    3  R      Hanshin Tigers     WL
67           Yamada Shuya  78  231  193  21   34   6   0   2   46   25   7   4   7   1  39  30    0   0    5  0.176  0.286  0.238  0.524    63  0.062  0.209   30.7%   16.9%   13.0%  0.77  -0.2  19    6  R      Hanshin Tigers     WL
69           Aduwa Makoto  13    3    2   0    0   0   0   0    0    0   0   0   0   0   1   1    0   0    0  0.000  0.333  0.000  0.333     4  0.000  0.000   66.7%   33.3%   33.3%  1.00  -0.0  26    1  R      Hiroshima Carp     WL
71          Akiyama Shogo   5   13   11   2    4   0   0   0    4    0   0   0   0   0   0   2    0   0    0  0.364  0.462  0.364  0.826   155  0.000  0.364   15.4%    0.0%   15.4%  1.00  -0.0  37    8  L      Hiroshima Carp     WL
72       Dohbayashi Shota  15   37   33   5    9   5   0   1   17    5   0   0   1   1   7   2    0   0    0  0.273  0.306  0.515  0.821   150  0.242  0.308   27.0%   18.9%    5.4%  0.29  -0.0  33    7  R      Hiroshima Carp     WL
73        Dominguez Johan  10    4    3   0    0   0   0   0    0    0   0   0   1   0   1   0    0   0    1  0.000  0.000  0.000  0.000  -103  0.000  0.000   25.0%   25.0%    0.0%  0.00   0.0  29    1  R      Hiroshima Carp     WL
75       Futamata Shoichi  28   92   81   9   20   1   0   3   30    9   0   0   0   3  19   7    0   1    6  0.247  0.304  0.370  0.674   106  0.123  0.274   31.5%   20.7%    7.6%  0.37  -0.0  22    6  R      Hiroshima Carp     WL
77        Hatsuki Ryutaro   9   23   17   7    5   1   0   0    6    0   3   0   1   0   2   5    0   0    0  0.294  0.455  0.353  0.808   149  0.059  0.333   30.4%    8.7%   21.7%  2.50   0.5  25  UTL  L      Hiroshima Carp     WL
78           Hayashi Kota  57  219  180  20   49   7   0   7   77   23   0   2   0   4  46  29    0   6    4  0.272  0.384  0.428  0.812   149  0.156  0.321   37.4%   21.0%   13.2%  0.63  -0.8  24    7  L      Hiroshima Carp     WL
