                 Player  G  PA  AB  R  H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%     BB%  BB/K   wSB                Team League
0          Cabbage Trey  2   7   7  0  0   0   0   0   0    0   0   0   0   0   3   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000  0.000   42.9%   42.9%    0.0%  0.00   0.0      Yomiuri Giants     CL
1           Kay Anthony  2   3   2  0  0   0   0   0   0    0   0   0   1   0   2   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000          66.7%   66.7%    0.0%  0.00   0.0       DeNA BayStars     CL
2             Ford Mike  4   4   4  0  0   0   0   0   0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000   50.0%   50.0%    0.0%  0.00   0.0       DeNA BayStars     CL
3        Nakayama Raito  1   4   4  1  1   0   0   1   4    3   0   0   0   0   1   0    0   0    0  0.250  0.250  1.000  1.250   280  0.750  0.000   50.0%   25.0%    0.0%  0.00   0.0      Yomiuri Giants     CL
4        Nakamura Akira  2   9   7  0  0   0   0   0   0    0   0   0   1   0   5   0    0   1    0  0.000  0.125  0.000  0.125   -56  0.000  0.000   55.6%   55.6%    0.0%  0.00   0.0      SoftBank Hawks     PL
5         Nakano Takumu  3  13   9  4  1   0   0   0   1    0   0   0   3   0   3   0    0   1    0  0.111  0.200  0.111  0.311     0  0.000  0.167   23.1%   23.1%    0.0%  0.00   0.0      Hanshin Tigers     CL
6        Maru Yoshihiro  2   7   7  0  1   0   0   0   1    0   0   0   0   0   1   0    0   0    1  0.143  0.143  0.143  0.286   -10  0.000  0.167   14.3%   14.3%    0.0%  0.00   0.0      Yomiuri Giants     CL
7         Isobata Ryota  2   4   4  0  1   0   0   0   1    0   0   0   0   0   1   0    0   0    0  0.250  0.250  0.250  0.500    54  0.000  0.333   25.0%   25.0%    0.0%  0.00   0.0  Nipponham Fighters     PL
8       Sasaki Shunsuke  1   6   6  1  3   0   0   1   6    2   0   0   0   0   0   0    0   0    0  0.500  0.500  1.000  1.500   368  0.500  0.400   16.7%    0.0%    0.0%         0.0      Yomiuri Giants     CL
9          Sato Teruaki  3  12  11  2  5   2   0   1  10    5   0   0   0   0   2   1    1   0    0  0.455  0.500  0.909  1.409   346  0.455  0.500   33.3%   16.7%    8.3%  0.50   0.0      Hanshin Tigers     CL
10           Sano Keita  5  22  21  1  6   1   0   1  10    3   0   0   0   0   4   1    1   0    0  0.286  0.318  0.476  0.794   142  0.190  0.312   27.3%   18.2%    4.5%  0.25   0.0       DeNA BayStars     CL
11         Maegawa Ukyo  3   6   6  0  0   0   0   0   0    0   0   0   0   0   3   0    0   0    0  0.000  0.000  0.000  0.000  -104  0.000  0.000   50.0%   50.0%    0.0%  0.00   0.0      Hanshin Tigers     CL
12      Yoshikawa Naoki  2   8   6  1  2   0   0   0   2    0   0   1   1   0   0   1    1   0    0  0.333  0.429  0.333  0.762   146  0.000  0.333   12.5%    0.0%   12.5%  1.00  -0.3      Yomiuri Giants     CL
13           Shuto Ukyo  3   4   3  0  0   0   0   0   0    0   0   0   0   0   0   1    0   0    0  0.000  0.250  0.000  0.250   -14  0.000  0.000   25.0%    0.0%   25.0%  1.00   0.0      SoftBank Hawks     PL
14            Mune Yuma  2   7   6  0  0   0   0   0   0    0   0   0   0   0   1   1    0   0    0  0.000  0.143  0.000  0.143   -52  0.000  0.000   28.6%   14.3%   14.3%  1.00   0.0      ORIX Buffaloes     PL
15         Obata Ryuhei  1   4   4  0  1   0   0   0   1    0   0   1   0   0   0   0    0   0    0  0.250  0.250  0.250  0.500    60  0.000  0.250    0.0%    0.0%    0.0%        -0.3      Hanshin Tigers     CL
16        Yamasaki Iori  1   2   2  0  0   0   0   0   0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000         100.0%  100.0%    0.0%  0.00   0.0      Yomiuri Giants     CL
17        Kawase Hikaru  2   5   3  1  1   0   0   0   1    0   0   0   1   0   1   1    0   0    0  0.333  0.500  0.333  0.833   163  0.000  0.500   40.0%   20.0%   20.0%  1.00   0.0      SoftBank Hawks     PL
18        Watarai Ryuki  3   4   4  0  2   0   0   0   2    0   0   0   0   0   1   0    0   0    0  0.500  0.500  0.500  1.000   209  0.000  0.667   25.0%   25.0%    0.0%  0.00   0.0       DeNA BayStars     CL
19   Tobashira Yasutaka  1   1   1  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%         0.0       DeNA BayStars     CL
20         Kinami Seiya  2   5   5  0  1   1   0   0   2    0   0   0   0   0   2   0    0   0    0  0.200  0.200  0.400  0.600    87  0.200  0.333   40.0%   40.0%    0.0%  0.00   0.0      Hanshin Tigers     CL
21       Murakami Shoki  1   1   1  0  0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -104  0.000         100.0%  100.0%    0.0%  0.00   0.0      Hanshin Tigers     CL
22           Kita Ryoto  1   1   1  0  0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000         100.0%  100.0%    0.0%  0.00   0.0      ORIX Buffaloes     PL
23        Azuma Katsuki  1   3   1  0  0   0   0   0   0    0   0   0   2   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000          33.3%   33.3%    0.0%  0.00   0.0       DeNA BayStars     CL
24       Hayashi Takuma  5  20  17  3  5   0   0   0   5    1   0   1   1   0   4   1    0   1    0  0.294  0.368  0.294  0.663   108  0.000  0.385   25.0%   20.0%    5.0%  0.25  -0.3       DeNA BayStars     CL
25        Yanagita Yuki  3  12  12  1  3   0   0   1   6    3   0   0   0   0   3   0    0   0    0  0.250  0.250  0.500  0.750   127  0.250  0.250   33.3%   25.0%    0.0%  0.00   0.0      SoftBank Hawks     PL
26  Yanagimachi Tatsuru  3  13  12  0  7   2   0   0   9    0   0   0   0   0   2   1    0   0    0  0.583  0.615  0.750  1.365   319  0.167  0.700   23.1%   15.4%    7.7%  0.50   0.0      SoftBank Hawks     PL
27       Kurihara Ryoya  3  13  12  0  3   1   0   0   4    0   0   0   0   0   4   1    0   0    0  0.250  0.308  0.333  0.641    99  0.083  0.375   38.5%   30.8%    7.7%  0.25   0.0      SoftBank Hawks     PL
28       Kajiwara Kouki  2   2   2  0  0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000   50.0%   50.0%    0.0%  0.00   0.0       DeNA BayStars     CL
29          Mori Tomoya  2   5   5  0  0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000  0.000   20.0%   20.0%    0.0%  0.00   0.0      ORIX Buffaloes     PL
30       Mizuno Tatsuki  4  15  15  1  2   0   1   0   4    0   0   0   0   0   5   0    0   0    0  0.133  0.133  0.267  0.400    21  0.133  0.200   33.3%   33.3%    0.0%  0.00   0.0  Nipponham Fighters     PL
31        Izuguchi Yuta  2  10   9  0  0   0   0   0   0    0   0   0   1   0   3   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000  0.000   30.0%   30.0%    0.0%  0.00   0.0      Yomiuri Giants     CL
32       Urata Shunsuke  1   1   1  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000  0.000    0.0%    0.0%    0.0%         0.0      Yomiuri Giants     CL
33          Asama Daiki  1   3   3  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -95  0.000  0.000    0.0%    0.0%    0.0%         0.0  Nipponham Fighters     PL
34      Kiyomiya Kotaro  5  20  19  0  5   0   1   0   7    2   2   0   0   0   5   1    0   0    1  0.263  0.300  0.368  0.668   103  0.105  0.357   30.0%   25.0%    5.0%  0.20   0.4  Nipponham Fighters     PL
35      Makihara Taisei  3  12  11  0  0   0   0   0   0    0   0   0   0   0   3   1    1   0    1  0.000  0.083  0.000  0.083   -70  0.000  0.000   33.3%   25.0%    8.3%  0.33   0.0      SoftBank Hawks     PL
36           Tamiya Yua  4  15  10  1  1   0   0   0   1    0   0   0   3   0   3   2    0   0    0  0.100  0.250  0.100  0.350    13  0.000  0.143   33.3%   20.0%   13.3%  0.67   0.0  Nipponham Fighters     PL
37          Yazawa Kota  4   8   8  1  1   0   0   0   1    0   0   0   0   0   1   0    0   0    0  0.125  0.125  0.125  0.250   -20  0.000  0.143   12.5%   12.5%    0.0%  0.00   0.0  Nipponham Fighters     PL
38       Ishikami Taiki  5  18  17  2  3   0   0   1   6    3   1   0   0   0   7   1    0   0    0  0.176  0.222  0.353  0.575    75  0.176  0.222   50.0%   38.9%    5.6%  0.14   0.2       DeNA BayStars     CL
39       Ishii Kazunari  3  12  11  0  1   0   0   0   1    0   0   0   0   0   4   1    0   0    0  0.091  0.167  0.091  0.258   -16  0.000  0.143   41.7%   33.3%    8.3%  0.25   0.0  Nipponham Fighters     PL
40      Kamizato Kazuki  1   1   1  0  0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%         0.0       DeNA BayStars     CL
