                 Pitcher  G  W  L  SV  CG  SHO  BF    IP   H  HR  SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%      K%    BB%   K-BB% Age  T                Team League
0         Beasley Jeremy  2  0  0   0   0    0  34   9.0   7   0  14   1    0   0   0   0   0   0.00   0.68   0.98  0.89  999   19     26   -0.68   0.0%   41.2%   2.9%   38.3%  29  R      Hanshin Tigers     WL
1         Duplantier Jon  2  1  0   0   0    0  33   8.2   6   0  14   2    0   0   0   0   0   0.00   0.92   1.16  0.92  999   26     31   -0.92   0.0%   42.4%   6.1%   36.3%  30  R      Hanshin Tigers     WL
2          Hatake Seishu  4  0  0   0   0    0  19   3.1   7   1   2   3    1   0   2   4   3   8.10   8.86   5.33  3.00   33  253    143   -0.76   5.3%   10.5%  15.8%   -5.3%  31  R      Hanshin Tigers     WL
3         Hayakawa Daiki  2  0  0   0   0    0  24   6.0   5   0   2   3    0   0   0   2   2   3.00   4.29   5.22  1.33   90  123    140   -1.29   0.0%    8.3%  12.5%   -4.2%  25  R      Hanshin Tigers     WL
4           Ihara Takato  1  0  0   0   0    0   3   1.0   0   0   1   0    0   0   0   0   0   0.00   1.46   1.47  0.00  999   42     39   -1.46   0.0%   33.3%   0.0%   33.3%  24  L      Hanshin Tigers     WL
5           Itoh Masashi  2  0  0   0   0    0  45  11.0  12   0   4   2    0   0   0   2   2   1.64   3.28   4.36  1.27  164   94    117   -1.64   0.0%    8.9%   4.4%    4.5%  29  L      Hanshin Tigers     WL
6               Itoh Ryo  2  0  2   0   0    0  32   6.2   7   0   7   4    0   1   0   6   6   8.10   3.61   3.86  1.65   33  103    103    4.49   0.0%   21.9%  12.5%    9.4%  25  L      Hanshin Tigers     WL
7           Iwasada Yuta  5  1  0   0   0    0  21   5.0   2   0   5   3    0   0   1   0   0   0.00   3.26   3.85  1.00  999   93    103   -3.26   0.0%   23.8%  14.3%    9.5%  33  L      Hanshin Tigers     WL
8          Kawahara Riku  5  1  1   0   0    0  14   4.0   1   0   2   2    0   0   0   3   3   6.75   3.96   4.80  0.75   40  113    129    2.79   0.0%   14.3%  14.3%    0.0%  24  L      Hanshin Tigers     WL
9         Kesamaru Yuhki  1  0  0   0   0    0   8   0.2   3   0   0   1    0   0   0   3   1  13.50   7.96   6.05  6.00   20  227    162    5.54   0.0%    0.0%  12.5%  -12.5%  19  R      Hanshin Tigers     WL
10        Kinoshita Rito  4  0  0   0   0    0  14   4.0   2   0   4   1    0   0   1   1   1   2.25   2.21   2.66  0.75  120   63     71    0.04   0.0%   28.6%   7.1%   21.5%  24  R      Hanshin Tigers     WL
11         Matsubara Kai  1  0  0   0   0    0  10   1.2   3   0   1   2    0   0   3   2   2  10.80   5.86   5.80  3.00   25  167    155    4.94   0.0%   10.0%  20.0%  -10.0%  25  R      Hanshin Tigers     WL
12         Moriki Daichi  2  0  0   0   0    0  17   1.1   7   0   1   3    0   3   2   9   9  60.75  15.46   5.98  7.50    4  442    160   45.29   0.0%    5.9%  17.6%  -11.7%  22  R      Hanshin Tigers     WL
13        Murakami Shoki  1  0  0   0   0    0  18   5.0   3   0   2   0    0   0   0   0   0   0.00   2.66   3.69  0.60  999   76     99   -2.66   0.0%   11.1%   0.0%   11.1%  27  R      Hanshin Tigers     WL
14            Nishi Yuki  1  0  0   0   0    0  17   4.0   4   0   3   0    0   0   0   0   0   0.00   1.96   3.04  1.00  999   56     82   -1.96   0.0%   17.6%   0.0%   17.6%  34  R      Hanshin Tigers     WL
15        Ohtake Koutaro  1  1  0   0   0    0   6   1.0   3   0   1   0    0   0   0   2   2  18.00   1.46   3.13  3.00   15   42     84   16.54   0.0%   16.7%   0.0%   16.7%  30  L      Hanshin Tigers     WL
16          Saiki Hiroto  1  0  1   0   0    0  21   5.0   6   0   3   0    0   0   0   1   1   1.80   2.26   3.37  1.20  150   65     90   -0.46   0.0%   14.3%   0.0%   14.3%  26  R      Hanshin Tigers     WL
17             Satoh Ren  4  1  1   0   0    0  21   4.0   2   0   5   7    0   0   0   1   1   2.25   6.21   5.75  2.25  120  177    154   -3.96   0.0%   23.8%  33.3%   -9.5%  27  R      Hanshin Tigers     WL
18       Shiiba Tsuyoshi  5  0  0   0   0    0  14   3.1   2   0   3   2    0   1   2   0   0   0.00   4.36   4.09  1.20  999  125    110   -4.36   0.0%   21.4%  14.3%    7.1%  23  R      Hanshin Tigers     WL
19      Shimamoto Hiroya  6  0  0   0   0    0  20   6.0   2   0   3   0    0   0   0   0   0   0.00   2.46   3.30  0.33  999   70     88   -2.46   0.0%   15.0%   0.0%   15.0%  32  L      Hanshin Tigers     WL
20            Tomida Ren  1  0  0   0   0    0  16   5.0   1   0   5   0    0   0   0   0   0   0.00   1.46   1.67  0.20  999   42     45   -1.46   0.0%   31.2%   0.0%   31.2%  23  L      Hanshin Tigers     WL
21           Tsuda Junya  1  0  0   0   0    0  20   4.1   4   1   4   5    0   0   0   5   4   8.31   8.08   5.30  2.08   32  231    142    0.23   5.0%   20.0%  25.0%   -5.0%  23  R      Hanshin Tigers     WL
22     Urushihara Taisei  5  0  0   3   0    0  19   5.0   1   0   4   2    0   0   0   1   0   0.00   3.06   3.75  0.60  999   87    101   -3.06   0.0%   21.1%  10.5%   10.6%  28  R      Hanshin Tigers     WL
23          Yuasa Atsuki  3  0  1   0   0    0  16   3.0   3   0   3   3    0   0   0   3   1   3.00   4.46   4.80  2.00   90  127    129   -1.46   0.0%   18.8%  18.8%    0.0%  25  R      Hanshin Tigers     WL
24        Akatsuka Kento  4  0  0   0   0    0  18   4.0   4   1   3   3    0   0   0   2   2   4.50   7.46   4.80  1.75   57  225    129   -2.96   5.6%   16.7%  16.7%    0.0%  23  R      Hiroshima Carp     WL
25       Dominguez Johan  2  1  1   0   0    0  38   9.1   7   1  11   3    0   0   0   3   3   2.89   3.46   2.69  1.07   88  104     72   -0.57   2.6%   28.9%   7.9%   21.0%  29  R      Hiroshima Carp     WL
26         Endoh Atsushi  3  0  0   0   0    0   9   3.0   0   0   1   1    0   0   0   0   0   0.00   3.79   4.80  0.33  999  114    129   -3.79   0.0%   11.1%  11.1%    0.0%  26  R      Hiroshima Carp     WL
27          Hasebe Ginji  3  0  0   0   0    0  11   3.0   2   0   2   0    0   0   0   0   0   0.00   2.13   2.98  0.67  999   64     80   -2.13   0.0%   18.2%   0.0%   18.2%  26  L      Hiroshima Carp     WL
28         Hidaka Atsumi  1  1  0   0   0    0  20   6.0   1   0   1   0    0   1   0   1   1   1.50   3.63   4.30  0.17  170  110    115   -2.13   0.0%    5.0%   0.0%    5.0%  20  R      Hiroshima Carp     WL
29            Kawano Kei  1  0  0   0   0    0   3   1.0   0   0   0   0    0   0   0   0   0   0.00   3.46   4.80  0.00  999  104    129   -3.46   0.0%    0.0%   0.0%    0.0%  23  R      Hiroshima Carp     WL
30          Kemna Makoto  3  0  0   1   0    0  14   3.0   3   0   2   2    0   1   0   1   1   3.00   5.13   4.80  1.67   85  155    129   -2.13   0.0%   14.3%  14.3%    0.0%  30  R      Hiroshima Carp     WL
31     Kobayashi Tatsuto  2  0  0   1   0    0   6   2.0   0   0   0   0    0   0   0   0   0   0.00   3.46   4.80  0.00  999  104    129   -3.46   0.0%    0.0%   0.0%    0.0%  22  R      Hiroshima Carp     WL
32       Masuda Takehisa  4  0  0   0   0    0  13   4.0   4   0   2   0    0   1   0   0   0   0.00   3.21   3.26  1.00  999   97     87   -3.21   0.0%   15.4%   0.0%   15.4%  26  R      Hiroshima Carp     WL
