                 Pitcher   G  W  L  SV  HLD  CG  SHO   BF    IP   H  HR  SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%     K%    BB%   K-BB% Age  T                Team League
0         Beasley Jeremy   6  1  2   0    0   0    0   92  21.0  24   0  19   8    2   0   0  11  10   4.29   2.19   3.60  1.52   62   73    100    2.10   0.0%  20.7%   8.7%   12.0%  29  R      Hanshin Tigers     CL
1         Duplantier Jon   8  2  2   0    0   0    0  182  46.2  30   1  62   9    0   2   1  11   8   1.54   1.18   1.89  0.84  172   40     52    0.36   0.5%  34.1%   4.9%   29.1%  30  R      Hanshin Tigers     CL
2            Guerra Javy   6  0  1   0    1   0    0   29   4.2  10   0   4   5    0   0   0   7   7  13.50   4.35   5.14  3.21   20  146    142    9.15   0.0%  13.8%  17.2%   -3.4%  29  R      Hanshin Tigers     CL
3           Ihara Takato  13  4  1   0    1   0    0  187  49.2  32   0  34   8    1   0   1   7   6   1.09   1.97   3.41  0.81  244   66     94   -0.88   0.0%  18.2%   4.3%   13.9%  24  L      Hanshin Tigers     CL
4          Ishiguro Yuya   6  0  0   0    0   0    0   26   6.0   8   1   5   1    0   0   0   4   4   6.00   3.85   3.26  1.50   44  129     90    2.15   3.8%  19.2%   3.8%   15.4%  24  R      Hanshin Tigers     CL
5           Ishii Daichi  24  0  0   3   17   0    0   89  24.2  12   0  19   4    2   0   1   1   1   0.36   1.80   3.11  0.65  738   60     86   -1.44   0.0%  21.3%   4.5%   16.9%  27  R      Hanshin Tigers     CL
6           Itoh Masashi   1  0  0   0    0   0    0    2   0.2   0   0   0   0    0   0   0   0   0   0.00   2.85   4.80  0.00  999   96    133   -2.85   0.0%   0.0%   0.0%    0.0%  29  L      Hanshin Tigers     CL
7           Iwasada Yuta   8  2  0   0    2   0    0   31   7.2   5   0   4   3    0   0   1   1   1   1.17   2.98   4.48  1.04  227  100    124   -1.81   0.0%  12.9%   9.7%    3.2%  33  L      Hanshin Tigers     CL
8         Iwazaki Suguru  23  0  2  13    4   0    0   86  21.2  19   1  17   3    0   0   0   8   6   2.49   2.30   3.17  1.02  107   77     88    0.19   1.2%  19.8%   3.5%   16.3%  34  L      Hanshin Tigers     CL
9         Kinoshita Rito   1  0  0   0    0   0    0    4   1.0   1   0   1   0    0   0   0   1   1   9.00   0.85   2.30  1.00   30   29     64    8.15   0.0%  25.0%   0.0%   25.0%  24  R      Hanshin Tigers     CL
10      Kirishiki Takuma  21  1  0   1    9   0    0   84  20.0  20   0  17   3    1   1   0   2   1   0.45   1.75   3.13  1.15  590   59     87   -1.30   0.0%  20.2%   3.6%   16.7%  26  L      Hanshin Tigers     CL
11           Kudo Taisei  14  0  2   0    1   0    0   62  13.2  11   0  12  12    0   0   2   7   6   3.95   3.73   4.80  1.68   67  125    133    0.22   0.0%  19.4%  19.4%    0.0%  23  R      Hanshin Tigers     CL
12        Mombetsu Keito   8  2  3   0    0   0    0  156  35.2  42   4  24  13    1   2   0  18  18   4.54   4.23   4.09  1.54   58  142    113    0.31   2.6%  15.4%   8.3%    7.1%  20  L      Hanshin Tigers     CL
13        Murakami Shoki  11  7  1   0    0   2    2  297  79.2  54   2  61   9    1   1   1  13  13   1.47   2.02   3.05  0.79  181   68     84   -0.55   0.7%  20.5%   3.0%   17.5%  27  R      Hanshin Tigers     CL
14           Nelson Nick   5  0  1   0    1   0    0   23   4.2   6   0   3   3    0   0   1   1   1   1.93   3.50   4.80  1.93  138  117    133   -1.57   0.0%  13.0%  13.0%    0.0%  29  R      Hanshin Tigers     CL
15            Nishi Yuki   1  0  1   0    0   0    0   23   4.2   7   0   2   2    0   0   0   3   3   5.79   3.28   4.80  1.93   46  110    133    2.51   0.0%   8.7%   8.7%    0.0%  34  R      Hanshin Tigers     CL
16        Ohtake Koutaro   5  2  1   0    0   0    0  120  30.0  28   2  16   2    0   3   0  10  10   3.00   3.15   3.63  1.00   89  106    101   -0.15   1.7%  13.3%   1.7%   11.7%  30  L      Hanshin Tigers     CL
17      Okadome Hidetaka   8  1  0   0    1   0    0   31   7.1   6   0   1   3    1   0   0   1   1   1.23   3.81   5.45  1.23  216  128    151   -2.58   0.0%   3.2%   9.7%   -6.5%  25  R      Hanshin Tigers     CL
18        Oyokawa Masaki  24  3  1   0   12   0    0   90  23.1  13   1  27   7    3   0   1   3   2   0.77   2.00   2.58  0.86  345   67     71   -1.23   1.1%  30.0%   7.8%   22.2%  24  L      Hanshin Tigers     CL
19          Saiki Hiroto  10  5  3   0    0   1    1  281  68.2  48   2  53  28    1   0   0  12  12   1.57   2.91   3.91  1.11  169   98    108   -1.34   0.7%  18.9%  10.0%    8.9%  26  R      Hanshin Tigers     CL
20      Shimamoto Hiroya   8  1  0   0    1   0    0   29   7.2   6   0   5   1    0   1   0   1   1   1.17   2.33   3.42  0.91  227   78     95   -1.16   0.0%  17.2%   3.4%   13.8%  32  L      Hanshin Tigers     CL
21            Tomida Ren   5  1  0   0    0   0    0   77  19.0  22   0   8   2    0   0   2   7   7   3.32   2.33   4.02  1.26   80   78    111    0.99   0.0%  10.4%   2.6%    7.8%  23  L      Hanshin Tigers     CL
22     Urushihara Taisei   9  0  0   0    1   0    0   35  10.0   5   0   9   2    0   0   1   0   0   0.00   1.65   2.80  0.70  999   55     77   -1.65   0.0%  25.7%   5.7%   20.0%  28  R      Hanshin Tigers     CL
23          Yuasa Atsuki  17  2  0   0    9   0    0   58  15.2   7   0  13   7    2   0   1   0   0   0.00   2.53   3.77  0.89  999   85    104   -2.53   0.0%  22.4%  12.1%   10.3%  25  R      Hanshin Tigers     CL
24          Aduwa Makoto   1  0  1   0    0   0    0   23   5.0   7   0   3   1    0   0   0   4   4   7.20   2.25   3.93  1.60   40   70    109    4.95   0.0%  13.0%   4.3%    8.7%  26  R      Hiroshima Carp     CL
25       Dominguez Johan   5  1  0   0    0   0    0   90  21.2  10   1  17  15    0   1   1   5   5   2.08   4.10   4.58  1.15  137  128    127   -2.02   1.1%  18.9%  16.7%    2.2%  29  R      Hiroshima Carp     CL
26          Hasebe Ginji   2  0  0   0    0   0    0   11   2.0   4   0   3   1    0   0   0   3   3  13.50   1.35   2.98  2.50   21   42     83   12.15   0.0%  27.3%   9.1%   18.2%  26  L      Hiroshima Carp     CL
27          Hearn Taylor  19  1  1   3   11   0    0   78  19.0  17   1  22   6    0   1   1   8   8   3.79   2.33   2.75  1.21   75   73     76    1.46   1.3%  28.2%   7.7%   20.5%  30  L      Hiroshima Carp     CL
28          Horie Atsuya  24  0  1   1    8   0    0   87  19.0  20   1  27   6    1   2   1   8   8   3.79   1.96   2.39  1.37   75   61     66    1.83   1.1%  31.0%   6.9%   24.1%  28  L      Hiroshima Carp     CL
29     Kuribayashi Ryoji  22  1  0   8    7   0    0   87  21.1  14   1  23   8    2   0   0  10   9   3.80   2.43   3.08  1.03   75   76     85    1.37   1.1%  26.4%   9.2%   17.2%  28  R      Hiroshima Carp     CL
30           Mori Shohei   8  3  2   0    0   0    0  187  44.2  40   4  34  17    0   2   2  15  15   3.02   3.77   3.89  1.28   94  118    108   -0.75   2.1%  18.2%   9.1%    9.1%  27  L      Hiroshima Carp     CL
31      Morishita Masato  11  4  5   0    0   1    0  315  80.0  63   3  54  13    0   2   0  26  19   2.14   2.55   3.50  0.95  133   80     97   -0.41   1.0%  17.1%   4.1%   13.0%  27  R      Hiroshima Carp     CL
32       Moriura Daisuke  24  1  1   0   12   0    0   84  22.0  15   1  26   2    0   1   2   2   2   0.82   1.49   1.94  0.77  347   47     54   -0.67   1.2%  31.0%   2.4%   28.6%  27  L      Hiroshima Carp     CL
33        Nakazaki Shota  18  1  1   0    4   0    0   57  15.2   7   0  14   4    1   1   0   2   2   1.15   2.02   3.05  0.70  248   63     84   -0.87   0.0%  24.6%   7.0%   17.5%  32  R      Hiroshima Carp     CL
34         Ohsera Daichi  10  2  4   0    0   0    0  252  60.0  55   3  46  17    1   1   1  19  19   2.85   2.87   3.65  1.20  100   90    101   -0.02   1.2%  18.3%   6.7%   11.5%  34  R      Hiroshima Carp     CL
35          Okamoto Shun  17  1  1   0    1   0    0   61  14.2  16   0  12   2    1   1   0   5   5   3.07   1.83   3.16  1.23   93   57     87    1.24   0.0%  19.7%   3.3%   16.4%  23  R      Hiroshima Carp     CL
36           Saitoh Yuta   1  0  0   0    0   0    0    4   1.0   1   0   2   0    0   0   1   0   0   0.00  -1.15  -0.20  1.00  999  -36     -6    1.15   0.0%  50.0%   0.0%   50.0%  21  R      Hiroshima Carp     CL
