                  Team    PA    AB    R     H   2B  3B  HR    TB  RBI   SB  CS  SH  SF   SO   BB IBB  HP  GDP    AVG    OBP    SLG    OPS OPS+    ISO  BABIP   TTO%     K%    BB%  BB/K   wSB League
0       Hanshin Tigers  4578  3975  471   981  182  21  36  1313  433   92  39  71  28  754  431   7  73   99  0.247  0.329  0.330  0.660  106  0.084  0.294  26.7%  16.5%   9.4%  0.57   0.8     WL
1       Hiroshima Carp  4436  3937  390   948  156  17  41  1261  346   50  33  57  31  842  360   2  51  125  0.241  0.310  0.320  0.631   92  0.080  0.294  28.0%  19.0%   8.1%  0.43  -4.2     WL
2        DeNA BayStars  4655  4146  486  1080  192  25  60  1502  453   95  45  60  36  791  369   4  43  108  0.260  0.325  0.362  0.687  106  0.102  0.306  26.2%  17.0%   7.9%  0.47  -0.6     EL
3       Yomiuri Giants  4469  3945  542  1045  174  16  69  1458  509  131  40  78  32  825  365   2  49   80  0.265  0.332  0.370  0.702  111  0.105  0.317  28.2%  18.5%   8.2%  0.44   7.2     EL
4      Yakult Swallows  4139  3696  322   802  135  18  42  1099  295   65  44  36  16  869  347   2  44   87  0.217  0.291  0.297  0.588   79  0.080  0.271  30.4%  21.0%   8.4%  0.40  -5.0     EL
5     Chunichi Dragons  4288  3766  479   977  176  41  50  1385  444  107  52  38  36  836  404   2  44   88  0.259  0.335  0.368  0.703  109  0.108  0.318  30.1%  19.5%   9.4%  0.48  -0.8     WL
6       ORIX Buffaloes  4749  4120  492  1031  142  35  28  1327  445  114  45  54  37  807  496   4  42  103  0.250  0.334  0.322  0.656  107  0.072  0.302  28.0%  17.0%  10.4%  0.61   2.4     WL
7        Lotte Marines  4294  3790  463   986  170  24  60  1384  439   59  26  49  28  775  370   4  57   99  0.260  0.333  0.365  0.698  104  0.105  0.310  28.1%  18.0%   8.6%  0.48  -0.4     EL
8       SoftBank Hawks  4619  4016  550  1062  178  33  50  1456  514   96  53  29  37  850  462   1  74   80  0.264  0.348  0.363  0.711  115  0.098  0.321  29.5%  18.4%  10.0%  0.54  -3.3     WL
9       Rakuten Eagles  4529  4072  466  1038  184  33  42  1414  415  121  36  29  36  820  347   4  45  103  0.255  0.318  0.347  0.665  102  0.092  0.307  26.7%  18.1%   7.7%  0.42   6.9     EL
10         Seibu Lions  4275  3788  452   966  179  28  60  1381  420   88  23  48  30  783  363   1  46  100  0.255  0.325  0.365  0.690  102  0.110  0.305  28.2%  18.3%   8.5%  0.46   5.6     EL
11  Nipponham Fighters  4053  3600  436   917  170  28  74  1365  409   61  27  58  34  761  333   2  28  100  0.255  0.320  0.379  0.699  102  0.124  0.301  28.8%  18.8%   8.2%  0.44  -0.1     EL
12       Oisix Albirex  4272  3793  393   941  149  22  30  1224  360   38  27  86  34  738  322   0  37   78  0.248  0.311  0.323  0.633  100  0.075  0.298  25.5%  17.3%   7.5%  0.44  -4.2     EL
13     HAYATE Ventures  4117  3739  264   851  119  16   9  1029  241   38  28  51  24  724  256   2  47   91  0.228  0.284  0.275  0.559   65  0.048  0.278  24.0%  17.6%   6.2%  0.35  -4.4     WL
14      League Average  4391  3884  443   973  165  26  46  1328  409   82  37  53  31  798  373   3  49   96  0.251  0.322  0.342  0.664  100  0.091  0.302  27.7%  18.2%   8.5%  0.47  -0.0    NaN
