                  Team   W   L  SV CG SHO    BF     IP    H  HR   SO   BB IBB  HB  WP    R   ER   ERA   FIP kwERA  WHIP ERA+ FIP- kwERA-   Diff   HR%     K%    BB%  K-BB% League
0       Hanshin Tigers  52  42  23  0   0  3921  928.2  799  31  760  367   1  51  69  368  315  3.05  3.73  3.80  1.26   99  104   98.8  -0.68  0.8%  19.4%   9.4%  10.0%     WL
1       Hiroshima Carp  38  54  20  1   1  3946  891.0  896  31  687  365   2  58  68  455  378  3.82  3.92  3.98  1.42   83  104  103.6  -0.10  0.8%  17.4%   9.2%   8.2%     WL
2        DeNA BayStars  47  59  22  1   1  4094  942.1  886  56  769  356   2  60  31  453  364  3.48  4.05  3.79  1.32   94  104   98.6  -0.57  1.4%  18.8%   8.7%  10.1%     EL
3       Yomiuri Giants  64  34  30  3   1  3576  881.1  745  43  690  232   1  38  26  282  246  2.51  3.57  3.52  1.11  129   93   91.5  -1.06  1.2%  19.3%   6.5%  12.8%     EL
4      Yakult Swallows  32  64  27  0   0  3675  849.2  847  57  618  321   2  42  64  409  352  3.73  4.28  3.99  1.37   85  114  103.8  -0.55  1.6%  16.8%   8.7%   8.1%     EL
5     Chunichi Dragons  53  37  31  0   0  3541  850.1  729  27  607  295   1  41  43  302  258  2.73  3.75  3.92  1.20  123   95  101.9  -1.02  0.8%  17.1%   8.3%   8.8%     WL
6       ORIX Buffaloes  50  43  23  1   1  3968  940.0  851  34  723  328   4  48  41  349  287  2.75  3.72  3.80  1.25  109  105   98.9  -0.97  0.9%  18.2%   8.3%  10.0%     WL
7        Lotte Marines  57  38  24  1   0  3594  861.2  811  37  649  243   1  30  36  331  282  2.95  3.59  3.67  1.22  117   88   95.5  -0.64  1.0%  18.1%   6.8%  11.3%     EL
8       SoftBank Hawks  59  38  25  1   1  3736  906.2  776  23  711  294   4  38  34  320  261  2.59  3.44  3.68  1.18  124   90   95.8  -0.85  0.6%  19.0%   7.9%  11.2%     WL
9       Rakuten Eagles  51  50  31  2   0  3854  902.2  879  40  689  325   0  41  31  412  363  3.62  3.85  3.86  1.33   88  101  100.3  -0.23  1.0%  17.9%   8.4%   9.4%     EL
10         Seibu Lions  54  40  32  0   0  3522  850.1  776  47  657  252   5  34  20  319  266  2.82  3.77  3.65  1.21  122   93   94.9  -0.95  1.3%  18.7%   7.2%  11.5%     EL
11  Nipponham Fighters  46  45  28  1   0  3424  803.1  712  42  740  309   3  39  34  343  285  3.19  3.72  3.54  1.27  110   89   92.1  -0.53  1.2%  21.6%   9.0%  12.6%     EL
12       Oisix Albirex  37  60  25  1   1  3801  847.2  986  55  561  321   1  23  41  505  406  4.31  4.32  4.17  1.54   69  123  108.4  -0.01  1.4%  14.8%   8.4%   6.3%     EL
13     HAYATE Ventures  31  67  24  2   0  3787  853.1  913  31  548  394   2  42  41  442  381  4.02  4.30  4.39  1.53   85  106  114.3  -0.29  0.8%  14.5%  10.4%   4.1%     WL
14      League Average  48  48  26  1   0  3746  879.1  829  40  672  314   2  42  41  378  317  3.25  3.86  3.84  1.30  103  101   99.9  -0.60  1.1%  17.9%   8.4%   9.5%    NaN
