                  Team   W   L  SV  HLD  CG SHO    BF      IP     H   HR   SO   BB IBB  HB  WP    R   ER   ERA   FIP kwERA  WHIP ERA+ FIP- kwERA-   Diff   HR%     K%   BB%  K-BB% League
0       Hanshin Tigers  79  47  42  146  10   9  4731  1178.2   967   44  914  276  31  37  23  305  280  2.14  2.70  3.45  1.05  134   85   96.6  -0.56  0.9%  19.3%  5.8%  13.5%     CL
1       Hiroshima Carp  56  68  32  119  11   4  4780  1151.2  1044   71  888  312  32  37  25  426  390  3.05  3.13  3.59  1.18  100   93  100.6  -0.08  1.5%  18.6%  6.5%  12.1%     CL
2        DeNA BayStars  61  63  36   84   7   4  4741  1150.0  1014   95  968  338  34  39  18  408  371  2.90  3.34  3.47  1.18  104  100   97.1  -0.43  2.0%  20.4%  7.1%  13.3%     CL
3       Yomiuri Giants  63  63  42  146   2   1  4789  1156.0  1038   90  996  320  48  40  17  396  356  2.77  3.19  3.39  1.17  105  100   94.8  -0.42  1.9%  20.8%  6.7%  14.1%     CL
4      Yakult Swallows  47  72  31  103   1   1  4826  1121.0  1132   99  880  384  30  41  34  504  455  3.65  3.68  3.77  1.35   88  104  105.6  -0.03  2.1%  18.2%  8.0%  10.3%     CL
5     Chunichi Dragons  57  70  47  119   5   2  4794  1156.1  1024   75  863  374  24  46  33  416  377  2.93  3.40  3.78  1.21   95  111  105.8  -0.47  1.6%  18.0%  7.8%  10.2%     CL
6       ORIX Buffaloes  64  58  28   98   5   2  4805  1127.0  1139   57  923  345  16  44  26  463  429  3.43  3.02  3.60  1.32   85   94  100.7   0.41  1.2%  19.2%  7.2%  12.0%     PL
7        Lotte Marines  48  74  24   87   2   0  4762  1111.1  1055  103  889  385   8  50  46  497  459  3.72  3.74  3.74  1.30   82  112  104.7  -0.03  2.2%  18.7%  8.1%  10.6%     PL
8       SoftBank Hawks  75  47  36   89   5   3  4598  1126.0   956   79  994  299  15  53  16  352  303  2.42  3.05  3.29  1.11  125   91   92.0  -0.63  1.7%  21.6%  6.5%  15.1%     PL
9       Rakuten Eagles  59  63  35  118   2   2  4766  1111.1  1093   90  833  389  14  38  21  448  416  3.37  3.67  3.87  1.33   82  120  108.3  -0.30  1.9%  17.5%  8.2%   9.3%     PL
10         Seibu Lions  57  64  28   98   8   5  4604  1116.1   960   73  916  343   8  50  30  376  351  2.83  3.23  3.56  1.17  106   98   99.5  -0.40  1.6%  19.9%  7.5%  12.4%     PL
11  Nipponham Fighters  74  51  27  109  21   6  4691  1157.1   995   90  945  264  17  34  22  356  321  2.50  3.11  3.35  1.09  125   91   93.7  -0.62  1.9%  20.1%  5.6%  14.5%     PL
12      League Average  62  62  34  110   7   3  4741  1138.2  1035   80  917  336  23  42  26  412  376  2.97  3.27  3.57  1.20  103  100  100.0  -0.30  1.7%  19.4%  7.1%  12.3%    NaN
