                  Team    TZR TZR/143   RngR   ARM   DPR  ErrR Framing Blocking League
0      HAYATE Ventures   -3.4    -3.1   -7.0   2.9   0.0   0.6    -5.7     -0.4     WL
1       ORIX Buffaloes   16.3    13.2    9.5   5.9   0.7   0.2     0.4      0.2     WL
2       Hanshin Tigers    9.8     7.8    9.5  -0.8   0.5   0.6    -3.3     -1.1     WL
3       Hiroshima Carp   -2.4    -2.0    4.9  -2.3  -2.5  -3.3    -1.6     -0.1     WL
4       SoftBank Hawks   12.1     9.3    5.3   2.9   2.5   0.8     0.1      0.2     WL
5     Chunichi Dragons   13.5    11.2   14.4  -3.5   1.5   0.9    -0.8      0.1     WL
6          Seibu Lions   10.2     9.6    8.7   2.5   1.1  -2.4    -2.3      0.6     EL
7        Oisix Albirex  -29.8   -27.5  -20.3  -4.5  -2.4  -2.8     0.1      0.4     EL
8   Nipponham Fighters   -7.3    -7.7   -6.1   1.2  -0.3  -2.0     2.2     -0.3     EL
9        Lotte Marines    0.4     0.4    2.1  -2.5  -0.5   1.3    -0.6      0.2     EL
10      Yomiuri Giants   -2.6    -2.4   -5.3  -0.9   0.6   2.0     6.5     -0.2     EL
11      Rakuten Eagles   -3.8    -3.8   -4.3   1.7  -2.0   0.5    -1.5      0.7     EL
12       DeNA BayStars  -12.9   -12.5  -12.7  -1.0   0.3   0.7     2.2      0.2     EL
13     Yakult Swallows   -0.5    -0.6    0.5  -1.4  -0.1   0.9     4.2     -0.5     EL
