                  Team   TZR TZR/143  RngR   ARM   DPR  ErrR Framing Blocking League
0       Yomiuri Giants   9.1    18.1   7.6  -0.6   1.0   1.1     1.8      0.3     CL
1      Yakult Swallows   1.2     2.6   0.1   1.3  -0.2   0.2    -2.0     -0.3     CL
2        DeNA BayStars  -6.9   -13.4  -5.0   0.0  -0.3  -1.8    -0.4      0.0     CL
3     Chunichi Dragons  -0.6    -1.2   1.1  -2.5  -0.3   0.9    -1.2     -0.2     CL
4       Hiroshima Carp  -0.4    -0.9  -1.7   0.8   0.1   0.3     1.6      0.0     CL
5       Hanshin Tigers  -4.4    -8.5  -4.3  -1.3  -0.4   1.8     2.6      0.2     CL
6          Seibu Lions  -1.6    -3.7  -1.5   1.5  -0.1  -1.1    -0.5      0.2     PL
7   Nipponham Fighters  -3.4    -6.7  -4.7   1.8   0.4  -0.7    -1.6     -0.1     PL
8       ORIX Buffaloes  -0.4    -0.8  -0.3   0.2   0.6  -1.0    -0.3      0.2     PL
9       Rakuten Eagles   7.3    17.1   6.9   0.5  -0.1   0.3    -0.9      0.1     PL
10      SoftBank Hawks   3.6     7.1   4.6  -0.7   0.4  -0.7    -0.6     -0.1     PL
11       Lotte Marines  -4.2    -8.2  -1.9  -0.6  -1.1  -0.3     1.4     -0.1     PL
