                  Team   W   L    PCT  Diff  HR  SB OPS+ ERA+ FIP-  K-BB%   wSB    TZR
0       Yomiuri Giants  43  44  0.494    -7  53  39  104  107  100  13.8%  -5.5    0.6
1      Yakult Swallows  29  50  0.367   -99  39  39   83   87  104   9.9%  -1.6  -26.4
2        DeNA BayStars  41  43  0.488    12  45  41   88  106   98  13.2%  -0.9   -8.8
3     Chunichi Dragons  40  47  0.460   -37  41  58   98   92  110  10.4%   1.4    8.2
4       Hiroshima Carp  38  46  0.452   -14  43  47   95  101   91  11.9%  -3.7   -5.8
5       Hanshin Tigers  54  35  0.607   108  56  73  112  138   82  13.2%   2.2   18.6
6          Seibu Lions  42  46  0.477   -24  37  57   88  107  101  12.4%  -0.3   19.5
7   Nipponham Fighters  55  33  0.625   106  86  43  111  133   89  14.6%  -1.2   19.9
8       ORIX Buffaloes  46  39  0.541   -11  58  37  117   80   98  11.7%  -2.0  -41.3
9       Rakuten Eagles  40  46  0.465   -46  34  84  105   85  124   8.5%   8.0    8.3
10      SoftBank Hawks  52  34  0.605    90  56  70  106  118   93  14.4%   4.3    8.4
11       Lotte Marines  34  51  0.400   -78  43  36   88   81  111  10.9%  -0.8   -0.7
