#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,,Team,League
,<a href=https://npb.jp/bis/eng/players/33535150.html>Arnaez Jean</a>,73,218,198,16,39,8,0,1,50,18,1,0,3,1,28,14,0,2,4,0.197,0.256,0.253,0.509,58,0.056,0.224,12.8%,6.4%,0.50,0.1,19.7%,22,UTL,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/03905157.html>Beasley Jeremy</a>,15,9,8,0,1,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0.125,0.125,0.125,0.250,-27,0.000,0.200,33.3%,0.0%,0.00,-0.0,33.3%,29,1,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/03505150.html>Consuegra Stanley</a>,25,57,54,3,8,1,0,0,9,5,0,0,0,1,17,2,0,0,0,0.148,0.175,0.167,0.342,3,0.019,0.211,29.8%,3.5%,0.12,-0.0,33.3%,24,9,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/13715150.html>Duplantier Jon</a>,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-108,0.000,,100.0%,0.0%,0.00,0.0,100.0%,30,1,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/91695151.html>Fujita Kento</a>,45,72,66,9,12,0,2,0,16,6,1,0,1,0,16,5,0,0,1,0.182,0.239,0.242,0.481,49,0.060,0.240,22.2%,6.9%,0.31,0.1,29.2%,23,2,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/11815159.html>Fukushima Kein</a>,111,275,229,45,53,4,2,2,67,19,33,8,6,2,27,33,0,5,8,0.231,0.338,0.293,0.631,98,0.062,0.252,9.8%,12.0%,1.22,2.9,22.5%,23,8,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/61065131.html>Haraguchi Fumihito</a>,66,154,137,14,37,7,2,3,57,25,1,0,0,1,28,11,2,5,4,0.270,0.344,0.416,0.760,139,0.146,0.318,18.2%,7.1%,0.39,0.1,27.3%,33,DH,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/63765150.html>Hernandez Ramon</a>,47,174,154,19,37,14,0,6,69,25,2,0,0,0,25,15,0,5,2,0.240,0.328,0.448,0.776,144,0.208,0.252,14.4%,8.6%,0.60,0.3,26.4%,29,3,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/31335151.html>Inoue Kouta</a>,88,312,270,38,62,11,3,8,103,34,1,2,0,2,96,31,1,9,2,0.230,0.327,0.381,0.708,122,0.151,0.321,30.8%,9.9%,0.32,-0.6,43.3%,23,UTL,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/71375153.html>Itoh Masashi</a>,9,6,4,0,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0.250,0.400,0.250,0.650,105,0.000,0.500,33.3%,16.7%,0.50,-0.0,50.0%,29,1,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
