#,Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,League
,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,766,666,69,158,24,0,9,209,65,14,6,15,4,97,74,1,7,14,0.237,0.318,0.314,0.632,100,0.077,0.264,23.5%,12.7%,9.7%,0.76,WL
,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,635,560,46,116,13,4,5,152,39,11,8,10,4,95,53,0,8,21,0.207,0.283,0.271,0.554,80,0.064,0.239,24.1%,15.0%,8.3%,0.56,WL
,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,569,506,57,136,27,1,5,180,54,17,5,5,7,95,46,0,5,10,0.269,0.332,0.356,0.688,123,0.087,0.317,25.7%,16.7%,8.1%,0.48,EL
,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,585,515,84,145,20,1,10,197,81,14,6,10,7,107,49,1,4,13,0.282,0.344,0.383,0.727,137,0.101,0.333,28.4%,18.3%,8.4%,0.46,EL
,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,457,421,39,93,14,0,3,116,36,7,7,1,1,102,30,0,4,8,0.221,0.279,0.276,0.555,77,0.055,0.284,29.5%,22.3%,6.6%,0.29,EL
,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,721,632,86,158,22,7,4,206,79,28,11,8,5,125,68,2,8,15,0.250,0.328,0.326,0.654,109,0.076,0.303,27.3%,17.3%,9.4%,0.54,WL
,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,749,654,53,156,14,5,0,180,51,20,4,11,9,120,69,2,6,16,0.239,0.313,0.275,0.588,95,0.036,0.287,25.2%,16.0%,9.2%,0.57,WL
,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,519,458,70,122,26,2,9,179,69,3,1,5,2,103,47,3,7,7,0.266,0.342,0.391,0.733,129,0.125,0.325,30.6%,19.8%,9.1%,0.46,EL
,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,729,642,88,164,23,6,10,229,81,17,8,6,4,140,70,0,7,13,0.255,0.333,0.357,0.690,121,0.102,0.310,30.2%,19.2%,9.6%,0.50,WL
,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,467,438,37,102,19,4,3,138,34,15,4,1,3,98,23,0,2,10,0.233,0.273,0.315,0.588,90,0.082,0.291,26.6%,21.0%,4.9%,0.23,EL
,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,566,513,45,132,22,4,3,171,42,20,3,9,3,107,37,0,4,17,0.257,0.311,0.333,0.644,102,0.076,0.318,26.0%,18.9%,6.5%,0.35,EL
,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,463,411,34,84,14,3,5,119,33,7,3,6,0,111,46,0,0,7,0.204,0.284,0.290,0.574,80,0.086,0.268,35.0%,24.0%,9.9%,0.41,EL
,Oisix Albirex,559,497,41,123,10,3,2,145,38,7,3,17,2,90,40,0,3,7,0.247,0.306,0.292,0.598,102,0.045,0.297,23.6%,16.1%,7.2%,0.44,EL
,HAYATE Ventures,636,571,41,113,14,1,0,129,37,11,7,9,5,108,39,0,12,12,0.198,0.262,0.226,0.488,55,0.028,0.241,23.1%,17.0%,6.1%,0.36,WL
,League Average,602,535,56,129,19,3,5,168,53,14,5,8,4,107,49,1,6,12,0.241,0.309,0.314,0.623,100,0.073,0.290,26.7%,17.8%,8.1%,0.46,
