#,Team,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,10,8,3,0,0,752,181.0,141,6,137,69,1,10,14,65,54,2.69,3.70,3.90,1.16,115,101,101.5,-1.01,0.8%,18.2%,9.2%,9.0%,WL
,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,7,10,3,0,0,693,158.0,152,6,104,52,0,16,10,75,64,3.65,3.94,4.05,1.29,80,113,105.5,-0.29,0.9%,15.0%,7.5%,7.5%,WL
,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,4,10,1,0,0,573,129.1,134,7,113,50,0,7,6,73,63,4.38,3.75,3.70,1.42,67,107,96.4,0.63,1.2%,19.7%,8.7%,11.0%,EL
,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,11,4,3,0,0,539,133.0,116,5,95,29,0,6,4,40,32,2.17,3.32,3.58,1.09,134,96,93.1,-1.16,0.9%,17.6%,5.4%,12.2%,EL
,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,5,7,5,0,0,454,111.1,95,6,86,35,0,1,7,40,38,3.07,3.60,3.68,1.17,99,99,95.7,-0.52,1.3%,18.9%,7.7%,11.2%,EL
,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,13,4,8,0,0,702,173.0,126,6,117,68,0,5,9,52,47,2.45,3.84,4.10,1.12,123,107,106.8,-1.39,0.9%,16.7%,9.7%,7.0%,WL
,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,8,9,4,0,0,718,176.2,142,5,122,56,2,7,7,59,47,2.39,3.53,3.88,1.12,118,105,101.1,-1.13,0.7%,17.0%,7.8%,9.2%,WL
,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,10,1,4,0,0,488,121.0,111,5,103,18,0,3,3,41,36,2.68,2.83,3.06,1.07,118,75,79.6,-0.15,1.0%,21.1%,3.7%,17.4%,EL
,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,10,9,4,1,1,681,168.2,142,1,110,51,1,5,5,56,46,2.45,3.24,3.93,1.14,123,90,102.4,-0.79,0.1%,16.2%,7.5%,8.7%,WL
,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,5,8,3,0,0,502,115.0,117,5,103,45,0,5,2,59,45,3.52,3.55,3.64,1.41,84,101,94.9,-0.03,1.0%,20.5%,9.0%,11.6%,EL
,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,6,8,3,0,0,564,134.2,117,4,93,48,3,4,3,51,40,2.67,3.63,4.00,1.23,117,98,104.2,-0.96,0.7%,16.5%,8.5%,8.0%,EL
,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,6,6,4,0,0,474,115.0,92,3,133,38,0,2,7,36,29,2.27,2.54,2.80,1.13,139,68,72.8,-0.27,0.6%,28.1%,8.0%,20.0%,EL
,Oisix Albirex,6,9,5,0,0,591,130.0,155,5,87,55,1,1,5,67,60,4.15,3.92,4.26,1.62,65,122,110.9,0.23,0.8%,14.7%,9.3%,5.4%,EL
,HAYATE Ventures,5,13,4,0,0,690,156.2,162,4,95,77,1,5,8,76,66,3.79,4.16,4.54,1.53,82,113,118.2,-0.37,0.6%,13.8%,11.2%,2.6%,WL
,League Average,8,8,4,0,0,602,143.0,129,5,107,49,1,6,6,56,48,3.02,3.58,3.84,1.24,99,100,99.9,-0.56,0.8%,17.8%,8.1%,9.6%,
