#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,Age,Pos,B,,Team,League
,<a href=https://npb.jp/bis/eng/players/71075138.html>Chikamoto Koji</a>,140,638,573,76,160,25,4,3,202,34,32,9,0,3,88,60,1,2,3,0.279,0.348,0.353,0.701,120,0.074,0.324,23.7%,13.8%,9.4%,0.68,2.1,30,8,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/43145157.html>Morishita Shota</a>,143,620,549,82,151,24,5,23,254,89,5,2,0,5,86,54,4,12,15,0.275,0.350,0.463,0.813,153,0.188,0.288,26.3%,13.9%,8.7%,0.63,-0.1,24,9,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41445153.html>Nakano Takumu</a>,143,625,531,65,150,18,3,0,174,30,19,7,44,3,77,44,1,3,5,0.282,0.339,0.328,0.667,109,0.046,0.328,19.4%,12.3%,7.0%,0.57,0.6,29,4,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/21325134.html>Ohyama Yusuke</a>,141,587,503,52,133,25,1,13,199,75,6,3,0,4,96,74,7,6,16,0.264,0.363,0.396,0.759,138,0.132,0.302,31.2%,16.4%,12.6%,0.77,-0.3,30,3,R,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/41045153.html>Sato Teruaki</a>,139,597,537,83,149,34,4,40,311,102,10,2,0,3,163,57,9,0,5,0.277,0.345,0.579,0.924,186,0.302,0.323,43.6%,27.3%,9.5%,0.35,0.8,26,5,L,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,<a href=https://npb.jp/bis/eng/players/43745150.html>Fabian Sandro</a>,138,572,539,60,149,30,0,17,230,65,2,3,0,2,84,22,3,9,8,0.276,0.315,0.427,0.742,122,0.151,0.300,21.5%,14.7%,3.8%,0.26,-0.9,27,7,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/01705138.html>Kozono Kaito</a>,138,573,521,51,161,24,4,3,202,47,12,7,3,2,47,42,6,5,9,0.309,0.365,0.388,0.753,127,0.079,0.334,16.1%,8.2%,7.3%,0.89,-0.6,25,UTL,L,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/51055155.html>Suekane Shota</a>,123,477,437,40,106,18,3,11,163,62,2,3,0,5,97,33,0,2,6,0.243,0.296,0.373,0.669,101,0.130,0.284,29.6%,20.3%,6.9%,0.34,-0.9,29,9,R,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,<a href=https://npb.jp/bis/eng/players/51755135.html>Kuwahara Masayuki</a>,106,447,398,48,113,17,2,6,152,27,10,0,10,0,59,30,1,9,5,0.284,0.348,0.382,0.730,120,0.098,0.321,21.3%,13.2%,6.7%,0.51,1.4,31,8,R,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/91995134.html>Sano Keita</a>,138,569,525,47,144,24,0,15,213,70,0,0,0,5,61,34,1,5,13,0.274,0.322,0.406,0.728,119,0.132,0.284,19.3%,10.7%,6.0%,0.56,-0.3,30,7,L,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,<a href=https://npb.jp/bis/eng/players/73575150.html>Cabbage Trey</a>,123,476,431,50,115,26,1,17,194,51,5,3,1,2,144,37,3,5,4,0.267,0.331,0.450,0.781,140,0.183,0.360,41.6%,30.3%,7.8%,0.26,-0.4,28,9,L,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/61165159.html>Izuguchi Yuta</a>,133,573,512,67,154,23,3,6,201,39,4,5,7,3,60,47,2,4,8,0.301,0.362,0.393,0.755,134,0.092,0.330,19.7%,10.5%,8.2%,0.78,-1.3,26,6,L,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/73375134.html>Yoshikawa Naoki</a>,107,455,404,33,112,15,3,3,142,32,8,3,2,3,63,41,0,5,7,0.277,0.349,0.351,0.700,118,0.074,0.320,23.5%,13.8%,9.0%,0.65,0.1,30,4,L,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,<a href=https://npb.jp/bis/eng/players/23525153.html>Osuna Jose</a>,141,574,528,38,135,22,0,14,199,67,4,1,0,5,76,40,6,1,13,0.256,0.307,0.377,0.684,101,0.121,0.273,22.6%,13.2%,7.0%,0.53,0.1,32,3,R,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
